,Date,Open,High,Low,Close,Volume,Market Cap
0,"Feb 28, 2018",0.992029,1.01,0.916808,0.9171729999999999,6891760,510407000
1,"Feb 27, 2018",1.04,1.14,0.9902799999999999,0.99308,17494200,532384000
2,"Feb 26, 2018",0.97744,1.07,0.9452879999999999,1.03,8738640,501882000
3,"Feb 25, 2018",0.917998,1.0,0.9050020000000001,0.9742049999999999,10967400,471352000
4,"Feb 24, 2018",0.9826819999999999,1.05,0.8802180000000001,0.9204120000000001,8140960,504189000
5,"Feb 23, 2018",0.9007809999999999,0.984626,0.8612280000000001,0.979024,5936610,461933000
6,"Feb 22, 2018",0.9440149999999999,1.01,0.862158,0.903932,6338430,483473000
7,"Feb 21, 2018",1.01,1.04,0.9051799999999999,0.943307,10796500,515587000
8,"Feb 20, 2018",1.18,1.21,1.0,1.01,11695000,600381000
9,"Feb 19, 2018",1.15,1.23,1.15,1.18,7981530,589186000
10,"Feb 18, 2018",1.28,1.3,1.13,1.16,10089200,655234000
11,"Feb 17, 2018",1.28,1.29,1.22,1.28,17435200,651813000
12,"Feb 16, 2018",1.38,1.38,1.14,1.29,82943000,702523000
13,"Feb 15, 2018",1.08,1.4,1.01,1.4,26781300,547035000
14,"Feb 14, 2018",0.96572,1.11,0.9567760000000001,1.07,11780000,490742000
15,"Feb 13, 2018",1.03,1.04,0.95021,0.9678120000000001,12220300,522803000
16,"Feb 12, 2018",0.988344,1.09,0.988344,1.03,6619560,501382000
17,"Feb 11, 2018",1.09,1.09,0.934155,0.9790540000000001,4888770,555363000
18,"Feb 10, 2018",1.14,1.2,0.9857049999999999,1.1,10828700,576535000
19,"Feb 09, 2018",1.08,1.15,1.01,1.14,5979420,545842000
20,"Feb 08, 2018",0.9889629999999999,1.13,0.9889629999999999,1.07,12992800,501142000
21,"Feb 07, 2018",1.01,1.16,0.9021450000000001,0.9933549999999999,13476600,513163000
22,"Feb 06, 2018",0.821889,1.03,0.640081,1.02,18000300,415693000
23,"Feb 05, 2018",1.15,1.16,0.735911,0.8171189999999999,16094600,579817000
24,"Feb 04, 2018",1.39,1.39,1.05,1.15,13450500,703996000
25,"Feb 03, 2018",1.3,1.5,1.15,1.39,14554900,655192000
26,"Feb 02, 2018",1.61,1.61,1.05,1.3,26332600,807909000
27,"Feb 01, 2018",1.86,1.93,1.44,1.6,30422600,936047000
28,"Jan 31, 2018",1.6,1.85,1.52,1.85,21686200,802529000
29,"Jan 30, 2018",1.86,1.86,1.49,1.59,18317000,935070000
30,"Jan 29, 2018",1.98,2.0,1.8,1.85,17848200,991505000
31,"Jan 28, 2018",2.09,2.11,1.96,1.98,24255700,1050130000
32,"Jan 27, 2018",2.01,2.16,1.96,2.09,65038500,1008110000
33,"Jan 26, 2018",1.63,2.09,1.52,2.04,47746300,814458000
34,"Jan 25, 2018",1.68,1.74,1.56,1.63,16177100,840475000
35,"Jan 24, 2018",1.59,1.69,1.55,1.66,16389700,795013000
36,"Jan 23, 2018",1.67,1.75,1.51,1.59,18675000,835498000
37,"Jan 22, 2018",1.73,1.79,1.55,1.68,21507700,863083000
38,"Jan 21, 2018",2.04,2.04,1.67,1.71,15587600,1017560000
39,"Jan 20, 2018",1.83,2.09,1.83,2.04,25539700,911823000
40,"Jan 19, 2018",1.64,1.92,1.57,1.81,21806000,813299000
41,"Jan 18, 2018",1.53,1.77,1.48,1.65,25391700,760731000
42,"Jan 17, 2018",1.57,1.69,1.11,1.52,39263200,777744000
43,"Jan 16, 2018",1.74,1.74,1.1,1.57,49883900,859392000
44,"Jan 15, 2018",1.98,2.17,1.74,1.75,34993600,976255000
45,"Jan 14, 2018",2.37,2.41,1.89,2.0,36420000,1167210000
46,"Jan 13, 2018",2.23,2.5,2.19,2.37,49679100,1095090000
47,"Jan 12, 2018",1.86,2.23,1.81,2.22,37064300,909001000
48,"Jan 11, 2018",2.15,2.17,1.63,1.85,45923400,1054470000
49,"Jan 10, 2018",2.19,2.38,1.71,2.15,81011400,1062050000
50,"Jan 09, 2018",1.89,2.53,1.77,2.17,208910000,915570000
51,"Jan 08, 2018",1.37,2.16,1.15,1.91,72631600,659729000
52,"Jan 07, 2018",1.39,1.54,1.35,1.36,40839200,664841000
53,"Jan 06, 2018",1.12,1.52,1.08,1.36,37822200,533813000
54,"Jan 05, 2018",1.04,1.31,0.9920120000000001,1.12,38594200,496998000
55,"Jan 04, 2018",0.978614,1.08,0.9659969999999999,1.05,19658400,466294000
56,"Jan 03, 2018",0.899551,1.06,0.828857,0.9744719999999999,18706300,428603000
57,"Jan 02, 2018",0.8758809999999999,0.995683,0.7923680000000001,0.8966719999999999,21864200,417286000
58,"Jan 01, 2018",0.9043549999999999,1.02,0.863124,0.877714,19205400,429676000
59,"Dec 31, 2017",0.685294,0.943356,0.685294,0.8957209999999999,20968200,325043000
60,"Dec 30, 2017",0.683597,0.6884020000000001,0.589435,0.6884020000000001,9462650,323995000
61,"Dec 29, 2017",0.658644,0.700825,0.620545,0.684076,9252790,311840000
62,"Dec 28, 2017",0.666285,0.705512,0.581613,0.6467109999999999,7802720,314987000
63,"Dec 27, 2017",0.648181,0.712597,0.617503,0.669701,11866800,306131000
64,"Dec 26, 2017",0.693401,0.708796,0.563918,0.647725,12996000,327270000
65,"Dec 25, 2017",0.634725,0.717725,0.6304529999999999,0.696416,8668880,317362000
66,"Dec 24, 2017",0.6511,0.6723520000000001,0.534855,0.62846,11478700,325550000
67,"Dec 23, 2017",0.502023,0.768043,0.485584,0.645686,24164900,251012000
68,"Dec 22, 2017",0.584187,0.587635,0.382546,0.498971,11644900,292093000
69,"Dec 21, 2017",0.5751390000000001,0.645124,0.521933,0.57853,17172500,287570000
70,"Dec 20, 2017",0.562926,0.575164,0.482775,0.575164,13472300,281463000
71,"Dec 19, 2017",0.511452,0.5892,0.479695,0.564137,19760200,255726000
72,"Dec 18, 2017",0.46588900000000005,0.511789,0.42363900000000004,0.511789,11392600,232945000
73,"Dec 17, 2017",0.384319,0.49467,0.379706,0.463769,13712400,192159000
74,"Dec 16, 2017",0.359665,0.394361,0.348884,0.383183,8364440,179832000
75,"Dec 15, 2017",0.380477,0.381291,0.316432,0.35939099999999996,7291850,190238000
76,"Dec 14, 2017",0.34065,0.42648800000000003,0.32768200000000003,0.379367,14972500,170325000
77,"Dec 13, 2017",0.266793,0.350352,0.252449,0.342906,11877700,133397000
78,"Dec 12, 2017",0.23659699999999997,0.268088,0.22758499999999998,0.262825,6220020,118299000
79,"Dec 11, 2017",0.22730999999999998,0.244889,0.223696,0.235145,3631750,113655000
80,"Dec 10, 2017",0.24379699999999999,0.24379699999999999,0.212126,0.22840100000000002,2475840,121898000
81,"Dec 09, 2017",0.266705,0.275125,0.22763000000000003,0.24158400000000002,3064890,133352000
82,"Dec 08, 2017",0.26366100000000003,0.274864,0.218665,0.26759499999999997,4576860,131830000
83,"Dec 07, 2017",0.257653,0.30356500000000003,0.241263,0.26313000000000003,10651700,128826000
84,"Dec 06, 2017",0.21839,0.311601,0.217306,0.259519,12737300,109195000
85,"Dec 05, 2017",0.224989,0.2281,0.204969,0.218572,4516980,112495000
86,"Dec 04, 2017",0.21214299999999997,0.227198,0.20563499999999998,0.223559,3421880,106072000
87,"Dec 03, 2017",0.21477,0.219164,0.20030699999999999,0.21134099999999997,4225350,107385000
88,"Dec 02, 2017",0.20238399999999998,0.22599299999999997,0.193248,0.211218,3303170,101192000
89,"Dec 01, 2017",0.188945,0.205803,0.181375,0.201924,1670050,94472400
90,"Nov 30, 2017",0.193151,0.21159099999999997,0.17552,0.188614,2579330,96575700
91,"Nov 29, 2017",0.226356,0.229552,0.181921,0.190781,3895780,113178000
92,"Nov 28, 2017",0.23339400000000002,0.234871,0.223832,0.22554200000000002,3017060,116697000
93,"Nov 27, 2017",0.22591,0.234219,0.21229800000000001,0.23311700000000002,3421410,112955000
94,"Nov 26, 2017",0.22936700000000002,0.23512600000000003,0.215153,0.226367,3034850,114683000
95,"Nov 25, 2017",0.23421199999999998,0.23925700000000003,0.223383,0.22861700000000001,2381170,117106000
96,"Nov 24, 2017",0.215836,0.23628000000000002,0.20983400000000002,0.234195,2700630,107918000
97,"Nov 23, 2017",0.22888699999999998,0.232974,0.21433400000000002,0.216585,2847780,114444000
98,"Nov 22, 2017",0.195522,0.23057600000000003,0.19368,0.229269,2845530,97761000
99,"Nov 21, 2017",0.200292,0.20309000000000002,0.191896,0.194747,1755470,100146000
