,Date,Open,High,Low,Close,Volume,Market Cap
0,"Feb 20, 2018",2.72,2.76,2.52,2.53,4470310,633407000
1,"Feb 19, 2018",2.56,2.85,2.55,2.69,3536050,596454000
2,"Feb 18, 2018",2.68,2.74,2.5,2.57,3565100,625385000
3,"Feb 17, 2018",2.61,2.73,2.59,2.68,3016070,608262000
4,"Feb 16, 2018",2.56,2.66,2.54,2.61,2849720,597396000
5,"Feb 15, 2018",2.63,2.68,2.51,2.56,3817200,614007000
6,"Feb 14, 2018",2.43,2.64,2.43,2.64,4919220,565753000
7,"Feb 13, 2018",2.62,2.62,2.31,2.42,7490450,610495000
8,"Feb 12, 2018",2.51,2.72,2.51,2.63,3573810,585744000
9,"Feb 11, 2018",2.76,2.76,2.34,2.5,7236360,643255000
10,"Feb 10, 2018",2.91,2.99,2.66,2.76,6130930,678378000
11,"Feb 09, 2018",2.87,3.04,2.73,2.91,4705450,669202000
12,"Feb 08, 2018",2.58,2.95,2.58,2.87,21679800,600526000
13,"Feb 07, 2018",2.38,3.44,2.15,2.55,29364300,554151000
14,"Feb 06, 2018",2.12,2.4,1.75,2.39,7492040,494438000
15,"Feb 05, 2018",2.51,2.57,1.98,2.1,5440170,584646000
16,"Feb 04, 2018",2.86,2.91,2.5,2.54,4240530,665608000
17,"Feb 03, 2018",2.6,2.97,2.41,2.84,6101430,606924000
18,"Feb 02, 2018",2.69,2.72,2.2,2.6,6815050,627518000
19,"Feb 01, 2018",2.99,3.14,2.59,2.7,7004030,696379000
20,"Jan 31, 2018",2.44,2.95,2.33,2.95,4352570,567460000
21,"Jan 30, 2018",3.04,3.05,2.45,2.46,5563420,707663000
22,"Jan 29, 2018",3.23,3.38,2.8,3.03,5425230,752910000
23,"Jan 28, 2018",2.87,3.52,2.87,3.21,11368100,668684000
24,"Jan 27, 2018",2.44,2.98,2.43,2.86,6201390,567729000
25,"Jan 26, 2018",2.16,2.56,2.06,2.44,6051310,504149000
26,"Jan 25, 2018",1.85,2.19,1.85,2.17,3965590,431628000
27,"Jan 24, 2018",1.53,1.84,1.5,1.84,2482720,356573000
28,"Jan 23, 2018",1.49,1.57,1.41,1.53,2509220,348036000
29,"Jan 22, 2018",1.51,1.68,1.43,1.49,2368590,351300000
