,Date,Open,High,Low,Close,Volume,Market Cap
0,"Feb 28, 2018",3.04,3.07,2.76,2.77,2374630,292022000
1,"Feb 27, 2018",3.05,3.17,2.95,3.03,3612460,293608000
2,"Feb 26, 2018",3.25,3.25,3.03,3.04,4363930,312358000
3,"Feb 25, 2018",2.92,3.26,2.85,3.26,4143510,280984000
4,"Feb 24, 2018",3.02,3.14,2.81,2.92,1624660,269557000
5,"Feb 23, 2018",3.04,3.28,2.81,3.01,3484600,271547000
6,"Feb 22, 2018",2.94,3.3,2.82,3.05,3738040,261754000
7,"Feb 21, 2018",3.3,3.69,2.87,2.94,5061120,293664000
8,"Feb 20, 2018",3.84,4.03,3.29,3.31,8465910,342195000
9,"Feb 19, 2018",3.38,3.95,3.32,3.81,5406820,301199000
10,"Feb 18, 2018",3.93,4.35,3.27,3.39,9934800,350200000
11,"Feb 17, 2018",3.38,4.12,3.26,3.92,12628600,301295000
12,"Feb 16, 2018",3.04,3.35,2.9,3.35,3644260,270937000
13,"Feb 15, 2018",2.96,3.25,2.9,3.04,4510460,263764000
14,"Feb 14, 2018",2.8,2.99,2.8,2.96,4198830,249323000
15,"Feb 13, 2018",3.16,3.21,2.77,2.81,3371000,281419000
16,"Feb 12, 2018",2.84,3.13,2.8,2.99,3045520,225314000
17,"Feb 11, 2018",2.81,2.95,2.36,2.82,3658390,222616000
18,"Feb 10, 2018",3.03,3.13,2.64,2.82,2470310,240474000
19,"Feb 09, 2018",2.83,3.04,2.67,3.04,433567,224534000
20,"Feb 08, 2018",2.56,2.93,2.56,2.83,4641160,203111000
21,"Feb 07, 2018",2.81,3.3,2.53,2.58,4393470,222806000
22,"Feb 06, 2018",2.28,2.9,1.73,2.82,6819200,180683000
23,"Feb 05, 2018",3.06,3.12,1.92,2.27,4358980,242193000
24,"Feb 04, 2018",3.59,3.69,2.84,3.08,3626910,284828000
25,"Feb 03, 2018",3.34,3.8,3.07,3.57,3183990,264424000
26,"Feb 02, 2018",3.68,3.68,2.54,3.32,4535680,290409000
27,"Feb 01, 2018",4.33,4.55,3.27,3.7,7184050,342034000
28,"Jan 31, 2018",4.3,4.44,4.05,4.3,4764260,340158000
29,"Jan 30, 2018",5.13,5.15,4.08,4.3,11258100,405467000
30,"Jan 29, 2018",5.55,5.56,4.93,5.13,8850330,438670000
31,"Jan 28, 2018",5.87,6.2,5.43,5.55,29936500,463534000
32,"Jan 27, 2018",4.65,6.04,4.49,5.79,15774200,364656000
33,"Jan 26, 2018",4.76,4.91,4.3,4.65,7589420,372697000
34,"Jan 25, 2018",5.04,5.1,4.66,4.79,8417130,392852000
35,"Jan 24, 2018",4.69,5.0,4.67,4.91,11096400,365291000
36,"Jan 23, 2018",4.86,5.0,4.21,4.67,12975300,378749000
37,"Jan 22, 2018",5.63,5.7,4.4,4.88,10585900,438763000
38,"Jan 21, 2018",6.63,6.81,5.3,5.58,9671770,517208000
39,"Jan 20, 2018",5.55,6.9,5.36,6.65,14322800,395008000
40,"Jan 19, 2018",5.33,5.78,4.95,5.49,11250900,378835000
41,"Jan 18, 2018",5.52,6.07,4.97,5.31,9861930,392688000
42,"Jan 17, 2018",5.29,5.92,3.94,5.48,9660630,375938000
43,"Jan 16, 2018",7.37,7.37,4.47,5.27,12032900,524081000
44,"Jan 15, 2018",8.45,8.56,7.33,7.33,14280800,600868000
45,"Jan 14, 2018",7.83,8.92,7.33,8.47,19130800,491230000
46,"Jan 13, 2018",8.01,8.38,7.71,7.88,11409100,490982000
47,"Jan 12, 2018",7.99,8.39,7.19,7.99,14320900,489645000
48,"Jan 11, 2018",9.26,9.61,7.19,7.93,14125800,567765000
49,"Jan 10, 2018",10.57,10.59,9.01,9.36,18884400,648052000
50,"Jan 09, 2018",8.94,11.33,8.92,10.52,39709700,548042000
51,"Jan 08, 2018",9.94,10.68,8.21,9.07,22421000,609389000
52,"Jan 07, 2018",8.72,11.51,8.46,10.18,38810000,534661000
53,"Jan 06, 2018",7.67,9.26,7.53,8.93,32543100,470099000
54,"Jan 05, 2018",8.42,9.01,6.92,7.56,23812600,515977000
55,"Jan 04, 2018",8.24,9.74,7.83,8.45,34096500,505040000
56,"Jan 03, 2018",8.63,10.26,8.08,8.17,38547600,528988000
57,"Jan 02, 2018",5.44,9.39,5.44,8.63,60766500,333341000
58,"Jan 01, 2018",5.24,5.45,4.86,5.44,6965630,321171000
59,"Dec 31, 2017",5.08,5.32,4.65,5.19,8494970,311117000
60,"Dec 30, 2017",4.72,5.7,4.29,5.08,14581700,289156000
61,"Dec 29, 2017",4.87,5.08,4.44,4.75,7855150,298814000
62,"Dec 28, 2017",5.44,5.53,4.17,4.83,9574050,333590000
63,"Dec 27, 2017",5.54,5.7,4.93,5.43,7937650,339787000
64,"Dec 26, 2017",5.61,6.51,4.96,5.54,18545700,344095000
65,"Dec 25, 2017",3.91,5.88,3.56,5.61,16399600,234001000
66,"Dec 24, 2017",4.18,4.29,3.6,3.94,3438260,249811000
67,"Dec 23, 2017",3.45,4.83,3.42,4.1,10526600,206039000
68,"Dec 22, 2017",4.33,4.39,2.82,3.41,7399020,259191000
69,"Dec 21, 2017",2.81,5.42,2.58,4.32,24759100,168255000
70,"Dec 20, 2017",2.97,2.97,2.53,2.81,732495,157338000
71,"Dec 19, 2017",2.94,3.27,2.68,2.98,1916510,155514000
72,"Dec 18, 2017",2.04,3.01,1.94,2.92,1969200,108125000
73,"Dec 17, 2017",2.11,2.41,1.88,2.04,1341740,112024000
74,"Dec 16, 2017",2.5,2.72,1.79,2.11,1085950,132377000
75,"Dec 15, 2017",2.03,2.88,1.82,2.51,2868550,107640000
76,"Dec 14, 2017",5.21,5.44,2.01,2.03,947561,213785000
77,"Dec 13, 2017",4.51,6.25,3.86,5.21,277482,185106000
78,"Dec 12, 2017",3.02,4.5,2.96,4.5,254581,124073000
79,"Dec 11, 2017",2.24,3.04,2.16,3.04,118258,91896400
80,"Dec 10, 2017",2.42,2.42,2.11,2.24,72057,99330200
81,"Dec 09, 2017",2.32,2.58,2.22,2.41,54054,95338300
82,"Dec 08, 2017",2.2,2.47,1.99,2.32,460544,90208400
83,"Dec 07, 2017",2.24,2.41,2.04,2.12,463551,-
84,"Dec 06, 2017",1.58,2.3,1.58,2.27,497558,-
85,"Dec 05, 2017",1.54,1.63,1.44,1.59,307559,-
86,"Dec 04, 2017",1.49,1.54,1.43,1.54,85215,-
87,"Dec 03, 2017",1.51,1.6,1.44,1.49,170430,-
88,"Dec 02, 2017",1.55,1.67,1.23,1.51,456170,-
89,"Dec 01, 2017",1.71,1.74,1.5,1.55,953008,-
90,"Nov 30, 2017",1.73,1.83,1.49,1.71,224195,-
91,"Nov 29, 2017",1.89,2.09,1.67,1.7,799269,-
92,"Nov 28, 2017",1.21,1.89,1.21,1.89,2219830,-
93,"Nov 27, 2017",1.16,1.32,1.13,1.22,478944,-
94,"Nov 26, 2017",1.16,1.25,1.07,1.16,152946,-
95,"Nov 25, 2017",1.49,1.56,1.06,1.16,358097,-
96,"Nov 24, 2017",0.8154939999999999,2.03,0.800442,1.49,354338,-
97,"Nov 23, 2017",0.799937,0.9198200000000001,0.7898649999999999,0.8195959999999999,131685,-
98,"Nov 22, 2017",0.86119,0.869101,0.745822,0.7981010000000001,74347,-
99,"Nov 21, 2017",0.891049,0.929155,0.7073689999999999,0.8600909999999999,32733,-
100,"Nov 20, 2017",0.867591,0.90597,0.805951,0.8924540000000001,23302,-
101,"Nov 19, 2017",0.8111470000000001,0.90394,0.808372,0.868525,20096,-
102,"Nov 18, 2017",0.796358,0.876856,0.783817,0.813248,75408,-
103,"Nov 17, 2017",0.749875,0.8252659999999999,0.741446,0.769519,50093,-
104,"Nov 16, 2017",0.825046,0.9004549999999999,0.748309,0.749103,67004,-
105,"Nov 15, 2017",0.819576,0.845166,0.788262,0.825692,94208,-
106,"Nov 14, 2017",0.768927,0.8230049999999999,0.736463,0.81913,75478,-
107,"Nov 13, 2017",0.703398,0.770162,0.703398,0.768962,65938,-
108,"Nov 12, 2017",0.675108,0.779829,0.664828,0.702282,261653,-
109,"Nov 11, 2017",0.7021149999999999,0.7643310000000001,0.636404,0.675031,55593,-
110,"Nov 10, 2017",0.761601,0.770968,0.6230399999999999,0.7054630000000001,52205,-
111,"Nov 09, 2017",0.734635,0.777756,0.650121,0.7612399999999999,46635,-
112,"Nov 08, 2017",0.628315,0.762821,0.6258050000000001,0.7386199999999999,92374,-
113,"Nov 07, 2017",0.579105,0.641628,0.578494,0.628758,142634,-
114,"Nov 06, 2017",0.6055,0.622363,0.57824,0.57824,31526,-
115,"Nov 05, 2017",0.575603,0.605901,0.5702149999999999,0.604929,45060,-
116,"Nov 04, 2017",0.594119,0.594119,0.57227,0.574854,15315,-
117,"Nov 03, 2017",0.563104,0.59937,0.505253,0.594023,44646,-
118,"Nov 02, 2017",0.49866499999999997,0.572184,0.47895200000000004,0.560354,42525,-
119,"Nov 01, 2017",0.509853,0.5633729999999999,0.497287,0.497287,10755,-
120,"Oct 31, 2017",0.607345,0.610783,0.510795,0.510795,173262,-
121,"Oct 30, 2017",0.6138600000000001,0.642462,0.545188,0.607011,79874,-
122,"Oct 29, 2017",0.565539,0.655402,0.563916,0.608042,40317,-
123,"Oct 28, 2017",0.552586,0.609522,0.535319,0.565778,71166,-
124,"Oct 27, 2017",0.660666,0.746973,0.542068,0.552044,255065,-
125,"Oct 26, 2017",0.596679,0.820156,0.5935020000000001,0.6608689999999999,265716,-
126,"Oct 25, 2017",0.606913,0.6316470000000001,0.5761350000000001,0.59796,76102,-
127,"Oct 24, 2017",1.05,1.05,0.569952,0.606494,62509,-
128,"Oct 23, 2017",0.5909989999999999,1.44,0.5208109999999999,1.21,86389,-
129,"Oct 22, 2017",0.569138,0.710671,0.553163,0.5913430000000001,166006,-
130,"Oct 21, 2017",0.5868439999999999,0.642145,0.53568,0.569156,26035,-
131,"Oct 20, 2017",0.7727890000000001,0.772915,0.563289,0.5876020000000001,80848,-
132,"Oct 19, 2017",0.6241140000000001,0.835493,0.607212,0.773419,173574,-
133,"Oct 18, 2017",0.6160260000000001,0.62608,0.5719310000000001,0.6255689999999999,20958,-
