,Date,Open,High,Low,Close,Volume,Market Cap
0,"Feb 20, 2018",0.5291600000000001,0.579852,0.507663,0.511664,35507500,528631000
1,"Feb 19, 2018",0.5094609999999999,0.532457,0.49739700000000003,0.532457,17020800,508951000
2,"Feb 18, 2018",0.533301,0.534747,0.47148,0.482763,8346990,532768000
3,"Feb 17, 2018",0.5278649999999999,0.540838,0.513642,0.5387,9443350,527337000
4,"Feb 16, 2018",0.5322979999999999,0.549904,0.508756,0.532447,11193500,531766000
5,"Feb 15, 2018",0.5156390000000001,0.536514,0.507671,0.52623,12421300,515123000
6,"Feb 14, 2018",0.508078,0.522733,0.49620600000000004,0.520373,9752520,507570000
7,"Feb 13, 2018",0.533094,0.536922,0.49623500000000004,0.5100140000000001,9173070,532560000
8,"Feb 12, 2018",0.49923100000000004,0.535045,0.49923100000000004,0.535045,10792800,498732000
9,"Feb 11, 2018",0.530615,0.530615,0.460592,0.495093,15022500,530084000
10,"Feb 10, 2018",0.5550619999999999,0.591368,0.47980600000000007,0.545331,34929200,554506000
11,"Feb 09, 2018",0.435222,0.5304300000000001,0.435222,0.5195770000000001,74963400,434787000
12,"Feb 08, 2018",0.39686,0.450431,0.394069,0.446237,11404600,396463000
13,"Feb 07, 2018",0.409946,0.430479,0.37049499999999996,0.39667399999999997,10472400,409536000
14,"Feb 06, 2018",0.376892,0.42392399999999997,0.30184,0.41912200000000005,16946600,376515000
15,"Feb 05, 2018",0.439747,0.450039,0.355955,0.37804,10621100,439307000
16,"Feb 04, 2018",0.537767,0.569492,0.42123299999999997,0.440438,19600900,537229000
17,"Feb 03, 2018",0.544795,0.556213,0.44476000000000004,0.531518,15662200,544250000
18,"Feb 02, 2018",0.601666,0.601666,0.38468800000000003,0.535325,33201500,601064000
19,"Feb 01, 2018",0.798026,0.816407,0.5816180000000001,0.607524,23818600,797227000
20,"Jan 31, 2018",0.847491,0.8494149999999999,0.693082,0.801575,28832600,846643000
21,"Jan 30, 2018",1.01,1.01,0.83825,0.8518399999999999,28039800,1005880000
22,"Jan 29, 2018",1.01,1.05,0.9324209999999999,1.03,31172300,1004050000
23,"Jan 28, 2018",0.9704709999999999,1.03,0.9704709999999999,1.01,18593700,969500000
24,"Jan 27, 2018",0.982633,1.04,0.935797,0.986459,28892600,981650000
25,"Jan 26, 2018",1.08,1.12,0.9083040000000001,0.9618040000000001,39607100,1080430000
26,"Jan 25, 2018",1.1,1.13,1.06,1.09,26639800,1094210000
27,"Jan 24, 2018",1.05,1.11,0.9897389999999999,1.09,42700100,1045210000
28,"Jan 23, 2018",1.02,1.11,0.953557,1.05,50472000,1014930000
29,"Jan 22, 2018",1.1,1.3,0.921293,1.02,151668000,1099490000
