,Date,Open,High,Low,Close,Volume,Market Cap
0,"Feb 28, 2018",48.51,50.29,45.47,45.85,4129890,533572000
1,"Feb 27, 2018",46.53,52.16,46.31,48.44,5643820,511861000
2,"Feb 26, 2018",44.21,47.03,42.4,46.43,5227830,486327000
3,"Feb 25, 2018",43.28,44.18,42.53,44.04,1882900,476116000
4,"Feb 24, 2018",44.39,46.26,42.32,43.36,3139080,488268000
5,"Feb 23, 2018",43.45,46.56,42.39,44.52,2809910,477985000
6,"Feb 22, 2018",46.93,48.59,43.03,43.54,3191340,516233000
7,"Feb 21, 2018",50.69,50.69,45.84,47.01,4529810,557602000
8,"Feb 20, 2018",54.22,54.72,50.52,50.64,6769600,596412000
9,"Feb 19, 2018",54.09,54.94,53.4,54.27,4332280,594996000
10,"Feb 18, 2018",55.45,59.69,53.44,54.14,17414900,609999000
11,"Feb 17, 2018",54.26,55.74,53.72,55.27,6842890,596914000
12,"Feb 16, 2018",54.51,55.95,51.64,54.44,5974500,599626000
13,"Feb 15, 2018",52.71,55.17,52.18,54.55,7991920,579847000
14,"Feb 14, 2018",49.65,53.33,48.41,52.79,9305520,546140000
15,"Feb 13, 2018",54.24,54.24,49.45,49.89,5386840,596613000
16,"Feb 12, 2018",49.34,57.21,49.34,54.13,11200400,542712000
17,"Feb 11, 2018",55.04,56.79,47.99,49.21,4904270,605459000
18,"Feb 10, 2018",57.27,60.47,52.34,55.03,5349320,629942000
19,"Feb 09, 2018",52.24,57.57,49.67,57.57,6800400,574616000
20,"Feb 08, 2018",47.27,53.84,46.89,52.0,4719340,519981000
21,"Feb 07, 2018",47.12,51.86,43.01,47.37,6312240,518327000
22,"Feb 06, 2018",43.11,47.9,34.48,47.7,10009800,474178000
23,"Feb 05, 2018",50.4,53.03,41.83,42.8,9728740,554347000
24,"Feb 04, 2018",60.78,60.78,48.45,51.08,6639070,668619000
25,"Feb 03, 2018",58.67,61.97,50.9,61.0,5481660,645385000
26,"Feb 02, 2018",64.92,64.92,43.69,58.4,14427000,714091000
27,"Feb 01, 2018",68.38,70.59,60.37,65.02,10500800,752171000
28,"Jan 31, 2018",68.03,70.64,64.23,68.34,8319600,748325000
29,"Jan 30, 2018",79.65,79.75,66.75,68.16,10547800,876159000
30,"Jan 29, 2018",85.07,85.45,78.27,79.45,12013200,935789000
31,"Jan 28, 2018",84.04,86.73,83.42,85.13,7570840,924453000
32,"Jan 27, 2018",84.24,85.93,81.12,83.68,10225900,926620000
33,"Jan 26, 2018",87.74,90.64,77.44,84.08,13756300,965177000
34,"Jan 25, 2018",90.83,93.82,85.26,88.24,12081300,999131000
35,"Jan 24, 2018",87.86,95.17,84.82,89.64,20910000,966488000
36,"Jan 23, 2018",84.88,93.2,77.45,88.25,25923200,933695000
37,"Jan 22, 2018",88.24,91.03,77.36,84.76,16467100,970589000
38,"Jan 21, 2018",96.49,104.43,83.4,87.82,46791400,1061410000
39,"Jan 20, 2018",77.81,98.34,77.54,96.4,52915200,855913000
40,"Jan 19, 2018",64.11,81.92,63.16,77.58,36063000,705223000
41,"Jan 18, 2018",64.92,69.36,60.43,64.67,25775100,714077000
42,"Jan 17, 2018",66.35,70.35,46.72,64.45,26860300,729886000
43,"Jan 16, 2018",91.0,91.0,54.13,67.62,28664800,1000970000
44,"Jan 15, 2018",94.47,103.35,90.19,90.88,23443000,1039150000
45,"Jan 14, 2018",106.36,106.36,91.99,94.86,13455800,1169960000
46,"Jan 13, 2018",105.38,111.56,102.25,106.15,15664000,1159230000
47,"Jan 12, 2018",103.38,115.74,99.92,105.46,14822500,1137180000
48,"Jan 11, 2018",101.9,123.24,81.59,101.93,74019300,1120860000
49,"Jan 10, 2018",92.31,117.92,77.28,102.98,56818400,1015450000
50,"Jan 09, 2018",98.47,109.95,90.2,91.86,39081800,1083140000
51,"Jan 08, 2018",80.21,98.12,75.76,98.12,45292400,882260000
52,"Jan 07, 2018",78.48,81.74,76.61,80.21,10406400,863331000
53,"Jan 06, 2018",71.89,78.88,69.3,77.53,13080900,790784000
54,"Jan 05, 2018",73.73,88.14,70.42,72.81,28863300,811038000
55,"Jan 04, 2018",77.72,77.79,72.44,73.7,14502500,854903000
56,"Jan 03, 2018",79.99,81.03,74.24,77.47,14320100,879939000
57,"Jan 02, 2018",74.5,83.6,74.5,79.47,20448000,819448000
58,"Jan 01, 2018",70.35,75.46,66.9,74.48,11556700,773852000
