,Date,Open,High,Low,Close,Volume,Market Cap
0,"Feb 28, 2018",5.09,5.2,4.82,4.84,7993500,199805000
1,"Feb 27, 2018",5.05,5.22,5.0,5.09,5586980,197796000
2,"Feb 26, 2018",4.9,5.07,4.84,5.05,5681650,191697000
3,"Feb 25, 2018",4.83,4.95,4.75,4.89,3705220,188917000
4,"Feb 24, 2018",5.03,5.13,4.72,4.84,4331290,196598000
5,"Feb 23, 2018",4.77,5.19,4.67,5.05,4480830,186495000
6,"Feb 22, 2018",5.02,5.21,4.7,4.78,4642030,196351000
7,"Feb 21, 2018",5.3,5.42,4.9,5.01,6416960,207443000
8,"Feb 20, 2018",5.64,5.75,5.25,5.3,8803870,220627000
9,"Feb 19, 2018",5.44,5.74,5.44,5.63,5679900,212728000
10,"Feb 18, 2018",5.9,6.53,5.44,5.47,22189100,229658000
11,"Feb 17, 2018",5.59,5.9,5.55,5.9,7018130,216448000
12,"Feb 16, 2018",5.54,5.63,5.38,5.59,4204030,214385000
13,"Feb 15, 2018",5.48,5.67,5.4,5.54,4539380,212012000
14,"Feb 14, 2018",4.99,5.49,4.98,5.47,6093060,193200000
15,"Feb 13, 2018",5.17,5.22,4.91,5.0,9288810,200226000
16,"Feb 12, 2018",4.91,5.24,4.91,5.16,4348820,190395000
17,"Feb 11, 2018",5.16,5.16,4.69,4.89,4394220,209134000
18,"Feb 10, 2018",5.34,5.56,4.98,5.16,7705840,212598000
19,"Feb 09, 2018",4.91,5.34,4.71,5.34,7438740,191361000
20,"Feb 08, 2018",4.57,5.14,4.57,4.89,7021540,177915000
21,"Feb 07, 2018",4.76,5.2,4.37,4.58,7140200,189177000
22,"Feb 06, 2018",4.19,4.79,3.43,4.78,9932820,142043000
23,"Feb 05, 2018",5.16,5.31,3.89,4.18,10330700,172012000
24,"Feb 04, 2018",6.07,6.12,4.98,5.21,8342590,198100000
25,"Feb 03, 2018",5.83,6.27,5.32,6.06,7297230,190654000
26,"Feb 02, 2018",6.41,6.41,4.76,5.81,15758600,208425000
27,"Feb 01, 2018",6.92,7.18,6.14,6.43,16943600,205947000
28,"Jan 31, 2018",6.7,7.02,6.5,6.92,5229000,199387000
29,"Jan 30, 2018",7.58,7.58,6.63,6.69,7960670,226739000
30,"Jan 29, 2018",8.01,8.09,7.42,7.57,8017380,239619000
31,"Jan 28, 2018",7.36,8.17,7.31,8.03,11141900,220279000
32,"Jan 27, 2018",7.08,7.54,6.93,7.3,22854400,211972000
33,"Jan 26, 2018",7.14,7.26,6.62,7.08,10578800,213573000
34,"Jan 25, 2018",7.18,7.53,6.92,7.17,11843100,214891000
35,"Jan 24, 2018",6.73,7.16,6.53,7.07,6319190,201324000
36,"Jan 23, 2018",6.76,7.04,6.23,6.75,6955220,202286000
37,"Jan 22, 2018",7.08,7.51,6.24,6.74,8864110,211866000
38,"Jan 21, 2018",7.87,7.87,6.88,7.02,9263360,235703000
39,"Jan 20, 2018",7.03,9.67,7.02,7.82,32620800,210363000
40,"Jan 19, 2018",6.8,7.31,6.64,6.96,6741280,203551000
41,"Jan 18, 2018",6.71,7.29,6.32,6.83,8910910,200917000
42,"Jan 17, 2018",6.91,7.21,5.02,6.69,11429900,206716000
43,"Jan 16, 2018",8.81,8.84,5.81,6.93,11670400,263545000
44,"Jan 15, 2018",9.7,9.88,8.79,8.79,13456800,290454000
45,"Jan 14, 2018",10.08,10.15,9.22,9.74,13120600,301691000
46,"Jan 13, 2018",9.23,10.42,9.23,10.1,11140400,276218000
47,"Jan 12, 2018",8.47,9.45,8.24,9.21,8363290,253526000
48,"Jan 11, 2018",9.39,9.96,8.3,8.45,13715300,281156000
49,"Jan 10, 2018",10.06,10.66,9.2,9.35,24478900,301116000
50,"Jan 09, 2018",8.66,10.24,8.58,10.01,22186700,259073000
51,"Jan 08, 2018",8.44,9.17,7.38,8.65,20321200,252471000
52,"Jan 07, 2018",7.65,8.46,7.46,8.19,14097700,228943000
53,"Jan 06, 2018",7.2,7.85,7.04,7.4,11898200,215649000
54,"Jan 05, 2018",7.02,7.74,6.9,7.16,16267500,210018000
55,"Jan 04, 2018",6.63,7.49,6.3,7.05,16215600,198375000
56,"Jan 03, 2018",6.01,6.68,5.83,6.61,11675000,179779000
57,"Jan 02, 2018",5.36,6.25,5.36,6.01,14395900,160580000
58,"Jan 01, 2018",5.29,5.42,5.04,5.36,7968180,158340000
59,"Dec 31, 2017",4.9,5.3,4.83,5.28,7434550,146795000
60,"Dec 30, 2017",5.42,5.44,4.66,4.92,9956090,162157000
61,"Dec 29, 2017",5.1,5.56,5.08,5.42,18013400,152570000
62,"Dec 28, 2017",4.98,5.09,4.39,5.06,18151200,148938000
63,"Dec 27, 2017",5.0,5.08,4.69,4.96,11689200,149536000
64,"Dec 26, 2017",4.89,5.24,4.6,4.95,24474500,146378000
65,"Dec 25, 2017",3.82,5.18,3.8,4.91,28141600,114335000
66,"Dec 24, 2017",3.91,3.91,3.3,3.81,6153670,116949000
67,"Dec 23, 2017",3.77,4.43,3.74,3.87,10164900,112953000
68,"Dec 22, 2017",4.52,4.58,2.87,3.74,5516460,135384000
69,"Dec 21, 2017",4.5,4.89,4.38,4.54,8224620,134698000
70,"Dec 20, 2017",4.73,4.73,4.22,4.49,8022840,141433000
71,"Dec 19, 2017",4.71,5.03,4.55,4.73,10141400,140848000
72,"Dec 18, 2017",4.01,4.74,3.85,4.73,13199900,119971000
73,"Dec 17, 2017",3.81,4.13,3.78,4.0,5357790,113920000
74,"Dec 16, 2017",3.71,3.92,3.69,3.77,4245120,110933000
75,"Dec 15, 2017",3.77,3.79,3.43,3.69,6491670,112883000
76,"Dec 14, 2017",3.85,4.11,3.62,3.74,6513150,115151000
77,"Dec 13, 2017",3.66,4.15,3.38,3.86,9020600,109450000
78,"Dec 12, 2017",2.98,3.73,2.9,3.65,8958670,89303700
79,"Dec 11, 2017",2.54,2.98,2.52,2.98,5695280,76045500
