,Date,Open,High,Low,Close,Volume,Market Cap
0,"Feb 20, 2018",11.09,11.19,9.79,9.9,66512400,1098200000
1,"Feb 19, 2018",10.67,11.19,10.65,11.08,54898800,1056160000
2,"Feb 18, 2018",11.69,11.7,10.68,10.7,62044700,1157730000
3,"Feb 17, 2018",11.08,11.87,10.95,11.69,76093500,1096730000
4,"Feb 16, 2018",10.91,11.2,10.43,11.2,71131800,1080730000
5,"Feb 15, 2018",10.39,11.28,10.1,10.93,108962000,1028830000
6,"Feb 14, 2018",9.02,10.65,8.99,10.4,68781600,892701000
7,"Feb 13, 2018",9.32,9.35,8.77,8.99,41593400,922580000
8,"Feb 12, 2018",8.71,9.4,8.71,9.32,50792600,862556000
9,"Feb 11, 2018",9.2,9.35,8.14,8.7,68554600,911015000
10,"Feb 10, 2018",9.73,10.36,8.85,9.26,80123200,963676000
11,"Feb 09, 2018",8.61,9.89,8.34,9.73,9284,852180000
12,"Feb 08, 2018",8.09,8.72,8.09,8.6,82496000,801392000
13,"Feb 07, 2018",8.32,9.22,7.35,8.1,77970300,823329000
14,"Feb 06, 2018",6.81,8.56,5.59,8.29,97189900,673916000
15,"Feb 05, 2018",8.43,8.55,6.13,6.71,55276900,834443000
16,"Feb 04, 2018",9.75,9.75,8.1,8.46,49990000,964955000
17,"Feb 03, 2018",9.7,10.27,8.61,9.75,56556200,960106000
18,"Feb 02, 2018",9.41,10.46,7.22,9.65,91468200,931520000
19,"Feb 01, 2018",11.18,11.39,8.71,9.52,82984200,1106810000
20,"Jan 31, 2018",11.27,11.41,10.57,11.14,50435000,1115720000
21,"Jan 30, 2018",12.77,12.77,11.06,11.25,59389600,1264770000
22,"Jan 29, 2018",13.55,13.67,12.68,12.76,71294300,1341190000
23,"Jan 28, 2018",13.3,13.81,13.2,13.54,93871100,1317060000
24,"Jan 27, 2018",13.23,13.44,12.89,13.25,84009400,1310270000
25,"Jan 26, 2018",13.21,13.59,12.29,13.22,113429000,1308060000
26,"Jan 25, 2018",13.76,14.14,13.06,13.23,105648000,1362480000
27,"Jan 24, 2018",13.19,14.19,12.79,13.63,105736000,1306050000
28,"Jan 23, 2018",13.0,13.96,11.79,13.09,91706200,1287330000
29,"Jan 22, 2018",14.2,14.45,11.91,13.01,138026000,1405870000
