,Date,Open,High,Low,Close,Volume,Market Cap
0,"Feb 20, 2018",1543.27,1569.03,1414.35,1418.73,820947000,26199800000
1,"Feb 19, 2018",1483.34,1553.81,1483.34,1534.77,578906000,25179700000
2,"Feb 18, 2018",1552.1,1641.4,1428.49,1487.46,907873000,26344200000
3,"Feb 17, 2018",1548.48,1568.64,1517.14,1551.39,641719000,26280100000
4,"Feb 16, 2018",1373.16,1558.66,1369.68,1552.2,961010000,23302000000
5,"Feb 15, 2018",1358.65,1400.71,1330.18,1375.81,502454000,23053300000
6,"Feb 14, 2018",1229.18,1384.06,1229.18,1362.27,629852000,20854300000
7,"Feb 13, 2018",1285.23,1289.42,1205.73,1231.98,442663000,21803000000
8,"Feb 12, 2018",1222.43,1302.66,1222.43,1283.91,466213000,20735400000
9,"Feb 11, 2018",1255.59,1306.2,1197.87,1217.64,651555000,21295600000
10,"Feb 10, 2018",1311.99,1394.81,1215.72,1257.31,734606000,22249700000
11,"Feb 09, 2018",1273.87,1342.41,1206.39,1312.11,1133760000,21601200000
12,"Feb 08, 2018",951.57,1345.2,951.57,1284.56,2203710000,16133900000
13,"Feb 07, 2018",971.08,1040.49,902.49,957.96,866222000,16462900000
14,"Feb 06, 2018",890.97,978.91,764.02,974.52,777420000,15103100000
15,"Feb 05, 2018",1159.89,1172.7,839.95,887.41,568117000,19659800000
16,"Feb 04, 2018",1273.17,1286.98,1101.31,1165.38,656034000,21577500000
17,"Feb 03, 2018",1194.23,1314.43,1072.83,1272.5,453101000,20237400000
18,"Feb 02, 2018",1272.5,1272.5,980.78,1191.14,896666000,21561700000
19,"Feb 01, 2018",1491.12,1503.3,1214.88,1274.35,678020000,25263200000
20,"Jan 31, 2018",1470.74,1522.87,1406.25,1486.89,729209000,24915700000
21,"Jan 30, 2018",1657.69,1662.07,1468.17,1470.55,649823000,28079700000
22,"Jan 29, 2018",1745.36,1763.24,1638.33,1657.14,362213000,29561500000
23,"Jan 28, 2018",1636.41,1762.34,1636.41,1746.25,580544000,27713300000
24,"Jan 27, 2018",1602.5,1665.81,1567.78,1628.63,441742000,27136100000
25,"Jan 26, 2018",1637.19,1678.63,1500.37,1603.9,594667000,27720500000
26,"Jan 25, 2018",1661.04,1707.7,1611.04,1642.12,522194000,28121300000
27,"Jan 24, 2018",1622.15,1703.34,1575.42,1639.13,488161000,27460200000
28,"Jan 23, 2018",1623.14,1700.34,1504.72,1621.46,578984000,27473700000
29,"Jan 22, 2018",1794.46,1815.42,1525.5,1621.92,681350000,30370200000
