,Date,Open,High,Low,Close,Volume,Market Cap
0,"Feb 28, 2018",120.36,121.95,113.0,113.18,21112300,2028150000
1,"Feb 27, 2018",119.85,124.55,118.57,121.31,36913200,2019350000
2,"Feb 26, 2018",115.21,120.36,112.87,119.82,24567900,1940900000
3,"Feb 25, 2018",117.83,120.42,111.6,114.9,19969000,1984790000
4,"Feb 24, 2018",123.89,126.78,115.43,118.03,24640700,2086510000
5,"Feb 23, 2018",118.7,126.05,118.52,124.31,46248700,1999050000
6,"Feb 22, 2018",123.28,128.36,113.13,119.73,42122500,2075830000
7,"Feb 21, 2018",132.13,133.82,120.61,123.64,40865000,2224630000
8,"Feb 20, 2018",141.19,142.89,132.8,133.12,52897600,2376920000
9,"Feb 19, 2018",131.54,141.65,131.21,141.41,43253800,2214220000
10,"Feb 18, 2018",143.5,147.56,128.05,131.27,65481300,2415210000
11,"Feb 17, 2018",141.13,145.46,138.44,143.16,53976000,2374740000
12,"Feb 16, 2018",132.26,144.19,131.59,141.77,83658700,2225460000
13,"Feb 15, 2018",128.19,133.02,126.15,132.59,52837400,2156780000
14,"Feb 14, 2018",121.63,129.65,120.76,128.91,84193700,2046050000
15,"Feb 13, 2018",115.41,124.99,108.34,121.81,84443100,1941270000
16,"Feb 12, 2018",123.46,138.2,112.07,115.49,32417600,2076470000
17,"Feb 11, 2018",129.86,133.75,113.86,123.26,53976000,2183780000
18,"Feb 10, 2018",165.33,168.52,125.7,129.42,72058400,2779920000
19,"Feb 09, 2018",103.91,168.04,99.87,166.09,110290000,1747090000
20,"Feb 08, 2018",87.58,111.19,87.58,104.09,95463000,1472270000
21,"Feb 07, 2018",92.59,98.43,84.76,87.55,35079700,1556440000
22,"Feb 06, 2018",85.27,94.24,72.12,92.99,47319600,1433170000
23,"Feb 05, 2018",100.92,102.27,81.6,84.62,33394900,1696000000
24,"Feb 04, 2018",113.64,121.31,99.12,100.56,52606600,1909450000
25,"Feb 03, 2018",110.16,116.97,97.99,114.48,42576100,1850860000
26,"Feb 02, 2018",127.89,127.89,89.15,110.22,84321300,2148410000
27,"Feb 01, 2018",156.89,158.49,122.87,127.57,51720700,2635290000
28,"Jan 31, 2018",158.34,159.12,146.5,156.96,56636600,2659440000
29,"Jan 30, 2018",182.33,182.33,158.49,159.13,47888900,3061920000
30,"Jan 29, 2018",188.89,193.03,178.63,181.59,49388600,3171780000
31,"Jan 28, 2018",186.81,195.62,186.22,189.16,130075000,3136400000
32,"Jan 27, 2018",181.63,185.68,177.38,185.46,55528300,3049250000
33,"Jan 26, 2018",186.69,194.84,170.06,180.85,90095700,3133810000
34,"Jan 25, 2018",193.06,195.91,182.91,187.04,65369400,3240300000
35,"Jan 24, 2018",189.04,201.15,184.05,190.79,89823400,3172510000
36,"Jan 23, 2018",189.89,200.25,174.54,188.76,104756000,3186390000
