,Date,Open,High,Low,Close,Volume,Market Cap
0,"Feb 28, 2018",19.91,20.67,19.06,19.47,1759120,234371000
1,"Feb 27, 2018",21.48,21.48,19.38,19.91,1873840,252901000
2,"Feb 26, 2018",22.19,22.49,18.79,21.5,1573300,256626000
3,"Feb 25, 2018",23.33,23.46,21.56,22.31,1227490,269755000
4,"Feb 24, 2018",23.86,24.74,21.28,22.72,1174240,275926000
5,"Feb 23, 2018",22.5,24.99,21.34,23.77,1278100,260135000
6,"Feb 22, 2018",21.96,25.18,21.27,22.54,1295900,253794000
7,"Feb 21, 2018",24.86,24.86,20.63,21.97,1707770,287339000
8,"Feb 20, 2018",25.6,27.94,24.64,24.88,1563680,295785000
9,"Feb 19, 2018",29.24,30.41,21.65,25.56,2168230,332287000
10,"Feb 18, 2018",31.9,32.43,28.43,29.25,1080840,362375000
11,"Feb 17, 2018",29.58,32.16,28.49,31.8,1755430,335954000
12,"Feb 16, 2018",29.01,29.58,26.9,29.58,1492460,329496000
13,"Feb 15, 2018",27.29,29.3,26.78,29.07,1747350,309928000
14,"Feb 14, 2018",24.44,27.49,23.85,27.18,1690150,277476000
15,"Feb 13, 2018",25.28,25.75,23.44,24.49,1364730,286946000
16,"Feb 12, 2018",25.62,27.22,24.16,25.09,1731110,286254000
17,"Feb 11, 2018",25.82,27.14,23.97,25.5,1492170,288421000
18,"Feb 10, 2018",24.75,27.16,24.6,25.9,1512910,276462000
19,"Feb 09, 2018",23.53,25.39,22.2,24.75,1485470,262740000
20,"Feb 08, 2018",20.49,25.23,20.49,23.52,1187840,228765000
21,"Feb 07, 2018",21.45,24.33,20.34,21.14,1237070,239476000
22,"Feb 06, 2018",19.64,22.01,15.65,21.68,1526680,219185000
23,"Feb 05, 2018",23.59,28.01,18.57,19.61,1579680,260652000
24,"Feb 04, 2018",26.71,27.45,23.75,24.54,1534000,294994000
25,"Feb 03, 2018",23.95,27.27,21.98,26.69,2221760,264473000
26,"Feb 02, 2018",22.44,23.91,19.72,23.84,1777310,247818000
27,"Feb 01, 2018",23.14,24.17,21.44,22.64,1507630,255524000
28,"Jan 31, 2018",22.77,23.63,19.99,23.02,1700200,251329000
29,"Jan 30, 2018",26.33,26.78,22.36,22.77,1459140,287067000
30,"Jan 29, 2018",26.43,27.96,24.03,26.15,791657,288168000
