,Date,Open,High,Low,Close,Volume,Market Cap
0,"Feb 20, 2018",39.9,43.2,36.82,37.22,482858,200397000
1,"Feb 19, 2018",40.17,41.58,38.84,39.86,316407,201657000
2,"Feb 18, 2018",42.85,44.97,37.98,40.35,655874,215040000
3,"Feb 17, 2018",39.62,45.14,38.42,42.71,505493,198815000
4,"Feb 16, 2018",36.5,39.63,35.55,38.89,293020,183120000
5,"Feb 15, 2018",34.29,37.15,33.48,36.98,241062,171967000
6,"Feb 14, 2018",30.3,35.97,30.3,35.46,463999,151897000
7,"Feb 13, 2018",32.09,32.09,29.84,30.39,105931,160853000
8,"Feb 12, 2018",26.51,33.54,26.51,32.03,946454,132853000
9,"Feb 11, 2018",27.86,27.95,25.55,26.35,45139,139549000
10,"Feb 10, 2018",28.66,29.42,26.49,27.88,114728,143501000
11,"Feb 09, 2018",26.58,28.74,25.05,28.63,278155,133074000
12,"Feb 08, 2018",24.75,28.02,24.75,26.49,90847,123877000
13,"Feb 07, 2018",25.06,27.6,23.28,24.85,200875,125384000
14,"Feb 06, 2018",23.03,25.71,19.77,25.31,767899,115221000
15,"Feb 05, 2018",27.45,28.01,22.01,22.88,171160,137292000
16,"Feb 04, 2018",30.59,30.98,26.0,27.72,164318,152906000
17,"Feb 03, 2018",29.14,33.04,26.57,30.81,402814,145639000
18,"Feb 02, 2018",29.17,37.69,24.64,29.04,3373900,145725000
19,"Feb 01, 2018",35.79,36.25,27.83,29.24,294643,178776000
20,"Jan 31, 2018",36.41,36.97,32.87,36.02,704320,181833000
21,"Jan 30, 2018",45.76,45.76,35.66,36.35,1692560,228426000
22,"Jan 29, 2018",38.78,54.27,37.87,46.35,10855300,193555000
23,"Jan 28, 2018",39.11,41.08,37.3,39.39,567586,195117000
24,"Jan 27, 2018",35.93,39.91,34.19,38.62,427291,179231000
25,"Jan 26, 2018",33.28,36.84,30.38,36.02,430064,165925000
26,"Jan 25, 2018",34.79,35.98,32.62,33.36,363492,173449000
27,"Jan 24, 2018",35.45,38.13,33.56,34.23,535144,176655000
28,"Jan 23, 2018",32.98,37.39,30.85,35.07,410191,164297000
29,"Jan 22, 2018",34.84,35.94,30.36,33.06,583089,173515000
