,Date,Open,High,Low,Close,Volume,Market Cap
0,"Feb 20, 2018",614.52,623.99,486.19,507.43,2073890,396499000
1,"Feb 19, 2018",656.56,659.75,592.51,617.98,1944210,423626000
2,"Feb 18, 2018",716.67,722.58,654.59,662.1,917713,462414000
3,"Feb 17, 2018",713.5,735.54,684.74,716.86,747447,460368000
4,"Feb 16, 2018",755.43,757.54,676.07,713.67,644584,487421000
5,"Feb 15, 2018",701.87,760.95,663.03,758.7,872612,452861000
6,"Feb 14, 2018",574.28,738.59,574.28,702.31,1187000,370540000
7,"Feb 13, 2018",558.82,584.0,549.06,576.0,954738,360563000
8,"Feb 12, 2018",474.75,569.75,474.75,558.0,528150,306318000
9,"Feb 11, 2018",521.24,521.25,460.04,471.74,218959,336314000
10,"Feb 10, 2018",536.46,556.06,487.08,521.66,656795,346133000
11,"Feb 09, 2018",442.56,541.97,405.91,535.09,724159,285547000
12,"Feb 08, 2018",450.65,502.54,430.28,441.13,527596,290770000
13,"Feb 07, 2018",435.03,488.07,398.98,452.46,600451,280694000
14,"Feb 06, 2018",412.31,448.75,296.64,444.61,976493,266035000
15,"Feb 05, 2018",502.06,516.78,358.5,426.07,1162690,323943000
16,"Feb 04, 2018",660.69,672.27,473.61,513.35,896791,426291000
17,"Feb 03, 2018",556.74,663.96,506.2,663.96,1266040,359220000
18,"Feb 02, 2018",515.58,564.15,438.65,536.84,1385610,332662000
19,"Feb 01, 2018",604.43,616.54,477.24,516.64,875027,389990000
20,"Jan 31, 2018",593.41,630.58,562.55,600.72,615932,382884000
21,"Jan 30, 2018",714.13,719.74,589.63,594.49,1419940,460771000
22,"Jan 29, 2018",739.86,751.11,701.12,713.95,699115,477372000
23,"Jan 28, 2018",722.1,763.79,709.08,741.38,846495,465911000
24,"Jan 27, 2018",725.01,758.8,666.68,718.46,2008630,467791000
25,"Jan 26, 2018",797.45,814.07,682.6,723.63,1603200,514534000
26,"Jan 25, 2018",838.7,861.75,790.41,799.57,827636,541146000
27,"Jan 24, 2018",726.36,825.57,680.84,823.87,1169900,468664000
28,"Jan 23, 2018",721.37,768.38,634.5,714.38,1014210,465446000
29,"Jan 22, 2018",715.04,772.05,626.53,711.51,2247080,461363000
