,Date,Open,High,Low,Close,Volume,Market Cap
0,"Feb 28, 2018",7.57,7.94,7.21,7.22,221555,341839000
1,"Feb 27, 2018",7.55,8.13,7.35,7.58,197092,340963000
2,"Feb 26, 2018",5.0,7.7,4.91,7.54,584096,225757000
3,"Feb 25, 2018",5.05,5.85,4.94,5.0,160178,228067000
4,"Feb 24, 2018",7.0,7.21,4.87,5.06,246365,316068000
5,"Feb 23, 2018",6.9,7.48,6.73,7.01,223644,311220000
6,"Feb 22, 2018",7.42,8.33,6.9,6.9,204170,334905000
7,"Feb 21, 2018",7.87,8.28,7.31,7.44,246430,355042000
8,"Feb 20, 2018",7.82,8.43,7.79,7.88,250160,352882000
9,"Feb 19, 2018",7.37,8.1,7.25,7.81,244694,332731000
10,"Feb 18, 2018",7.77,7.9,7.25,7.41,220972,350432000
11,"Feb 17, 2018",7.35,7.84,7.26,7.74,213704,331646000
12,"Feb 16, 2018",7.36,7.5,6.94,7.35,237226,332250000
13,"Feb 15, 2018",6.73,7.43,6.6,7.4,291015,303729000
14,"Feb 14, 2018",6.11,6.99,6.04,6.73,270863,275474000
15,"Feb 13, 2018",6.68,6.77,6.09,6.12,234572,301266000
16,"Feb 12, 2018",6.34,7.15,6.34,6.67,242505,286034000
17,"Feb 11, 2018",6.58,6.8,6.18,6.3,256794,297000000
18,"Feb 10, 2018",6.52,6.93,6.3,6.59,219768,294088000
19,"Feb 09, 2018",6.2,6.61,5.89,6.52,233753,279431000
20,"Feb 08, 2018",5.68,6.62,5.68,6.18,227961,256245000
21,"Feb 07, 2018",6.01,6.59,5.48,5.7,214807,271171000
22,"Feb 06, 2018",5.19,6.24,4.58,6.07,232054,234225000
23,"Feb 05, 2018",5.75,5.96,5.0,5.19,200343,259514000
24,"Feb 04, 2018",6.56,6.92,5.55,5.81,165875,295985000
25,"Feb 03, 2018",6.52,7.03,5.91,6.56,241164,294112000
26,"Feb 02, 2018",7.07,7.19,5.65,6.5,281134,318715000
27,"Feb 01, 2018",7.53,7.77,6.47,7.08,314148,339638000
28,"Jan 31, 2018",7.51,8.33,7.04,7.51,302624,338599000
29,"Jan 30, 2018",9.18,9.18,7.3,7.5,289948,413872000
30,"Jan 29, 2018",9.74,9.76,8.26,9.18,365889,439088000
31,"Jan 28, 2018",9.91,10.51,9.15,9.75,322684,446961000
32,"Jan 27, 2018",8.5,10.01,8.05,9.86,359222,383323000
33,"Jan 26, 2018",8.19,8.53,7.44,8.51,340294,369202000
34,"Jan 25, 2018",9.29,9.91,7.62,8.21,500884,419020000
35,"Jan 24, 2018",8.21,9.9,8.02,9.44,492204,370149000
36,"Jan 23, 2018",6.17,10.04,6.0,8.22,439884,278230000
37,"Jan 22, 2018",6.02,6.71,5.59,6.19,309640,271190000
38,"Jan 21, 2018",6.01,6.87,5.6,5.94,261157,271115000
39,"Jan 20, 2018",5.46,6.71,5.46,6.0,284248,245894000
40,"Jan 19, 2018",5.53,6.01,5.28,5.4,243618,249125000
41,"Jan 18, 2018",5.26,6.0,5.03,5.59,244062,237251000
42,"Jan 17, 2018",5.06,5.94,4.75,5.25,207634,227898000
43,"Jan 16, 2018",6.27,6.47,4.71,5.08,260616,282361000
44,"Jan 15, 2018",5.61,6.45,5.45,6.26,288491,252943000
45,"Jan 14, 2018",5.89,5.95,5.25,5.65,243345,265554000
46,"Jan 13, 2018",5.84,7.14,5.56,5.89,223126,263092000
47,"Jan 12, 2018",4.85,5.95,4.58,5.85,246558,218425000
48,"Jan 11, 2018",5.09,5.16,4.53,4.68,216173,229482000
49,"Jan 10, 2018",4.82,5.34,4.69,5.1,233026,217147000
50,"Jan 09, 2018",5.09,5.55,4.9,5.1,226738,229211000
51,"Jan 08, 2018",5.85,6.19,4.91,5.1,259155,263743000
52,"Jan 07, 2018",5.68,6.08,5.3,5.86,279392,255881000
53,"Jan 06, 2018",5.27,6.21,5.02,5.68,265244,237443000
54,"Jan 05, 2018",5.01,5.58,4.64,5.27,261749,225717000
55,"Jan 04, 2018",4.57,5.01,4.15,5.01,238233,205728000
56,"Jan 03, 2018",4.61,4.94,4.3,4.54,230339,207850000
57,"Jan 02, 2018",4.59,5.11,3.87,4.63,314199,206704000
58,"Jan 01, 2018",5.03,5.43,4.34,4.59,244629,226441000
59,"Dec 31, 2017",3.94,5.74,3.9,5.01,353947,177546000
60,"Dec 30, 2017",4.93,4.93,3.78,3.99,109532,221852000
61,"Dec 29, 2017",4.92,5.1,4.42,4.94,243391,221526000
62,"Dec 28, 2017",4.35,5.12,4.15,4.87,192984,195801000
63,"Dec 27, 2017",4.9,6.3,4.35,4.36,218318,220810000
64,"Dec 26, 2017",4.48,5.74,4.31,4.9,225203,201535000
