,Date,Open,High,Low,Close,Volume,Market Cap
0,"Feb 28, 2018",615.0,621.4,584.29,584.29,99014400,4864750000
1,"Feb 27, 2018",622.41,644.3,608.42,615.85,93478200,4922170000
2,"Feb 26, 2018",591.43,629.42,581.29,621.27,73748300,4676020000
3,"Feb 25, 2018",594.43,602.26,578.82,591.69,71436300,4698530000
4,"Feb 24, 2018",631.36,645.01,579.09,595.01,85813200,4989210000
5,"Feb 23, 2018",631.64,650.14,607.84,631.66,83578600,4990200000
6,"Feb 22, 2018",669.85,687.65,599.44,632.96,102483000,5290720000
7,"Feb 21, 2018",688.38,721.25,667.52,670.38,132954000,5435710000
8,"Feb 20, 2018",728.99,738.74,685.04,685.04,126208000,5754970000
9,"Feb 19, 2018",687.7,731.11,687.22,728.73,89328600,5427640000
10,"Feb 18, 2018",744.09,747.42,673.57,689.28,96752600,5871020000
11,"Feb 17, 2018",699.13,748.89,693.64,742.16,116106000,5515090000
12,"Feb 16, 2018",702.53,722.02,684.28,698.86,100343000,5540570000
13,"Feb 15, 2018",679.79,705.67,667.21,703.86,116822000,5359910000
14,"Feb 14, 2018",593.59,685.12,593.59,678.98,138992000,4679080000
15,"Feb 13, 2018",622.12,625.75,583.4,595.47,73287300,4902660000
16,"Feb 12, 2018",582.83,626.77,582.83,620.56,76646200,4591910000
17,"Feb 11, 2018",633.43,633.43,561.91,580.02,81111400,4989410000
18,"Feb 10, 2018",639.42,672.16,604.84,634.1,116397000,5035300000
19,"Feb 09, 2018",606.76,638.33,577.45,637.82,93581200,4776920000
20,"Feb 08, 2018",520.91,609.47,520.91,605.0,90716700,4100000000
21,"Feb 07, 2018",524.7,584.48,493.67,521.99,79763600,4128770000
22,"Feb 06, 2018",454.17,533.55,383.97,528.5,114171000,3572920000
23,"Feb 05, 2018",545.32,553.6,435.42,451.43,78015400,4288890000
24,"Feb 04, 2018",637.01,649.37,533.99,549.96,80706600,5008820000
25,"Feb 03, 2018",589.17,645.85,533.25,637.37,83763700,4631430000
26,"Feb 02, 2018",616.62,616.62,453.43,586.88,143263000,4842830000
27,"Feb 01, 2018",698.79,704.55,582.21,617.04,109256000,5486820000
