,Date,Open,High,Low,Close,Volume,Market Cap
0,"Feb 20, 2018",88.29,90.76,77.52,80.92,1869820,599421000
1,"Feb 19, 2018",84.57,93.31,84.46,88.21,1142280,573613000
2,"Feb 18, 2018",96.9,97.23,84.94,84.94,1290070,656682000
3,"Feb 17, 2018",90.01,98.06,88.96,96.26,1790480,609368000
4,"Feb 16, 2018",87.12,90.69,83.61,90.42,992508,589279000
5,"Feb 15, 2018",81.32,90.23,80.66,87.52,1264440,549575000
6,"Feb 14, 2018",73.04,81.28,72.49,81.28,888925,493098000
7,"Feb 13, 2018",77.65,77.96,71.74,73.25,930951,523692000
8,"Feb 12, 2018",69.17,79.54,69.17,77.35,927667,466070000
9,"Feb 11, 2018",76.89,76.89,68.9,69.02,633865,517635000
10,"Feb 10, 2018",80.52,83.58,71.63,76.97,1344870,541484000
11,"Feb 09, 2018",73.55,82.02,70.52,81.49,1841070,494228000
12,"Feb 08, 2018",68.01,79.15,68.01,72.51,998346,456585000
13,"Feb 07, 2018",71.98,78.74,64.24,68.51,1017250,482685000
14,"Feb 06, 2018",59.04,74.39,47.55,72.74,2456810,395518000
15,"Feb 05, 2018",73.08,74.84,56.75,58.98,1315890,489213000
16,"Feb 04, 2018",88.8,90.36,70.7,73.89,1309740,593827000
17,"Feb 03, 2018",79.96,90.42,74.06,88.91,1370310,534168000
18,"Feb 02, 2018",83.58,85.79,66.95,80.29,3148590,557808000
19,"Feb 01, 2018",97.83,99.05,78.81,83.38,2265020,652279000
20,"Jan 31, 2018",89.9,100.39,88.22,97.83,4526180,598813000
21,"Jan 30, 2018",98.17,102.88,88.6,89.28,7570670,653214000
22,"Jan 29, 2018",93.15,98.73,88.1,98.73,4818180,619241000
23,"Jan 28, 2018",92.44,96.19,90.87,93.24,1520330,613974000
24,"Jan 27, 2018",90.83,94.92,87.86,92.12,1407310,602601000
25,"Jan 26, 2018",91.25,97.29,83.07,90.34,2048920,604873000
26,"Jan 25, 2018",96.7,98.92,90.13,91.05,1075030,640414000
27,"Jan 24, 2018",91.79,98.28,89.25,94.57,946761,607251000
28,"Jan 23, 2018",90.58,96.22,81.53,92.37,1098310,598622000
29,"Jan 22, 2018",102.11,107.48,85.09,90.54,1532190,674194000
