,Date,Open,High,Low,Close,Volume,Market Cap
0,"Feb 20, 2018",307.81,322.47,266.78,315.14,21428600,615621000
1,"Feb 19, 2018",319.17,325.1,287.94,308.82,25481500,638334000
2,"Feb 18, 2018",244.3,352.13,244.3,321.83,101793000,488601000
3,"Feb 17, 2018",244.11,250.16,239.89,243.58,5858000,488215000
4,"Feb 16, 2018",242.64,246.46,234.61,244.35,5697400,485274000
5,"Feb 15, 2018",240.03,252.82,233.25,243.76,8413630,480068000
6,"Feb 14, 2018",222.4,269.84,218.18,240.91,13226400,444791000
7,"Feb 13, 2018",236.85,240.78,221.11,222.83,5242110,473703000
8,"Feb 12, 2018",226.97,250.49,226.97,235.32,7521400,453936000
9,"Feb 11, 2018",246.57,251.01,218.7,225.84,5787610,493138000
10,"Feb 10, 2018",280.58,284.12,239.43,246.65,14256500,561161000
11,"Feb 09, 2018",291.52,309.08,275.02,280.57,1108400,583048000
12,"Feb 08, 2018",288.55,302.24,270.04,290.77,25517900,577090000
13,"Feb 07, 2018",216.15,285.45,200.86,285.45,22374900,432304000
14,"Feb 06, 2018",210.81,219.13,161.09,215.9,14487700,421620000
15,"Feb 05, 2018",326.17,329.39,187.76,210.53,24027900,652331000
16,"Feb 04, 2018",382.79,405.73,317.99,333.55,86159000,765585000
17,"Feb 03, 2018",462.92,462.92,337.61,385.89,139639000,925847000
18,"Feb 02, 2018",257.05,491.33,240.74,462.43,295958000,514095000
19,"Feb 01, 2018",234.75,295.39,229.93,259.04,36798700,469496000
20,"Jan 31, 2018",229.41,252.39,207.34,235.0,19918100,458824000
21,"Jan 30, 2018",228.64,271.85,215.27,229.46,20256300,457281000
22,"Jan 29, 2018",240.33,242.31,221.37,228.48,8605110,480658000
23,"Jan 28, 2018",231.21,246.02,228.98,240.3,10589100,462421000
24,"Jan 27, 2018",253.63,255.94,228.88,231.21,12693000,507253000
25,"Jan 26, 2018",210.19,282.86,209.71,257.76,33885900,420388000
26,"Jan 25, 2018",188.52,219.37,184.07,211.41,8896000,377045000
27,"Jan 24, 2018",188.37,191.57,175.46,186.68,7644500,376744000
28,"Jan 23, 2018",179.82,200.33,168.51,188.9,10011200,359643000
29,"Jan 22, 2018",189.06,192.57,165.75,181.37,7103040,378124000
