,Date,Open,High,Low,Close,Volume,Market Cap
0,"Feb 20, 2018",1.85,1.88,1.52,1.54,4563910,440093000
1,"Feb 19, 2018",1.81,1.91,1.79,1.85,2375640,432599000
2,"Feb 18, 2018",1.99,2.01,1.78,1.81,2108840,475329000
3,"Feb 17, 2018",1.89,2.05,1.83,2.01,2359780,450548000
4,"Feb 16, 2018",1.93,2.02,1.69,1.89,3665130,460111000
5,"Feb 15, 2018",2.04,2.06,1.84,1.94,3406740,486892000
6,"Feb 14, 2018",1.53,2.02,1.52,1.99,4000780,363621000
7,"Feb 13, 2018",1.66,1.69,1.44,1.54,2674410,394690000
8,"Feb 12, 2018",1.38,1.71,1.37,1.68,3299450,329377000
9,"Feb 11, 2018",1.45,1.5,1.25,1.35,2401000,345241000
10,"Feb 10, 2018",1.59,1.79,1.36,1.45,3225700,378923000
11,"Feb 09, 2018",1.52,1.68,1.41,1.59,2347860,362893000
12,"Feb 08, 2018",1.42,1.66,1.42,1.51,2263900,338803000
13,"Feb 07, 2018",1.59,1.75,1.32,1.44,3328500,379940000
14,"Feb 06, 2018",1.28,1.75,0.9147360000000001,1.6,5385540,305306000
15,"Feb 05, 2018",1.59,1.62,1.03,1.28,3969650,379034000
16,"Feb 04, 2018",2.01,2.01,1.42,1.61,2900980,479341000
17,"Feb 03, 2018",1.88,2.17,1.64,2.01,3883380,448793000
18,"Feb 02, 2018",1.97,1.97,1.16,1.86,6316130,469308000
19,"Feb 01, 2018",2.24,2.35,1.73,1.97,3899860,533771000
20,"Jan 31, 2018",2.2,2.41,2.08,2.23,3516870,524907000
21,"Jan 30, 2018",2.58,2.58,2.02,2.21,4674080,615572000
22,"Jan 29, 2018",2.81,2.83,2.34,2.57,5241770,671017000
23,"Jan 28, 2018",2.9,2.98,2.68,2.85,5412030,690504000
24,"Jan 27, 2018",2.28,3.1,2.27,2.95,6334040,543623000
25,"Jan 26, 2018",2.23,2.34,2.04,2.29,3836800,531037000
26,"Jan 25, 2018",2.44,2.57,2.17,2.22,4509670,581776000
27,"Jan 24, 2018",2.43,2.49,2.28,2.41,4067940,580398000
28,"Jan 23, 2018",2.54,2.57,2.16,2.43,3391630,606516000
29,"Jan 22, 2018",2.7,2.88,2.23,2.55,3921250,644228000
