,Date,Open,High,Low,Close,Volume,Market Cap
0,"Feb 20, 2018",9.69,10.01,9.26,9.28,305781000,6586160000
1,"Feb 19, 2018",9.37,9.79,9.36,9.68,225362000,6355840000
2,"Feb 18, 2018",10.16,10.2,9.23,9.38,353808000,6860990000
3,"Feb 17, 2018",10.01,10.18,9.93,10.15,276849000,6746400000
4,"Feb 16, 2018",10.15,10.24,9.7,10.02,249798000,6817050000
5,"Feb 15, 2018",9.94,10.3,9.77,10.17,392065000,6656240000
6,"Feb 14, 2018",9.23,10.02,9.17,9.97,480309000,6160920000
7,"Feb 13, 2018",9.18,9.27,8.7,9.21,365436000,6113090000
8,"Feb 12, 2018",8.45,9.29,8.45,9.18,353976000,5609460000
9,"Feb 11, 2018",9.09,9.09,8.17,8.41,408013000,6007740000
10,"Feb 10, 2018",9.61,10.3,8.66,9.1,609066000,6334330000
11,"Feb 09, 2018",8.5,9.66,8.16,9.65,507606000,5584730000
12,"Feb 08, 2018",7.66,8.59,7.66,8.51,542068000,5019680000
13,"Feb 07, 2018",8.35,8.65,7.56,7.61,762884000,5439430000
14,"Feb 06, 2018",7.17,8.46,5.85,8.34,1304850000,4659180000
15,"Feb 05, 2018",8.68,8.85,6.94,7.06,640159000,5618380000
16,"Feb 04, 2018",9.77,10.17,8.45,8.61,588172000,6306870000
17,"Feb 03, 2018",9.77,10.39,8.59,9.84,736278000,6290740000
18,"Feb 02, 2018",10.17,10.22,7.64,9.79,1534140000,6528440000
19,"Feb 01, 2018",12.24,12.4,9.9,10.21,919859000,7826060000
20,"Jan 31, 2018",11.46,12.33,10.42,12.2,1008810000,7309740000
21,"Jan 30, 2018",14.03,14.03,11.3,11.56,980342000,8918290000
22,"Jan 29, 2018",15.03,15.17,13.8,14.01,565307000,9524430000
23,"Jan 28, 2018",14.34,15.04,14.34,15.02,646950000,9057850000
24,"Jan 27, 2018",14.34,14.63,13.97,14.27,653831000,9027390000
25,"Jan 26, 2018",14.28,14.73,13.22,14.34,1444040000,8958130000
26,"Jan 25, 2018",13.96,14.93,13.7,14.31,1546860000,8734500000
27,"Jan 24, 2018",13.01,13.86,12.63,13.83,1050800000,8112750000
28,"Jan 23, 2018",13.57,13.81,11.87,12.97,1614680000,8432510000
29,"Jan 22, 2018",13.54,15.18,12.85,13.66,2902200000,8385480000
