,Date,Open,High,Low,Close,Volume,Market Cap
0,"Feb 20, 2018",5.29,5.56,4.65,4.73,1129310,218613000
1,"Feb 19, 2018",4.31,5.31,4.31,5.28,1205990,178066000
2,"Feb 18, 2018",4.49,4.74,4.05,4.37,1026980,185457000
3,"Feb 17, 2018",4.19,4.6,4.08,4.45,1215450,173399000
4,"Feb 16, 2018",4.13,4.31,4.0,4.22,1254030,170661000
5,"Feb 15, 2018",4.43,4.64,4.04,4.15,1264450,182937000
6,"Feb 14, 2018",4.18,4.46,4.15,4.41,1209840,172647000
7,"Feb 13, 2018",4.32,4.48,4.13,4.2,1342290,178510000
8,"Feb 12, 2018",3.81,4.52,3.79,4.3,1319100,157305000
9,"Feb 11, 2018",3.83,3.95,3.39,3.81,877228,157934000
10,"Feb 10, 2018",3.93,4.28,3.68,3.83,1065960,162281000
11,"Feb 09, 2018",3.84,3.97,3.65,3.93,914505,158415000
12,"Feb 08, 2018",3.46,4.43,3.46,3.85,1220010,142757000
13,"Feb 07, 2018",3.08,3.75,2.86,3.44,962499,127068000
14,"Feb 06, 2018",2.55,3.17,2.07,3.11,974245,105162000
15,"Feb 05, 2018",3.42,3.5,2.4,2.58,1104250,141284000
16,"Feb 04, 2018",4.19,4.19,3.43,3.47,885495,172772000
17,"Feb 03, 2018",4.13,4.57,3.85,4.21,1265710,170246000
18,"Feb 02, 2018",4.4,4.43,3.15,4.19,1609920,181693000
19,"Feb 01, 2018",5.43,5.52,4.16,4.41,1653610,224057000
20,"Jan 31, 2018",5.28,5.48,4.73,5.43,1898300,217597000
21,"Jan 30, 2018",5.47,5.5,4.94,5.26,1960320,225750000
22,"Jan 29, 2018",5.81,5.88,5.37,5.47,1694100,239412000
23,"Jan 28, 2018",5.79,6.06,5.61,5.8,1607410,238710000
24,"Jan 27, 2018",5.29,5.96,5.21,5.8,1858440,217973000
25,"Jan 26, 2018",5.28,5.91,4.94,5.42,1957820,217759000
26,"Jan 25, 2018",5.99,6.11,5.17,5.31,2415770,246762000
27,"Jan 24, 2018",6.12,6.32,5.78,5.97,2607290,252274000
28,"Jan 23, 2018",6.9,7.03,5.58,6.09,3051320,284241000
29,"Jan 22, 2018",7.68,7.92,6.38,6.91,2079870,316463000
