,Date,Open,High,Low,Close,Volume,Market Cap
0,"Feb 28, 2018",2.61,2.77,2.49,2.49,4719760,195276000
1,"Feb 27, 2018",2.59,2.7,2.54,2.61,4646280,193753000
2,"Feb 26, 2018",2.54,2.63,2.42,2.58,4390200,189865000
3,"Feb 25, 2018",2.44,2.6,2.33,2.52,4023060,182908000
4,"Feb 24, 2018",2.55,2.61,2.36,2.45,4215970,190996000
5,"Feb 23, 2018",2.37,2.64,2.33,2.55,3392260,177542000
6,"Feb 22, 2018",2.6,2.82,2.31,2.37,6241120,194889000
7,"Feb 21, 2018",2.7,3.04,2.56,2.62,7189080,202044000
8,"Feb 20, 2018",3.18,3.22,2.65,2.7,4055910,237809000
9,"Feb 19, 2018",2.98,3.23,2.98,3.15,2874080,223188000
10,"Feb 18, 2018",3.4,3.41,2.99,3.03,3798370,254267000
11,"Feb 17, 2018",3.38,3.5,3.32,3.4,4157300,252838000
12,"Feb 16, 2018",3.24,3.37,3.15,3.37,4065600,242323000
13,"Feb 15, 2018",3.14,3.27,3.06,3.26,4425130,234748000
14,"Feb 14, 2018",2.98,3.17,2.96,3.15,5094110,222870000
15,"Feb 13, 2018",3.24,3.24,2.9,2.98,6575480,242530000
16,"Feb 12, 2018",2.66,3.42,2.65,3.26,15032700,198934000
17,"Feb 11, 2018",2.84,2.98,2.39,2.65,8929350,212362000
18,"Feb 10, 2018",3.23,3.38,2.6,2.85,11200300,241582000
19,"Feb 09, 2018",2.47,3.33,2.32,3.27,3337620,184740000
20,"Feb 08, 2018",2.16,2.54,2.16,2.45,6112810,161473000
21,"Feb 07, 2018",2.42,2.67,2.07,2.17,5771070,180819000
22,"Feb 06, 2018",1.88,2.44,1.41,2.41,9275750,140726000
23,"Feb 05, 2018",2.5,2.53,1.64,1.87,4253980,187226000
24,"Feb 04, 2018",2.99,2.99,2.32,2.51,2797820,223832000
25,"Feb 03, 2018",2.73,3.19,2.54,3.0,4112040,204342000
26,"Feb 02, 2018",2.89,2.92,2.08,2.71,6575650,216480000
27,"Feb 01, 2018",3.34,3.48,2.67,2.9,6158750,249854000
