,Date,Open,High,Low,Close,Volume,Market Cap
0,"Feb 28, 2018",36.0,36.42,33.41,33.69,501651000,3606200000
1,"Feb 27, 2018",36.24,37.47,35.51,36.25,513290000,3628860000
2,"Feb 26, 2018",36.85,37.11,34.67,36.08,622099000,3689630000
3,"Feb 25, 2018",38.57,38.77,34.88,36.41,685424000,3861100000
4,"Feb 24, 2018",37.83,40.71,36.92,38.84,1324420000,3785310000
5,"Feb 23, 2018",32.5,38.11,31.32,38.04,1132690000,3251620000
6,"Feb 22, 2018",36.46,37.63,31.93,32.81,711134000,3646740000
7,"Feb 21, 2018",38.07,40.26,34.98,36.63,904092000,3807360000
8,"Feb 20, 2018",39.41,43.96,38.23,38.47,1175890000,3940010000
9,"Feb 19, 2018",34.69,40.26,33.93,39.29,992256000,3467860000
10,"Feb 18, 2018",35.01,35.08,31.52,34.88,456829000,3498390000
11,"Feb 17, 2018",34.97,35.4,34.38,34.99,418534000,3493650000
12,"Feb 16, 2018",34.43,35.34,32.9,35.03,456754000,3439180000
13,"Feb 15, 2018",34.83,35.65,32.83,34.53,635228000,3477970000
14,"Feb 14, 2018",34.32,36.44,33.4,35.04,1055340000,3426860000
15,"Feb 13, 2018",29.88,34.73,28.32,33.96,1135950000,2982730000
16,"Feb 12, 2018",24.31,30.33,24.31,29.88,541766000,2425800000
17,"Feb 11, 2018",24.53,26.0,21.42,24.13,378189000,2447400000
18,"Feb 10, 2018",25.95,26.65,23.08,24.52,256181000,2588640000
19,"Feb 09, 2018",21.89,26.21,21.0,26.0,393049000,2182530000
20,"Feb 08, 2018",18.15,21.96,18.15,21.79,265155000,1809300000
21,"Feb 07, 2018",19.18,20.45,17.45,18.16,212987000,1912010000
22,"Feb 06, 2018",16.75,19.42,14.06,19.39,318212000,1669530000
23,"Feb 05, 2018",20.76,21.19,15.89,16.53,171500000,2068330000
24,"Feb 04, 2018",24.19,24.73,19.91,21.04,218348000,2409210000
25,"Feb 03, 2018",23.15,24.74,20.76,24.2,179081000,2305470000
26,"Feb 02, 2018",24.95,24.95,18.37,23.07,340095000,2484190000
27,"Feb 01, 2018",28.77,28.88,23.74,24.97,251254000,2863780000
28,"Jan 31, 2018",27.21,28.76,25.96,28.76,271852000,2707440000
29,"Jan 30, 2018",31.77,31.77,26.98,27.13,235160000,3160490000
30,"Jan 29, 2018",33.21,33.66,30.97,31.71,197076000,3303240000
31,"Jan 28, 2018",29.62,34.4,29.62,32.9,350799000,2945280000
32,"Jan 27, 2018",28.76,30.13,28.15,29.49,127839000,2858610000
33,"Jan 26, 2018",29.1,29.69,26.82,28.8,198045000,2892380000
34,"Jan 25, 2018",29.89,30.39,28.79,29.19,162749000,2969790000
35,"Jan 24, 2018",28.47,30.54,28.08,29.6,187789000,2828350000
36,"Jan 23, 2018",29.28,30.17,26.55,28.37,230031000,2907490000
37,"Jan 22, 2018",30.59,32.84,26.92,29.26,321230000,3037400000
38,"Jan 21, 2018",35.49,36.21,29.28,30.32,381507000,3523310000
39,"Jan 20, 2018",32.09,35.56,32.09,35.01,418291000,3184770000
40,"Jan 19, 2018",30.03,34.34,29.07,31.7,394037000,2979260000
41,"Jan 18, 2018",29.24,32.89,28.02,30.19,455046000,2900830000
42,"Jan 17, 2018",28.38,30.36,22.49,29.12,598707000,2814880000
43,"Jan 16, 2018",40.49,40.49,23.26,28.46,699985000,4014070000
44,"Jan 15, 2018",42.68,43.7,40.43,40.5,615007000,4230510000
45,"Jan 14, 2018",42.89,46.5,40.85,42.96,1314400000,4250660000
46,"Jan 13, 2018",36.18,43.16,35.78,42.39,876581000,3584650000
47,"Jan 12, 2018",33.06,37.03,31.91,36.4,536064000,3274750000
48,"Jan 11, 2018",36.91,37.97,31.43,32.79,586658000,3654630000
49,"Jan 10, 2018",38.13,39.27,34.68,36.95,862859000,3774740000
50,"Jan 09, 2018",34.09,39.05,31.76,38.32,808371000,3374260000
51,"Jan 08, 2018",41.12,44.41,29.53,34.19,798928000,4069110000
52,"Jan 07, 2018",38.44,42.44,38.42,40.79,423276000,3802870000
53,"Jan 06, 2018",36.31,38.99,35.9,38.42,362469000,3591720000
54,"Jan 05, 2018",36.17,38.28,35.9,36.2,517583000,3576720000
55,"Jan 04, 2018",34.44,39.35,32.31,36.32,1733940000,3404930000
56,"Jan 03, 2018",34.91,35.51,32.84,34.86,910507000,3450400000
57,"Jan 02, 2018",34.46,38.03,34.05,34.92,615984000,3405130000
58,"Jan 01, 2018",28.05,37.03,27.32,34.17,870413000,2770760000
59,"Dec 31, 2017",26.74,28.43,26.64,28.0,169331000,2640600000
60,"Dec 30, 2017",30.04,30.04,26.25,26.92,241645000,2965900000
61,"Dec 29, 2017",29.65,30.67,28.16,30.03,239663000,2926400000
62,"Dec 28, 2017",32.16,32.24,28.28,29.53,307104000,3173780000
63,"Dec 27, 2017",32.83,33.22,31.26,32.14,217743000,3239130000
64,"Dec 26, 2017",32.46,33.99,31.97,32.9,317646000,3201840000
65,"Dec 25, 2017",30.91,32.44,30.69,32.35,258235000,3047860000
66,"Dec 24, 2017",33.0,33.0,28.22,30.78,316553000,3253910000
67,"Dec 23, 2017",31.54,35.14,31.13,32.73,385223000,3109180000
68,"Dec 22, 2017",42.42,42.68,23.76,30.96,817384000,4180300000
69,"Dec 21, 2017",43.86,47.77,39.69,42.1,825239000,4321050000
70,"Dec 20, 2017",40.37,44.86,37.32,44.05,920793000,3976420000
71,"Dec 19, 2017",39.41,46.24,38.61,40.27,931713000,3880300000
72,"Dec 18, 2017",34.85,42.4,32.53,39.4,1072100000,3431130000
73,"Dec 17, 2017",34.78,36.41,34.2,34.79,428826000,3423520000
74,"Dec 16, 2017",32.03,39.02,31.3,34.78,1104770000,3151410000
75,"Dec 15, 2017",32.02,32.7,28.47,32.09,526730000,3150230000
76,"Dec 14, 2017",29.64,34.07,29.61,31.96,632755000,2914580000
77,"Dec 13, 2017",30.29,33.24,27.95,29.72,688511000,2978500000
78,"Dec 12, 2017",27.75,33.39,27.42,30.32,819045000,2728370000
79,"Dec 11, 2017",26.48,29.43,26.48,27.64,470359000,2602010000
80,"Dec 10, 2017",29.22,29.22,24.2,26.51,463748000,2870390000
81,"Dec 09, 2017",29.77,33.05,26.72,29.09,585616000,2923310000
82,"Dec 08, 2017",26.89,30.05,25.45,30.05,581400000,2639940000
83,"Dec 07, 2017",27.9,30.04,26.77,26.82,449013000,2738670000
84,"Dec 06, 2017",30.49,30.51,27.31,27.86,407100000,2991890000
85,"Dec 05, 2017",30.4,31.23,29.58,30.39,331677000,2981630000
86,"Dec 04, 2017",30.44,30.88,29.62,30.4,274351000,2984910000
87,"Dec 03, 2017",30.77,31.79,29.87,30.46,401675000,3016140000
88,"Dec 02, 2017",31.18,32.66,29.81,30.8,605113000,3055410000
89,"Dec 01, 2017",27.95,31.54,25.5,31.2,853735000,2737970000
90,"Nov 30, 2017",26.01,29.44,22.59,28.19,968075000,2546530000
91,"Nov 29, 2017",33.98,34.25,24.67,25.42,919393000,3326880000
92,"Nov 28, 2017",25.74,34.85,25.6,33.98,1640680000,2519340000
93,"Nov 27, 2017",22.16,26.55,21.7,25.75,718945000,2167620000
94,"Nov 26, 2017",21.73,22.61,21.35,22.22,494333000,2124930000
95,"Nov 25, 2017",21.33,22.75,20.21,21.71,370135000,2084820000
96,"Nov 24, 2017",18.26,21.76,18.07,21.45,373045000,1785000000
97,"Nov 23, 2017",18.02,18.77,17.77,18.23,186523000,1760670000
98,"Nov 22, 2017",17.74,18.15,17.73,17.99,93779000,1732980000
99,"Nov 21, 2017",18.4,18.47,17.28,17.8,186210000,1796380000
100,"Nov 20, 2017",17.94,18.68,17.84,18.39,147752000,1750630000
101,"Nov 19, 2017",17.73,18.07,17.58,17.92,110618000,1730450000
102,"Nov 18, 2017",17.21,18.12,17.0,17.72,159453000,1679120000
103,"Nov 17, 2017",16.77,17.58,16.76,17.24,150957000,1635500000
104,"Nov 16, 2017",17.5,17.5,16.39,16.88,182721000,1706140000
105,"Nov 15, 2017",17.84,17.92,17.21,17.55,149567000,1738580000
106,"Nov 14, 2017",16.08,18.74,16.08,17.87,449738000,1566510000
107,"Nov 13, 2017",15.31,16.66,14.47,16.11,350880000,1490890000
108,"Nov 12, 2017",19.46,21.75,15.04,15.18,697453000,1894610000
109,"Nov 11, 2017",14.62,19.81,14.59,19.42,958982000,1423270000
110,"Nov 10, 2017",14.19,15.35,13.92,14.6,299857000,1380350000
111,"Nov 09, 2017",13.98,14.5,13.9,14.21,129201000,1359370000
112,"Nov 08, 2017",14.09,14.43,13.73,14.02,139534000,1369880000
113,"Nov 07, 2017",14.14,14.99,13.58,13.92,173761000,1374590000
114,"Nov 06, 2017",13.3,15.64,13.13,14.33,435668000,1292090000
115,"Nov 05, 2017",11.86,14.23,11.8,13.24,333395000,1152170000
116,"Nov 04, 2017",12.63,12.65,11.23,11.89,149319000,1226190000
117,"Nov 03, 2017",10.24,12.73,10.2,12.66,146543000,993753000
118,"Nov 02, 2017",10.27,10.38,9.82,10.24,39190200,996639000
119,"Nov 01, 2017",10.6,10.67,10.25,10.26,30011800,1028310000
120,"Oct 31, 2017",10.87,10.94,10.62,10.62,27241200,1053730000
121,"Oct 30, 2017",10.84,10.97,10.8,10.87,20081700,1050600000
122,"Oct 29, 2017",10.59,11.2,10.59,10.86,65005200,1026380000
123,"Oct 28, 2017",10.4,10.68,10.29,10.55,24204100,1007430000
124,"Oct 27, 2017",10.49,10.56,10.32,10.38,21540100,1015860000
125,"Oct 26, 2017",10.62,10.72,10.46,10.5,18961900,1028580000
126,"Oct 25, 2017",10.58,10.75,10.3,10.63,25582600,1024260000
127,"Oct 24, 2017",10.28,10.99,10.0,10.6,41969800,994988000
128,"Oct 23, 2017",10.82,10.82,9.97,10.28,39358200,1046200000
129,"Oct 22, 2017",10.93,11.25,10.72,10.83,19648600,1057170000
130,"Oct 21, 2017",11.21,11.31,10.79,10.92,20451400,1083120000
131,"Oct 20, 2017",11.36,11.51,11.22,11.22,28250900,1097270000
132,"Oct 19, 2017",11.52,11.61,11.29,11.34,25045400,1112650000
133,"Oct 18, 2017",11.92,11.92,10.81,11.53,55644800,1151010000
