,Date,Open,High,Low,Close,Volume,Market Cap
0,"Feb 28, 2018",4.09,4.35,3.78,3.91,4944470,310370000
1,"Feb 27, 2018",3.5,4.16,3.46,4.1,3373890,265296000
2,"Feb 26, 2018",3.25,3.54,3.22,3.48,1272440,246274000
3,"Feb 25, 2018",3.25,3.32,3.1,3.25,1041200,246032000
4,"Feb 24, 2018",3.4,3.44,3.08,3.24,1197220,257487000
5,"Feb 23, 2018",3.23,3.58,3.07,3.38,1101830,244923000
6,"Feb 22, 2018",3.33,3.7,3.15,3.24,1375000,252278000
7,"Feb 21, 2018",3.68,3.76,3.21,3.32,1491080,279001000
8,"Feb 20, 2018",4.05,4.09,3.64,3.68,2635170,307193000
9,"Feb 19, 2018",3.9,4.19,3.87,4.02,1459590,295696000
10,"Feb 18, 2018",4.24,4.3,3.86,3.91,1433230,321669000
11,"Feb 17, 2018",4.15,4.38,4.12,4.25,1849830,314368000
12,"Feb 16, 2018",4.14,4.28,3.99,4.13,2386550,313479000
13,"Feb 15, 2018",4.05,4.16,3.92,4.14,2305380,306789000
14,"Feb 14, 2018",3.82,4.14,3.81,4.06,1719190,289622000
15,"Feb 13, 2018",4.03,4.05,3.8,3.84,1175880,305268000
16,"Feb 12, 2018",3.75,4.19,3.75,4.05,1362420,283480000
17,"Feb 11, 2018",4.07,4.07,3.46,3.73,2112290,307962000
18,"Feb 10, 2018",4.6,4.91,3.85,4.07,3164490,347926000
19,"Feb 09, 2018",4.24,4.73,4.02,4.7,107314,320451000
20,"Feb 08, 2018",3.81,4.4,3.81,4.23,6717700,288241000
21,"Feb 07, 2018",3.86,4.97,3.34,3.85,6262650,291530000
22,"Feb 06, 2018",2.57,3.93,2.08,3.86,5419840,194605000
23,"Feb 05, 2018",3.64,3.71,2.19,2.56,3378370,275164000
24,"Feb 04, 2018",4.35,4.39,3.34,3.66,1634300,329072000
25,"Feb 03, 2018",3.82,4.61,3.49,4.34,2592920,288081000
26,"Feb 02, 2018",3.93,4.13,2.76,3.79,4963390,296134000
27,"Feb 01, 2018",4.53,4.55,3.53,3.92,3558920,341479000
28,"Jan 31, 2018",4.27,5.01,4.04,4.53,6535140,322111000
29,"Jan 30, 2018",4.8,4.85,3.89,4.27,3693020,362322000
30,"Jan 29, 2018",5.23,5.38,4.77,4.8,2800750,394093000
31,"Jan 28, 2018",5.44,5.66,5.16,5.23,2462540,410126000
32,"Jan 27, 2018",5.39,5.65,5.29,5.43,1889200,406196000
33,"Jan 26, 2018",5.47,5.68,4.83,5.41,3698180,412585000
34,"Jan 25, 2018",5.79,5.93,5.43,5.51,2139980,436319000
35,"Jan 24, 2018",5.71,6.09,5.6,5.75,2697100,430794000
36,"Jan 23, 2018",5.91,6.28,5.24,5.73,3513320,445348000
37,"Jan 22, 2018",6.38,6.56,5.3,5.84,3675430,481308000
38,"Jan 21, 2018",7.31,7.31,6.13,6.31,2790070,550929000
39,"Jan 20, 2018",6.79,7.53,6.74,7.29,4531850,511920000
40,"Jan 19, 2018",7.0,7.21,6.46,6.77,4795660,527671000
41,"Jan 18, 2018",7.08,7.89,6.73,7.06,7004900,533939000
42,"Jan 17, 2018",6.35,7.05,4.74,7.02,12945400,479077000
43,"Jan 16, 2018",6.46,7.17,4.46,6.24,17651600,487277000
44,"Jan 15, 2018",7.14,7.51,6.39,6.47,6430980,538352000
45,"Jan 14, 2018",8.16,8.19,6.89,7.28,5569960,615384000
46,"Jan 13, 2018",8.06,8.44,7.56,8.17,7781280,607654000
47,"Jan 12, 2018",7.82,8.67,7.62,8.02,5879260,589978000
48,"Jan 11, 2018",9.54,9.61,7.25,7.75,7620220,719685000
49,"Jan 10, 2018",9.13,9.51,7.73,9.51,11669700,688569000
50,"Jan 09, 2018",9.63,10.17,8.92,9.15,9884330,725747000
51,"Jan 08, 2018",11.04,11.04,8.52,9.7,13314400,832265000
52,"Jan 07, 2018",8.99,11.58,8.89,11.02,21982600,677654000
53,"Jan 06, 2018",9.21,9.98,8.53,8.96,14628800,694690000
54,"Jan 05, 2018",6.55,12.54,6.16,9.39,39375000,494160000
55,"Jan 04, 2018",6.32,6.72,5.82,6.64,12205700,476372000
56,"Jan 03, 2018",4.58,6.64,4.28,6.29,11899200,345131000
57,"Jan 02, 2018",3.9,4.71,3.71,4.57,19243800,294363000
58,"Jan 01, 2018",2.92,3.93,2.87,3.92,14587400,220265000
59,"Dec 31, 2017",2.44,3.05,2.42,2.91,8940680,184084000
60,"Dec 30, 2017",2.6,2.61,2.22,2.47,6907740,196198000
61,"Dec 29, 2017",2.55,2.75,2.45,2.61,7013680,192007000
62,"Dec 28, 2017",2.48,2.61,2.22,2.52,6915040,187090000
63,"Dec 27, 2017",2.57,2.8,2.3,2.5,7375560,194092000
64,"Dec 26, 2017",2.53,2.82,2.19,2.57,8516190,190506000
65,"Dec 25, 2017",2.88,2.93,2.53,2.56,7127560,216894000
66,"Dec 24, 2017",3.05,3.05,2.55,2.86,7709580,229673000
67,"Dec 23, 2017",2.7,3.29,2.7,3.01,10375000,203264000
68,"Dec 22, 2017",3.25,3.25,1.93,2.67,12229200,244191000
69,"Dec 21, 2017",2.51,3.3,2.5,3.2,21014500,188442000
70,"Dec 20, 2017",2.03,2.55,1.85,2.53,10971600,152827000
71,"Dec 19, 2017",2.16,2.36,1.9,2.03,8078700,162099000
72,"Dec 18, 2017",1.64,2.08,1.47,2.06,11335700,123563000
73,"Dec 17, 2017",1.34,1.73,1.33,1.62,6813570,100623000
74,"Dec 16, 2017",1.35,1.42,1.31,1.33,4912260,101133000
75,"Dec 15, 2017",1.4,1.44,1.27,1.34,4551700,105261000
76,"Dec 14, 2017",1.25,1.52,1.24,1.41,5732340,94120100
77,"Dec 13, 2017",1.32,1.37,1.21,1.25,4329040,99020700
78,"Dec 12, 2017",1.36,1.39,1.23,1.31,4729520,101941000
79,"Dec 11, 2017",1.24,1.63,1.23,1.36,5316300,93118700
80,"Dec 10, 2017",1.43,1.43,1.2,1.24,1095280,107640000
81,"Dec 09, 2017",1.46,1.49,1.32,1.42,1244420,109604000
82,"Dec 08, 2017",1.27,1.51,1.2,1.46,2111270,95720800
83,"Dec 07, 2017",1.4,1.48,1.2,1.24,2641450,105300000
84,"Dec 06, 2017",1.51,1.55,1.33,1.42,1792840,113668000
85,"Dec 05, 2017",1.56,1.61,1.48,1.52,1173830,117164000
86,"Dec 04, 2017",1.47,1.6,1.42,1.6,1148770,110302000
87,"Dec 03, 2017",1.49,1.59,1.41,1.45,1601840,111736000
88,"Dec 02, 2017",1.63,1.63,1.49,1.49,1086700,121784000
89,"Dec 01, 2017",1.47,1.75,1.47,1.61,1418340,110035000
90,"Nov 30, 2017",1.39,1.55,1.28,1.48,1870590,103565000
91,"Nov 29, 2017",1.59,1.63,1.24,1.35,2390200,118851000
92,"Nov 28, 2017",1.68,1.69,1.57,1.6,1462290,124858000
93,"Nov 27, 2017",1.7,1.75,1.63,1.65,1836410,126943000
94,"Nov 26, 2017",1.73,1.77,1.7,1.7,1107840,129093000
95,"Nov 25, 2017",1.57,1.75,1.57,1.72,1138540,117027000
96,"Nov 24, 2017",1.53,1.64,1.36,1.57,2257280,114096000
97,"Nov 23, 2017",1.72,1.73,1.53,1.53,2406350,128138000
98,"Nov 22, 2017",1.7,1.86,1.61,1.72,3246300,127051000
99,"Nov 21, 2017",1.82,1.97,1.62,1.7,4534410,135696000
100,"Nov 20, 2017",1.4,2.08,1.4,1.81,10208100,101739000
101,"Nov 19, 2017",1.34,1.41,1.29,1.41,1577090,97351200
102,"Nov 18, 2017",1.36,1.37,1.27,1.34,1221800,98517900
103,"Nov 17, 2017",1.31,1.44,1.3,1.36,1768860,95071800
104,"Nov 16, 2017",1.32,1.43,1.29,1.32,1956450,95344800
105,"Nov 15, 2017",1.24,1.34,1.23,1.3,1818780,89846000
106,"Nov 14, 2017",1.1,1.24,1.09,1.24,1849090,79721900
107,"Nov 13, 2017",0.94629,1.13,0.94629,1.09,1778530,68453800
108,"Nov 12, 2017",1.03,1.04,0.9142620000000001,0.945626,2779900,74347600
109,"Nov 11, 2017",0.9636,1.08,0.96298,1.03,2634190,69705900
110,"Nov 10, 2017",1.01,1.05,0.9236129999999999,0.9683639999999999,3087760,73262500
111,"Nov 09, 2017",0.990303,1.09,0.9763799999999999,1.01,2842790,71634800
