,Date,Open,High,Low,Close,Volume,Market Cap
0,"Feb 20, 2018",4.99,4.99,4.69,4.7,10315400,299416000
1,"Feb 19, 2018",4.65,5.06,4.64,4.93,10265900,278985000
2,"Feb 18, 2018",5.01,5.04,4.64,4.65,8577660,300548000
3,"Feb 17, 2018",4.96,5.14,4.92,5.01,11120600,297356000
4,"Feb 16, 2018",4.87,4.99,4.67,4.95,10179900,292333000
5,"Feb 15, 2018",4.89,5.07,4.78,4.89,11466800,293679000
6,"Feb 14, 2018",4.61,5.0,4.61,4.9,10864400,276886000
7,"Feb 13, 2018",4.79,4.88,4.52,4.62,11642800,287692000
8,"Feb 12, 2018",4.64,4.86,4.62,4.79,11328600,278493000
9,"Feb 11, 2018",4.72,5.05,4.31,4.63,17959000,283490000
10,"Feb 10, 2018",4.51,4.89,4.48,4.73,19711100,270565000
11,"Feb 09, 2018",4.24,4.54,4.12,4.51,14960500,254304000
12,"Feb 08, 2018",3.85,4.31,3.85,4.23,12073000,231111000
13,"Feb 07, 2018",3.82,4.29,3.69,3.85,8145460,229006000
14,"Feb 06, 2018",3.69,3.87,2.92,3.83,12086400,221279000
15,"Feb 05, 2018",4.5,4.55,3.57,3.69,9765510,270181000
16,"Feb 04, 2018",4.88,4.97,4.38,4.53,11035200,292882000
17,"Feb 03, 2018",4.42,5.06,4.38,4.89,15176300,264918000
18,"Feb 02, 2018",4.33,4.63,3.77,4.41,16680400,259804000
19,"Feb 01, 2018",4.97,5.27,4.18,4.33,5463210,297978000
20,"Jan 31, 2018",4.8,4.96,4.33,4.96,6343860,287886000
21,"Jan 30, 2018",5.24,5.43,4.78,4.78,6577740,314268000
22,"Jan 29, 2018",5.66,5.68,5.17,5.24,2548430,339829000
23,"Jan 28, 2018",5.43,5.69,5.38,5.67,12010400,325753000
24,"Jan 27, 2018",5.29,5.47,5.23,5.41,6315700,317689000
25,"Jan 26, 2018",5.39,5.65,5.03,5.29,7967910,323180000
26,"Jan 25, 2018",5.25,5.69,5.24,5.4,9702830,315028000
27,"Jan 24, 2018",4.81,5.94,4.57,5.22,8858520,288343000
28,"Jan 23, 2018",5.03,5.88,4.67,4.81,9447920,301917000
29,"Jan 22, 2018",4.94,6.15,4.78,5.03,10010900,296162000
