,Date,Open,High,Low,Close,Volume,Market Cap
0,"Feb 20, 2018",3.1,3.13,2.81,2.82,2540870,199222000
1,"Feb 19, 2018",2.77,3.61,2.73,3.07,5356810,178406000
2,"Feb 18, 2018",2.9,2.92,2.54,2.79,2205800,186639000
3,"Feb 17, 2018",2.59,3.06,2.57,2.9,4420020,166628000
4,"Feb 16, 2018",2.5,2.6,2.45,2.59,1636670,160836000
5,"Feb 15, 2018",2.45,2.55,2.43,2.49,1830460,157565000
6,"Feb 14, 2018",2.26,2.45,2.26,2.44,1155400,145672000
7,"Feb 13, 2018",2.4,2.42,2.25,2.27,1004810,154225000
8,"Feb 12, 2018",2.21,2.42,2.2,2.39,1022070,142240000
9,"Feb 11, 2018",2.36,2.36,2.11,2.2,1054510,151781000
10,"Feb 10, 2018",2.41,2.61,2.28,2.36,1940920,155119000
11,"Feb 09, 2018",2.28,2.43,2.19,2.41,2120600,146535000
12,"Feb 08, 2018",2.1,2.44,2.1,2.27,1447340,134881000
13,"Feb 07, 2018",2.2,2.47,2.07,2.1,1728790,141380000
14,"Feb 06, 2018",1.98,2.24,1.54,2.21,2745990,127697000
15,"Feb 05, 2018",2.4,2.47,1.92,1.99,3039920,154355000
16,"Feb 04, 2018",2.97,2.99,2.37,2.42,2282110,191414000
17,"Feb 03, 2018",2.79,3.12,2.56,2.96,4121630,179688000
18,"Feb 02, 2018",2.73,3.04,2.09,2.8,5751270,175915000
19,"Feb 01, 2018",3.18,3.2,2.54,2.73,3376430,204403000
20,"Jan 31, 2018",3.14,3.45,2.94,3.17,3787400,201820000
21,"Jan 30, 2018",3.79,3.83,3.14,3.14,5108830,244229000
22,"Jan 29, 2018",4.12,4.12,3.76,3.79,2490470,265372000
23,"Jan 28, 2018",4.1,4.22,3.97,4.11,2216490,264058000
24,"Jan 27, 2018",4.21,4.36,4.05,4.09,3020000,270793000
25,"Jan 26, 2018",4.18,4.67,3.88,4.2,6761050,269050000
26,"Jan 25, 2018",3.77,4.57,3.67,4.33,7155300,242381000
27,"Jan 24, 2018",3.66,3.89,3.53,3.72,2874110,235367000
28,"Jan 23, 2018",3.56,3.83,3.3,3.66,2358980,229416000
29,"Jan 22, 2018",4.03,4.14,3.27,3.59,4016680,259453000
