,Date,Open,High,Low,Close,Volume,Market Cap
0,"Feb 20, 2018",47.88,50.04,43.04,43.31,5583400,467121000
1,"Feb 19, 2018",44.88,48.28,44.79,47.77,4677070,437642000
2,"Feb 18, 2018",48.85,49.07,43.74,45.37,4970220,476127000
3,"Feb 17, 2018",47.02,49.35,45.77,48.7,5289930,456919000
4,"Feb 16, 2018",44.81,46.99,43.25,46.99,4898880,435268000
5,"Feb 15, 2018",42.98,46.4,41.79,44.86,6653660,417208000
6,"Feb 14, 2018",37.73,43.12,37.73,43.04,5594950,366032000
7,"Feb 13, 2018",38.79,39.73,37.75,37.9,3470130,376033000
8,"Feb 12, 2018",38.58,41.93,38.58,38.78,4562850,373899000
9,"Feb 11, 2018",40.05,40.74,35.78,38.36,3755470,387958000
10,"Feb 10, 2018",43.13,44.24,38.5,40.19,5457140,417387000
11,"Feb 09, 2018",41.54,43.84,39.11,43.16,5467500,401814000
12,"Feb 08, 2018",37.35,43.19,37.35,41.43,9420860,361066000
13,"Feb 07, 2018",40.41,44.72,34.88,37.39,13622300,390387000
14,"Feb 06, 2018",31.37,41.75,25.02,40.91,12800600,302903000
15,"Feb 05, 2018",41.98,42.41,27.82,31.0,10018300,405159000
16,"Feb 04, 2018",50.68,50.96,38.61,42.26,12683100,488573000
17,"Feb 03, 2018",46.46,53.8,43.34,51.01,14994800,447604000
18,"Feb 02, 2018",50.71,50.71,36.0,46.49,12745900,488180000
19,"Feb 01, 2018",57.94,59.03,45.89,50.99,22232500,557481000
20,"Jan 31, 2018",60.88,63.18,55.87,57.4,28442400,585438000
21,"Jan 30, 2018",70.02,72.72,56.76,60.58,53570600,672736000
22,"Jan 29, 2018",51.52,72.09,50.27,69.81,64574500,494603000
23,"Jan 28, 2018",50.09,52.21,49.19,51.57,23253300,480558000
24,"Jan 27, 2018",49.44,50.91,48.02,49.92,20189200,474087000
25,"Jan 26, 2018",49.24,51.82,45.25,49.61,20652600,471862000
26,"Jan 25, 2018",49.72,53.43,47.77,49.36,24091800,476142000
27,"Jan 24, 2018",44.83,52.26,43.57,49.16,24453700,429056000
28,"Jan 23, 2018",46.87,49.94,42.21,44.8,17749300,448344000
29,"Jan 22, 2018",50.31,52.1,42.27,46.93,21474000,480830000
