,Date,Open,High,Low,Close,Volume,Market Cap
0,"Feb 20, 2018",13.21,13.43,11.47,12.27,69310300,563502000
1,"Feb 19, 2018",12.44,13.42,11.99,13.2,74110500,530623000
2,"Feb 18, 2018",13.3,13.51,11.68,12.26,76226100,567047000
3,"Feb 17, 2018",13.38,13.79,13.0,13.49,69145700,570485000
4,"Feb 16, 2018",13.41,13.47,12.83,13.38,71895500,571597000
5,"Feb 15, 2018",13.63,13.73,13.07,13.44,78419400,581187000
6,"Feb 14, 2018",12.69,13.65,12.69,13.63,83691800,540833000
7,"Feb 13, 2018",12.29,12.84,11.74,12.73,81440900,523586000
8,"Feb 12, 2018",11.61,12.39,11.6,12.29,60837700,494518000
9,"Feb 11, 2018",11.98,12.09,10.94,11.23,43560800,510309000
10,"Feb 10, 2018",12.66,13.42,11.52,12.0,74036800,539405000
11,"Feb 09, 2018",10.7,12.7,10.31,12.66,57212900,455792000
12,"Feb 08, 2018",10.01,11.05,10.01,10.69,64725900,426180000
13,"Feb 07, 2018",10.48,10.89,9.41,10.01,66448400,446483000
14,"Feb 06, 2018",8.53,10.67,7.2,10.56,85757600,363262000
15,"Feb 05, 2018",10.35,10.56,8.05,8.5,61644200,440663000
16,"Feb 04, 2018",12.03,12.34,9.98,10.5,69902000,512429000
17,"Feb 03, 2018",11.59,12.5,10.47,11.99,80317600,493310000
18,"Feb 02, 2018",11.88,11.92,9.58,11.53,80177100,505665000
19,"Feb 01, 2018",14.13,14.66,11.28,11.9,82753900,601368000
20,"Jan 31, 2018",14.62,14.62,13.03,14.09,107610000,622292000
21,"Jan 30, 2018",16.09,16.79,14.37,14.61,115185000,684767000
22,"Jan 29, 2018",16.43,16.95,14.74,15.97,126988000,698990000
23,"Jan 28, 2018",16.71,17.23,16.32,16.45,129529000,711159000
24,"Jan 27, 2018",17.17,18.16,16.48,16.96,151517000,730590000
25,"Jan 26, 2018",17.65,20.1,16.12,17.1,216520000,751081000
26,"Jan 25, 2018",15.71,18.39,15.49,17.47,202443000,668416000
27,"Jan 24, 2018",11.88,16.45,11.61,15.41,174625000,505451000
28,"Jan 23, 2018",11.26,12.97,10.4,11.85,109341000,479068000
29,"Jan 22, 2018",12.26,12.74,10.45,11.27,104489000,521265000
