,Date,Open,High,Low,Close,Volume,Market Cap
0,"Feb 20, 2018",4.8,4.84,4.12,4.16,52935400,1852600000
1,"Feb 19, 2018",4.69,4.94,4.68,4.81,35274700,1810200000
2,"Feb 18, 2018",5.4,5.4,4.62,4.71,48768400,2085550000
3,"Feb 17, 2018",4.89,5.78,4.82,5.39,97824900,1888860000
4,"Feb 16, 2018",4.82,4.97,4.5,4.85,41488100,1839770000
5,"Feb 15, 2018",4.44,4.88,4.31,4.86,57393200,1692880000
6,"Feb 14, 2018",3.91,4.52,3.89,4.42,46688800,1493020000
7,"Feb 13, 2018",4.25,4.32,3.86,3.94,35776400,1619740000
8,"Feb 12, 2018",3.86,4.48,3.86,4.25,51677700,1471540000
9,"Feb 11, 2018",4.04,4.15,3.42,3.8,55951900,1542150000
10,"Feb 10, 2018",4.57,4.71,3.78,4.09,57370900,1744970000
11,"Feb 09, 2018",4.35,4.58,4.1,4.57,10375600,1657680000
12,"Feb 08, 2018",3.82,4.5,3.82,4.33,99461300,1458380000
13,"Feb 07, 2018",4.38,4.84,3.74,3.81,90748200,1672260000
14,"Feb 06, 2018",3.08,4.7,2.4,4.41,163330000,1175930000
15,"Feb 05, 2018",4.27,4.35,2.58,3.08,83113100,1630110000
16,"Feb 04, 2018",5.44,5.48,4.03,4.36,54855100,2074470000
17,"Feb 03, 2018",5.3,5.96,4.71,5.43,47213900,2021100000
18,"Feb 02, 2018",6.08,6.08,3.77,5.3,94399400,2319700000
19,"Feb 01, 2018",7.72,7.75,5.43,6.09,128136000,2942890000
20,"Jan 31, 2018",8.27,8.82,7.15,7.68,178997000,3151000000
21,"Jan 30, 2018",9.52,10.08,7.94,8.27,205957000,3628280000
22,"Jan 29, 2018",9.43,9.63,8.62,9.47,120820000,3582480000
23,"Jan 28, 2018",7.94,9.63,7.91,9.41,154715000,3017350000
24,"Jan 27, 2018",7.93,8.07,7.67,7.86,42756600,3012180000
25,"Jan 26, 2018",7.82,8.1,6.94,7.94,65230500,2972130000
26,"Jan 25, 2018",8.38,8.73,7.65,7.84,84307600,3183380000
27,"Jan 24, 2018",8.1,9.3,7.51,8.34,184779000,3079560000
28,"Jan 23, 2018",8.12,8.73,7.18,8.12,87696600,3087210000
29,"Jan 22, 2018",9.02,9.3,7.38,8.16,85710100,3427670000
