,Date,Open,High,Low,Close,Volume,Market Cap
0,"Feb 20, 2018",2.09,2.12,1.88,1.91,49930400,5800510000
1,"Feb 19, 2018",1.99,2.14,1.99,2.09,32581400,5521610000
2,"Feb 18, 2018",2.2,2.21,1.98,1.98,43653800,6121620000
3,"Feb 17, 2018",2.1,2.21,2.08,2.2,42149700,5842140000
4,"Feb 16, 2018",2.12,2.18,2.0,2.1,44770200,5894520000
5,"Feb 15, 2018",2.03,2.17,2.0,2.13,65315300,5635360000
6,"Feb 14, 2018",1.82,2.03,1.79,2.03,53007600,5052450000
7,"Feb 13, 2018",1.87,1.87,1.75,1.81,30056900,5211600000
8,"Feb 12, 2018",1.71,1.91,1.71,1.87,36974300,4763780000
9,"Feb 11, 2018",1.86,1.86,1.62,1.7,45356200,5165180000
10,"Feb 10, 2018",1.96,2.13,1.79,1.86,68051900,5437920000
11,"Feb 09, 2018",1.78,1.97,1.7,1.96,45992000,4953720000
12,"Feb 08, 2018",1.61,1.85,1.61,1.78,51576300,4475690000
13,"Feb 07, 2018",1.62,1.88,1.53,1.6,65922600,4491550000
14,"Feb 06, 2018",1.48,1.7,1.2,1.62,101327000,4104810000
15,"Feb 05, 2018",1.75,1.77,1.35,1.45,69213800,4867820000
16,"Feb 04, 2018",1.98,2.07,1.64,1.74,59380900,5503780000
17,"Feb 03, 2018",1.81,2.02,1.63,1.99,64062000,5023050000
18,"Feb 02, 2018",1.9,1.92,1.41,1.81,118068000,5280740000
19,"Feb 01, 2018",2.31,2.33,1.75,1.91,108876000,6419970000
20,"Jan 31, 2018",2.22,2.34,2.18,2.31,48505200,6162980000
21,"Jan 30, 2018",2.59,2.64,2.2,2.22,94218100,7195220000
22,"Jan 29, 2018",2.52,2.58,2.4,2.58,60210600,7007530000
23,"Jan 28, 2018",2.46,2.56,2.46,2.52,47752200,6830550000
24,"Jan 27, 2018",2.38,2.49,2.37,2.45,43333600,6607670000
25,"Jan 26, 2018",2.36,2.45,2.2,2.37,62216500,6558110000
26,"Jan 25, 2018",2.46,2.59,2.34,2.37,56586500,6845150000
27,"Jan 24, 2018",2.52,2.57,2.37,2.43,73441600,6998060000
28,"Jan 23, 2018",2.47,2.62,2.24,2.5,81217500,6861570000
29,"Jan 22, 2018",2.78,2.9,2.18,2.47,125555000,7738110000
