,Date,Open,High,Low,Close,Volume,Market Cap
0,"Feb 20, 2018",5.24,5.24,4.66,4.7,6752570,542122000
1,"Feb 19, 2018",5.01,5.15,4.86,5.12,3766070,518253000
2,"Feb 18, 2018",5.56,5.56,4.8,5.01,5638760,575095000
3,"Feb 17, 2018",5.64,5.96,5.32,5.52,24404900,583020000
4,"Feb 16, 2018",5.24,5.31,5.03,5.26,6309230,542020000
5,"Feb 15, 2018",4.57,5.74,4.54,5.29,46832600,471913000
6,"Feb 14, 2018",4.01,4.61,3.99,4.56,3596820,414061000
7,"Feb 13, 2018",4.24,4.29,3.95,4.02,2360390,437649000
8,"Feb 12, 2018",4.0,4.28,3.96,4.22,1862660,413200000
9,"Feb 11, 2018",4.29,4.29,3.75,3.96,1922750,442684000
10,"Feb 10, 2018",4.41,4.88,4.08,4.31,4449310,455035000
11,"Feb 09, 2018",4.02,4.45,3.84,4.43,4079630,414173000
12,"Feb 08, 2018",3.66,4.08,3.66,4.01,2647580,376741000
13,"Feb 07, 2018",3.83,4.12,3.53,3.65,3733540,394099000
14,"Feb 06, 2018",3.28,3.86,2.54,3.85,4249480,336964000
15,"Feb 05, 2018",4.25,4.37,3.14,3.27,2920250,436504000
16,"Feb 04, 2018",5.02,5.22,4.01,4.28,2752820,515684000
17,"Feb 03, 2018",4.43,5.12,4.11,5.01,6692300,453688000
18,"Feb 02, 2018",4.92,4.97,3.51,4.44,6258700,492332000
19,"Feb 01, 2018",5.91,5.98,4.6,4.94,4019180,612271000
20,"Jan 31, 2018",5.9,6.0,5.44,5.92,6080110,611589000
21,"Jan 30, 2018",7.24,7.24,5.73,6.04,5711550,750223000
22,"Jan 29, 2018",7.01,7.4,6.81,7.25,14270300,725440000
23,"Jan 28, 2018",6.71,7.19,6.63,7.05,6356420,694041000
24,"Jan 27, 2018",6.57,6.74,6.27,6.69,3586950,679288000
25,"Jan 26, 2018",6.65,6.88,5.91,6.56,5540690,687319000
26,"Jan 25, 2018",6.8,7.01,6.41,6.66,7112170,702705000
27,"Jan 24, 2018",6.25,7.08,6.15,6.74,34751500,644726000
28,"Jan 23, 2018",6.25,6.6,5.63,6.24,10166500,644149000
29,"Jan 22, 2018",6.93,7.06,5.63,6.23,7622780,713777000
