,Date,Open,High,Low,Close,Volume,Market Cap
0,"Feb 20, 2018",5.19,5.32,4.39,4.43,2349610,472213000
1,"Feb 19, 2018",5.46,5.61,4.67,5.18,2572470,496786000
2,"Feb 18, 2018",5.72,5.88,5.4,5.47,1571020,520550000
3,"Feb 17, 2018",5.85,6.0,5.61,5.76,2200560,532266000
4,"Feb 16, 2018",5.96,6.03,5.74,5.82,1550640,542830000
5,"Feb 15, 2018",5.72,6.27,5.62,5.98,2354440,520800000
6,"Feb 14, 2018",5.42,5.87,5.42,5.72,1942250,493761000
7,"Feb 13, 2018",5.76,5.85,5.33,5.41,1245460,524117000
8,"Feb 12, 2018",5.16,5.86,5.14,5.77,2140270,469807000
9,"Feb 11, 2018",5.63,5.63,5.07,5.22,1236640,512969000
10,"Feb 10, 2018",5.86,6.43,5.3,5.66,2810370,533711000
11,"Feb 09, 2018",5.85,5.97,5.38,5.84,2978760,533037000
12,"Feb 08, 2018",5.21,6.2,5.21,5.79,2094170,474120000
13,"Feb 07, 2018",5.74,6.55,4.95,5.24,3109060,522858000
14,"Feb 06, 2018",4.62,5.84,3.53,5.78,4579670,420875000
15,"Feb 05, 2018",6.03,6.24,4.07,4.57,3397490,549295000
16,"Feb 04, 2018",7.73,7.85,5.76,6.05,2749720,703462000
17,"Feb 03, 2018",6.75,8.05,6.17,7.68,3358400,614457000
18,"Feb 02, 2018",7.19,7.23,5.09,6.67,4303520,654585000
19,"Feb 01, 2018",8.06,8.39,6.51,7.22,3910450,734250000
20,"Jan 31, 2018",7.95,8.3,7.56,8.02,3131390,723519000
21,"Jan 30, 2018",9.35,9.51,7.51,7.93,4867190,851643000
22,"Jan 29, 2018",10.6,10.82,9.22,9.32,5277690,965410000
23,"Jan 28, 2018",10.27,12.25,9.64,10.57,12042100,934736000
24,"Jan 27, 2018",7.69,10.44,7.69,10.28,8696680,700559000
25,"Jan 26, 2018",7.26,7.76,6.58,7.72,4320420,661070000
26,"Jan 25, 2018",7.64,8.41,7.06,7.3,5256490,695966000
27,"Jan 24, 2018",7.85,8.21,7.11,7.55,4955080,714755000
28,"Jan 23, 2018",8.3,8.5,7.23,7.88,4428750,755615000
29,"Jan 22, 2018",9.53,9.74,7.44,8.31,5933250,867381000
