,Date,Open,High,Low,Close,Volume,Market Cap
0,"Feb 28, 2018",20.09,20.23,18.34,18.34,38836200,2055330000
1,"Feb 27, 2018",20.69,20.73,19.64,20.12,40475100,2115900000
2,"Feb 26, 2018",19.95,21.25,19.35,20.65,43196600,2039330000
3,"Feb 25, 2018",20.81,20.9,19.38,20.01,38564100,2127040000
4,"Feb 24, 2018",22.48,23.01,20.08,20.82,49191700,2297060000
5,"Feb 23, 2018",21.39,23.52,20.5,22.6,67264300,2184640000
6,"Feb 22, 2018",22.36,24.33,20.51,21.48,85276200,2283080000
7,"Feb 21, 2018",26.06,26.26,21.87,22.41,115332000,2658780000
8,"Feb 20, 2018",30.08,32.41,25.86,26.19,246763000,3068380000
9,"Feb 19, 2018",29.69,30.86,29.3,30.37,118805000,3510240000
10,"Feb 18, 2018",33.22,33.22,28.45,29.69,120072000,3925290000
11,"Feb 17, 2018",32.05,35.87,31.53,33.22,160432000,3786520000
12,"Feb 16, 2018",32.0,32.42,30.98,32.01,72607000,3779450000
13,"Feb 15, 2018",28.3,31.97,28.15,31.37,95799000,3340920000
14,"Feb 14, 2018",25.96,28.66,25.96,28.28,68051000,3064760000
15,"Feb 13, 2018",28.08,28.32,25.57,26.0,70524500,3313850000
16,"Feb 12, 2018",25.52,28.83,25.51,28.12,58563000,3010810000
17,"Feb 11, 2018",27.35,27.35,23.36,25.28,58193200,3225830000
18,"Feb 10, 2018",27.36,30.87,25.15,27.26,105683000,3225960000
19,"Feb 09, 2018",23.08,27.28,22.07,27.25,84338000,2720310000
20,"Feb 08, 2018",18.24,23.83,18.24,23.09,83927600,2148840000
21,"Feb 07, 2018",18.06,20.94,16.45,18.31,44932000,2126900000
22,"Feb 06, 2018",15.2,18.34,11.97,18.26,55712200,1790490000
23,"Feb 05, 2018",19.72,20.43,14.46,15.13,45445800,2322130000
24,"Feb 04, 2018",23.15,23.2,18.85,20.01,34650700,2724380000
25,"Feb 03, 2018",21.6,23.84,19.51,23.08,48285400,2540940000
26,"Feb 02, 2018",22.25,22.25,16.0,21.41,75701400,2616560000
27,"Feb 01, 2018",26.37,26.46,20.65,22.34,87605500,3101040000
28,"Jan 31, 2018",21.75,35.26,20.58,26.34,309340000,2556440000
29,"Jan 30, 2018",22.58,23.47,20.88,21.71,50405900,2653910000
30,"Jan 29, 2018",23.28,23.55,22.3,22.55,34448300,2734540000
31,"Jan 28, 2018",23.33,24.11,23.27,23.29,37791200,2740090000
32,"Jan 27, 2018",21.36,23.6,20.75,23.25,55110400,2507910000
33,"Jan 26, 2018",22.56,24.2,19.2,21.4,83297100,2648570000
34,"Jan 25, 2018",22.47,22.89,21.41,22.65,40204100,2637130000
35,"Jan 24, 2018",21.88,22.85,21.3,22.16,44024700,2566650000
36,"Jan 23, 2018",21.33,23.1,19.91,21.82,68285400,2502090000
37,"Jan 22, 2018",22.31,23.05,19.53,21.39,46743700,2615440000
38,"Jan 21, 2018",25.43,25.55,21.11,22.12,48303200,2980190000
