,Date,Open,High,Low,Close,Volume,Market Cap
0,"Feb 28, 2018",217.28,223.51,202.71,202.9,761322000,12039200000
1,"Feb 27, 2018",221.71,224.21,215.84,216.6,856454000,12281600000
2,"Feb 26, 2018",222.14,234.42,218.74,220.96,1297080000,12302000000
3,"Feb 25, 2018",208.13,225.55,202.37,220.47,1028590000,11523500000
4,"Feb 24, 2018",210.64,220.31,197.88,209.42,937312000,11659200000
5,"Feb 23, 2018",194.19,216.13,184.07,209.31,1065680000,10746100000
6,"Feb 22, 2018",212.84,222.77,191.81,195.31,974379000,11774800000
7,"Feb 21, 2018",230.95,235.41,208.93,213.35,1195820000,12773200000
8,"Feb 20, 2018",223.09,253.9,222.51,232.85,1739670000,12335100000
9,"Feb 19, 2018",215.41,226.97,215.38,223.06,767597000,11907900000
10,"Feb 18, 2018",230.51,232.64,214.46,215.74,1011120000,12738800000
11,"Feb 17, 2018",229.5,233.45,225.6,229.47,863401000,12679700000
12,"Feb 16, 2018",225.5,236.09,212.33,230.12,1300090000,12455300000
13,"Feb 15, 2018",212.35,237.88,211.17,225.43,2087290000,11725700000
14,"Feb 14, 2018",159.58,218.23,159.58,213.36,2383340000,8809590000
15,"Feb 13, 2018",161.78,162.37,153.51,159.55,483468000,8928360000
16,"Feb 12, 2018",150.1,163.35,150.1,161.57,535710000,8282050000
17,"Feb 11, 2018",155.39,155.73,142.61,148.99,495720000,8571530000
18,"Feb 10, 2018",163.49,169.33,149.14,155.59,576328000,9015890000
19,"Feb 09, 2018",149.73,163.98,142.59,163.95,722205000,8254980000
20,"Feb 08, 2018",138.34,151.08,138.34,149.47,869207000,7624630000
21,"Feb 07, 2018",142.48,157.9,131.52,138.2,817808000,7851100000
22,"Feb 06, 2018",127.52,146.11,106.94,142.99,1148410000,7024630000
23,"Feb 05, 2018",148.73,153.52,118.15,125.33,844678000,8190580000
24,"Feb 04, 2018",160.38,173.8,139.69,148.03,1006080000,8829970000
25,"Feb 03, 2018",131.4,165.56,121.17,160.25,687676000,7232410000
26,"Feb 02, 2018",142.56,142.56,105.35,131.38,815540000,7844710000
27,"Feb 01, 2018",163.68,165.81,131.55,142.3,539880000,9004330000
28,"Jan 31, 2018",165.3,167.07,157.65,163.35,363293000,9090870000
29,"Jan 30, 2018",181.44,181.52,163.03,165.28,433227000,9976170000
30,"Jan 29, 2018",193.75,194.39,179.23,181.66,303561000,10649800000
31,"Jan 28, 2018",181.42,194.68,181.42,193.87,363515000,9969420000
32,"Jan 27, 2018",176.66,183.15,174.88,180.89,291633000,9705020000
33,"Jan 26, 2018",179.82,182.89,167.08,176.73,375477000,9875590000
34,"Jan 25, 2018",181.56,185.42,176.35,180.27,363138000,9968750000
35,"Jan 24, 2018",178.43,186.28,173.72,179.99,375949000,9793780000
36,"Jan 23, 2018",180.28,186.31,165.73,177.81,441765000,9892990000
37,"Jan 22, 2018",191.79,195.25,166.88,180.01,494091000,10521900000
38,"Jan 21, 2018",211.24,211.24,184.64,190.42,463516000,11585700000
39,"Jan 20, 2018",194.38,214.59,194.38,211.02,540786000,10658300000
40,"Jan 19, 2018",191.19,202.07,186.94,192.96,560284000,10480800000
41,"Jan 18, 2018",186.95,207.02,176.83,192.84,936784000,10245500000
42,"Jan 17, 2018",190.15,197.79,141.01,186.52,1422490000,10417800000
43,"Jan 16, 2018",232.82,232.82,152.29,188.33,1405070000,12752100000
44,"Jan 15, 2018",237.29,245.0,232.77,232.77,601770000,12993700000
45,"Jan 14, 2018",260.58,270.85,234.27,238.68,886415000,14265000000
46,"Jan 13, 2018",236.88,263.19,236.88,259.19,961043000,12964300000
47,"Jan 12, 2018",229.79,243.59,224.82,236.86,691160000,12572900000
48,"Jan 11, 2018",251.52,255.05,223.0,229.37,1079390000,13758400000
49,"Jan 10, 2018",248.07,251.05,233.86,250.52,1009910000,13566300000
50,"Jan 09, 2018",254.61,258.5,240.18,247.04,940825000,13920200000
51,"Jan 08, 2018",287.73,289.07,237.66,255.76,1182080000,15726800000
52,"Jan 07, 2018",296.05,305.53,281.93,288.45,1055400000,16178100000
53,"Jan 06, 2018",249.77,323.12,249.41,296.45,2264740000,13645300000
54,"Jan 05, 2018",241.03,256.15,237.88,249.27,1710600000,13164800000
55,"Jan 04, 2018",245.47,245.47,227.01,241.37,3481550000,13403400000
56,"Jan 03, 2018",255.69,260.74,243.13,245.37,3215280000,13957800000
57,"Jan 02, 2018",228.99,263.63,228.99,255.68,1237950000,12496900000
58,"Jan 01, 2018",231.67,236.63,222.2,229.03,633142000,12639700000
59,"Dec 31, 2017",216.97,237.79,213.81,232.1,771042000,11835100000
60,"Dec 30, 2017",245.09,245.43,208.2,218.96,943667000,13364800000
61,"Dec 29, 2017",250.35,258.04,238.33,245.5,1392210000,13648200000
62,"Dec 28, 2017",272.13,273.18,231.38,249.93,2593240000,14831200000
63,"Dec 27, 2017",286.59,290.94,264.42,272.17,777138000,15615200000
64,"Dec 26, 2017",273.11,289.51,272.26,286.5,842993000,14876400000
65,"Dec 25, 2017",277.49,286.79,269.57,273.39,804377000,15111400000
66,"Dec 24, 2017",291.01,291.01,251.04,275.98,1122910000,15842900000
67,"Dec 23, 2017",269.27,312.67,261.64,288.27,1352580000,14655200000
68,"Dec 22, 2017",319.26,320.3,187.48,264.93,2938040000,17371200000
69,"Dec 21, 2017",314.66,339.74,299.53,317.46,1555940000,17116600000
70,"Dec 20, 2017",349.6,349.6,308.63,314.62,2104060000,19012500000
71,"Dec 19, 2017",359.13,375.29,335.68,350.25,2150480000,19525500000
72,"Dec 18, 2017",318.95,360.93,302.0,358.34,1966600000,17336500000
73,"Dec 17, 2017",301.78,332.59,301.78,318.72,1703580000,16398800000
74,"Dec 16, 2017",299.34,309.9,290.13,298.97,1291380000,16260700000
75,"Dec 15, 2017",280.97,316.41,251.22,299.78,2599940000,15258500000
76,"Dec 14, 2017",301.2,311.32,265.66,279.33,2114880000,16352400000
77,"Dec 13, 2017",315.36,341.8,287.48,302.6,3409790000,17116500000
78,"Dec 12, 2017",212.46,341.72,209.68,316.16,6961680000,11528600000
79,"Dec 11, 2017",148.26,225.29,147.34,214.2,2913980000,8042020000
80,"Dec 10, 2017",155.63,155.63,130.16,148.66,1087340000,8438840000
81,"Dec 09, 2017",127.48,171.55,126.59,155.24,2436540000,6910360000
82,"Dec 08, 2017",98.33,133.07,95.4,124.85,1515560000,5327910000
83,"Dec 07, 2017",99.98,101.34,92.27,98.29,645691000,5415710000
84,"Dec 06, 2017",102.48,104.82,97.31,100.35,547512000,5548860000
85,"Dec 05, 2017",104.28,104.3,101.84,102.4,328726000,5644390000
86,"Dec 04, 2017",101.4,104.24,96.53,104.24,331151000,5486740000
87,"Dec 03, 2017",100.19,106.39,98.1,101.26,364022000,5420380000
88,"Dec 02, 2017",98.94,103.8,98.32,100.28,402554000,5351330000
89,"Dec 01, 2017",88.0,100.41,83.74,99.0,561343000,4758600000
90,"Nov 30, 2017",86.25,93.54,78.08,88.33,481948000,4662340000
91,"Nov 29, 2017",96.01,104.61,81.77,85.57,786820000,5188580000
92,"Nov 28, 2017",91.72,96.03,90.34,96.03,388931000,4955290000
93,"Nov 27, 2017",85.89,93.29,85.89,91.6,429591000,4638580000
94,"Nov 26, 2017",88.94,88.94,84.02,85.93,357457000,4801830000
95,"Nov 25, 2017",77.91,89.37,77.52,88.82,487897000,4205220000
96,"Nov 24, 2017",73.14,77.97,72.81,77.97,287392000,3946910000
97,"Nov 23, 2017",71.98,76.4,70.9,73.22,315247000,3882950000
98,"Nov 22, 2017",70.18,71.95,70.18,71.89,157890000,3785260000
99,"Nov 21, 2017",72.2,72.53,68.11,70.03,231665000,3892860000
100,"Nov 20, 2017",71.41,72.92,70.79,72.25,188976000,3849390000
101,"Nov 19, 2017",69.51,72.98,68.6,71.59,243057000,3745710000
102,"Nov 18, 2017",67.41,69.77,65.71,69.64,174063000,3631120000
103,"Nov 17, 2017",70.45,71.12,65.78,67.57,350505000,3794080000
104,"Nov 16, 2017",63.81,72.48,62.94,71.06,418129000,3435690000
105,"Nov 15, 2017",62.78,65.52,62.71,63.82,194636000,3379200000
106,"Nov 14, 2017",61.64,63.81,60.87,62.68,174111000,3317410000
107,"Nov 13, 2017",59.18,62.76,58.85,61.4,237478000,3183830000
108,"Nov 12, 2017",62.31,62.31,57.41,59.01,322820000,3351310000
109,"Nov 11, 2017",59.35,63.71,59.24,62.3,272494000,3191150000
110,"Nov 10, 2017",64.44,65.9,56.91,59.26,291596000,3463640000
111,"Nov 09, 2017",62.49,66.84,61.73,64.27,279653000,3358100000
112,"Nov 08, 2017",61.11,64.06,60.79,62.57,349454000,3283270000
113,"Nov 07, 2017",54.99,63.81,54.99,61.3,402670000,2953400000
114,"Nov 06, 2017",54.76,56.17,53.95,55.17,133918000,2940380000
115,"Nov 05, 2017",55.03,55.48,54.63,54.75,84302000,2953940000
116,"Nov 04, 2017",56.22,56.37,54.94,55.04,83633100,3016940000
117,"Nov 03, 2017",54.58,56.29,54.28,56.18,150030000,2928260000
118,"Nov 02, 2017",53.56,55.28,50.85,54.74,221077000,2872910000
119,"Nov 01, 2017",55.74,55.74,53.18,53.18,112759000,2989140000
120,"Oct 31, 2017",56.37,56.79,55.72,55.75,99381100,3021830000
121,"Oct 30, 2017",56.84,58.55,56.24,56.39,129287000,3046410000
122,"Oct 29, 2017",54.67,57.75,54.49,57.11,138340000,2929280000
123,"Oct 28, 2017",55.38,56.13,54.57,54.69,71063200,2966700000
124,"Oct 27, 2017",55.67,56.25,55.15,55.33,78923100,2981330000
125,"Oct 26, 2017",56.47,57.15,55.28,55.74,81104700,3023150000
126,"Oct 25, 2017",55.95,56.58,54.09,56.49,114510000,2994670000
127,"Oct 24, 2017",54.96,59.1,53.29,55.96,199789000,2940790000
128,"Oct 23, 2017",56.77,56.77,52.87,54.92,177315000,3036830000
129,"Oct 22, 2017",58.27,58.65,56.44,56.81,96781400,3116350000
130,"Oct 21, 2017",60.3,60.52,56.83,58.2,139503000,3224150000
131,"Oct 20, 2017",59.81,61.88,58.56,60.33,150542000,3196870000
132,"Oct 19, 2017",60.82,61.29,58.71,59.74,160943000,3250090000
133,"Oct 18, 2017",59.59,61.75,53.79,60.73,283869000,3183230000
134,"Oct 17, 2017",64.67,64.7,58.85,59.48,205363000,3454040000
135,"Oct 16, 2017",65.72,66.34,62.69,64.62,200428000,3508860000
136,"Oct 15, 2017",64.13,70.09,62.55,65.47,453940000,3422800000
137,"Oct 14, 2017",59.41,66.19,58.6,63.95,313106000,3169870000
138,"Oct 13, 2017",60.55,60.96,55.84,59.43,357124000,3230160000
139,"Oct 12, 2017",50.89,60.11,50.87,60.11,341369000,2713870000
140,"Oct 11, 2017",50.75,51.14,50.32,50.89,57390100,2706060000
141,"Oct 10, 2017",50.15,51.67,49.86,50.72,90415500,2673460000
142,"Oct 09, 2017",53.08,53.39,48.47,50.16,152366000,2828800000
143,"Oct 08, 2017",52.49,54.51,52.26,53.14,100841000,2796640000
144,"Oct 07, 2017",52.14,52.75,51.64,52.58,51786200,2776920000
145,"Oct 06, 2017",51.64,52.6,51.53,52.12,59355900,2749460000
146,"Oct 05, 2017",51.4,51.87,50.44,51.67,69594400,2736260000
147,"Oct 04, 2017",52.28,53.05,50.83,51.4,77473400,2782460000
148,"Oct 03, 2017",53.39,53.59,51.59,52.35,88516100,2840540000
149,"Oct 02, 2017",54.55,54.78,53.26,53.38,95474600,2901270000
150,"Oct 01, 2017",55.14,55.16,53.63,54.54,100183000,2931740000
151,"Sep 30, 2017",52.63,55.23,52.62,55.14,131446000,2797460000
152,"Sep 29, 2017",54.11,54.16,50.42,52.62,186560000,2875460000
153,"Sep 28, 2017",56.21,56.67,53.41,54.09,202009000,2986370000
154,"Sep 27, 2017",51.58,56.54,51.58,56.28,220363000,2739380000
155,"Sep 26, 2017",51.69,53.7,51.08,51.55,173663000,2744540000
156,"Sep 25, 2017",47.62,52.44,47.57,51.58,208641000,2527830000
157,"Sep 24, 2017",49.25,49.27,47.52,47.62,82147100,2613620000
158,"Sep 23, 2017",48.16,49.79,46.69,49.27,142073000,2554900000
159,"Sep 22, 2017",46.65,49.09,45.19,48.09,218134000,2474380000
160,"Sep 21, 2017",51.66,52.31,45.67,46.61,229363000,2739370000
161,"Sep 20, 2017",52.74,53.83,51.25,51.73,160252000,2795880000
162,"Sep 19, 2017",55.68,55.88,51.05,52.84,286583000,2950880000
163,"Sep 18, 2017",48.53,55.61,48.53,55.53,408675000,2571070000
164,"Sep 17, 2017",48.23,49.88,45.12,48.49,245262000,2554450000
165,"Sep 16, 2017",48.13,52.83,46.46,48.26,562278000,2548580000
166,"Sep 15, 2017",41.69,50.65,32.03,48.21,1554340000,2206520000
167,"Sep 14, 2017",61.64,62.43,41.25,41.58,749714000,3261960000
168,"Sep 13, 2017",64.32,64.6,58.93,61.73,501522000,3402820000
169,"Sep 12, 2017",66.24,70.25,63.86,64.23,481218000,3503300000
170,"Sep 11, 2017",61.65,67.23,61.37,66.04,412076000,3259510000
171,"Sep 10, 2017",65.8,65.95,57.06,61.61,529848000,3478400000
172,"Sep 09, 2017",67.21,69.55,64.01,66.01,467895000,3551950000
173,"Sep 08, 2017",78.45,80.13,63.83,67.79,930673000,4144630000
174,"Sep 07, 2017",79.88,81.06,75.59,78.48,526829000,4218690000
175,"Sep 06, 2017",71.78,80.64,71.51,80.11,830718000,3789670000
176,"Sep 05, 2017",65.25,72.44,59.05,71.29,1016090000,3444150000
177,"Sep 04, 2017",76.73,76.73,61.24,65.21,922041000,4049140000
178,"Sep 03, 2017",78.98,82.83,73.61,76.84,675462000,4166600000
179,"Sep 02, 2017",85.83,92.07,72.23,79.02,1363990000,4526680000
180,"Sep 01, 2017",70.86,87.41,70.01,86.04,1551740000,3735870000
181,"Aug 31, 2017",64.16,72.28,64.04,71.06,633147000,3381750000
182,"Aug 30, 2017",63.16,64.21,60.9,64.17,240309000,3328240000
183,"Aug 29, 2017",62.39,63.29,61.26,63.17,294799000,3286610000
184,"Aug 28, 2017",61.36,64.92,59.87,62.36,556637000,3231200000
