,Date,Open,High,Low,Close,Volume,Market Cap
0,"Feb 20, 2018",1111.92,1162.49,1051.98,1057.06,814543,687418000
1,"Feb 19, 2018",1074.61,1173.63,1072.96,1111.34,1206840,664356000
2,"Feb 18, 2018",1161.06,1166.15,1067.55,1077.59,1327250,717802000
3,"Feb 17, 2018",1144.35,1216.14,1118.88,1165.32,1223070,707468000
4,"Feb 16, 2018",1135.04,1173.16,1103.69,1143.95,1683010,701714000
5,"Feb 15, 2018",1122.85,1165.78,1104.9,1136.92,886075,694178000
6,"Feb 14, 2018",1008.05,1124.53,1008.05,1119.5,900798,623203000
7,"Feb 13, 2018",1074.88,1080.41,997.84,1010.04,664687,664523000
8,"Feb 12, 2018",1000.37,1104.46,998.92,1074.47,936639,618456000
9,"Feb 11, 2018",1062.9,1062.9,970.87,987.8,643665,657111000
10,"Feb 10, 2018",1086.68,1211.66,1021.71,1064.13,891114,671814000
11,"Feb 09, 2018",1014.67,1100.89,964.55,1093.8,643441,627299000
12,"Feb 08, 2018",914.3,1043.18,914.3,1008.62,751872,565244000
13,"Feb 07, 2018",913.46,1021.23,833.05,914.29,412692,564725000
14,"Feb 06, 2018",825.86,926.05,648.27,910.79,501568,510569000
15,"Feb 05, 2018",1054.28,1069.87,725.43,821.42,1266110,651786000
16,"Feb 04, 2018",1206.79,1209.65,1015.16,1061.91,579735,746069000
17,"Feb 03, 2018",1148.97,1254.39,1069.47,1212.87,543682,710327000
18,"Feb 02, 2018",1269.93,1269.93,980.25,1148.23,716121,785105000
19,"Feb 01, 2018",1387.76,1399.66,1189.36,1272.67,700913,857953000
20,"Jan 31, 2018",1280.96,1386.99,1243.83,1386.99,1062640,791923000
21,"Jan 30, 2018",1402.36,1411.09,1251.44,1277.84,1076760,866978000
22,"Jan 29, 2018",1489.39,1499.12,1307.31,1403.35,1049540,920783000
23,"Jan 28, 2018",1448.22,1587.4,1424.63,1488.36,2374320,895328000
24,"Jan 27, 2018",1464.07,1485.12,1335.97,1439.89,1847870,905129000
25,"Jan 26, 2018",1348.45,1497.72,1348.45,1472.36,1693530,833648000
26,"Jan 25, 2018",1544.26,1599.04,1321.09,1345.57,2070310,954707000
27,"Jan 24, 2018",1526.66,1590.37,1478.97,1535.29,1786450,943823000
28,"Jan 23, 2018",1515.2,1568.57,1425.9,1523.41,1562460,936737000
29,"Jan 22, 2018",1586.42,1659.13,1390.24,1524.56,1408450,980769000
