,Date,Open,High,Low,Close,Volume,Market Cap
0,"Feb 28, 2018",5.52,5.76,5.43,5.43,2835490,318543000
1,"Feb 27, 2018",5.63,5.73,5.48,5.53,3106680,324992000
2,"Feb 26, 2018",5.5,5.7,5.33,5.63,3601500,317213000
3,"Feb 25, 2018",5.59,5.61,5.18,5.47,3344390,322434000
4,"Feb 24, 2018",5.69,5.79,5.43,5.6,3767830,327666000
5,"Feb 23, 2018",5.41,5.79,5.16,5.7,4631070,311623000
6,"Feb 22, 2018",5.55,5.85,5.07,5.41,5090220,319576000
7,"Feb 21, 2018",5.9,5.99,5.21,5.57,5133290,339676000
8,"Feb 20, 2018",6.35,6.42,5.86,5.94,4904920,365270000
9,"Feb 19, 2018",5.66,6.42,5.54,6.32,7643860,325800000
10,"Feb 18, 2018",6.6,6.6,5.49,5.67,9631400,379215000
11,"Feb 17, 2018",6.83,6.85,6.31,6.59,15797200,392404000
12,"Feb 16, 2018",5.17,6.91,5.15,6.91,21608600,296765000
13,"Feb 15, 2018",4.76,5.2,4.74,5.16,8431380,273347000
14,"Feb 14, 2018",4.17,4.75,4.17,4.75,4570670,239380000
15,"Feb 13, 2018",4.45,4.48,4.06,4.18,3618910,255530000
16,"Feb 12, 2018",3.85,4.45,3.85,4.41,6344300,221101000
17,"Feb 11, 2018",4.28,4.28,3.8,3.86,3160760,245128000
18,"Feb 10, 2018",4.05,4.52,4.0,4.26,7025320,232315000
19,"Feb 09, 2018",3.72,4.12,3.6,4.11,3439810,212890000
20,"Feb 08, 2018",3.42,3.91,3.42,3.71,3983660,195689000
21,"Feb 07, 2018",3.75,3.92,3.42,3.42,3322310,214448000
22,"Feb 06, 2018",3.26,3.89,3.01,3.77,5133640,186298000
23,"Feb 05, 2018",3.84,4.02,3.24,3.24,2941890,219761000
24,"Feb 04, 2018",4.45,4.5,3.71,3.86,2921390,254466000
25,"Feb 03, 2018",4.1,4.7,3.81,4.42,5703900,234477000
26,"Feb 02, 2018",3.45,4.66,2.89,4.16,10927700,197360000
27,"Feb 01, 2018",4.87,5.0,3.35,3.47,6550980,278089000
28,"Jan 31, 2018",5.01,5.09,4.71,4.87,5521520,285752000
29,"Jan 30, 2018",5.72,5.76,4.99,4.99,4243880,326272000
30,"Jan 29, 2018",6.22,6.31,5.71,5.74,3370490,354817000
31,"Jan 28, 2018",6.28,6.4,5.99,6.23,3952030,358213000
32,"Jan 27, 2018",5.54,6.32,5.52,6.27,4945860,315937000
33,"Jan 26, 2018",6.16,6.38,5.18,5.56,7234980,351186000
34,"Jan 25, 2018",6.31,6.46,6.14,6.23,2806190,359521000
35,"Jan 24, 2018",6.18,6.38,6.06,6.27,3295100,351649000
36,"Jan 23, 2018",6.4,7.12,5.8,6.19,7666520,364168000
37,"Jan 22, 2018",7.05,7.11,6.02,6.4,5195030,400666000
38,"Jan 21, 2018",8.25,8.25,6.58,6.97,9819350,469023000
39,"Jan 20, 2018",6.17,8.75,6.15,8.27,39689600,350603000
40,"Jan 19, 2018",6.33,6.47,6.01,6.15,3545310,359693000
41,"Jan 18, 2018",6.13,7.08,6.05,6.37,5768810,347997000
42,"Jan 17, 2018",6.4,6.57,4.68,6.06,9088970,363224000
43,"Jan 16, 2018",8.59,8.62,5.51,6.42,11174400,487446000
44,"Jan 15, 2018",7.78,8.86,7.76,8.48,11691400,441317000
45,"Jan 14, 2018",8.07,8.11,7.53,7.85,4741520,457528000
46,"Jan 13, 2018",8.0,8.14,7.88,8.06,4139850,453318000
47,"Jan 12, 2018",7.76,8.21,7.53,7.99,5000360,439656000
48,"Jan 11, 2018",8.32,8.53,7.51,7.65,7040070,471158000
49,"Jan 10, 2018",9.08,9.28,7.66,8.38,10729100,514255000
50,"Jan 09, 2018",8.78,10.11,8.63,9.12,18561700,496692000
51,"Jan 08, 2018",8.48,8.82,7.59,8.82,9901160,479700000
52,"Jan 07, 2018",8.71,8.9,8.39,8.53,7324520,492425000
53,"Jan 06, 2018",8.03,9.26,7.68,8.72,11957600,454093000
54,"Jan 05, 2018",9.3,9.36,7.9,8.01,11755200,525341000
55,"Jan 04, 2018",9.77,10.04,9.19,9.27,15133300,551974000
56,"Jan 03, 2018",10.4,10.64,9.53,9.69,12189700,586843000
57,"Jan 02, 2018",10.02,11.13,9.69,10.28,15042600,565132000
58,"Jan 01, 2018",10.18,10.21,9.52,9.99,7236100,574099000
59,"Dec 31, 2017",9.16,10.44,8.94,10.12,13331300,516294000
60,"Dec 30, 2017",10.78,10.78,9.06,9.25,10023800,607401000
61,"Dec 29, 2017",10.94,11.35,10.48,10.73,11333600,616017000
62,"Dec 28, 2017",11.37,11.54,10.23,10.83,6701510,640445000
63,"Dec 27, 2017",11.67,12.05,11.19,11.41,8565300,656917000
64,"Dec 26, 2017",11.34,12.13,11.27,11.76,9184130,638067000
65,"Dec 25, 2017",10.62,11.94,10.25,11.38,11829200,597226000
