,Date,Open,High,Low,Close,Volume,Market Cap
0,"Feb 20, 2018",317.0,321.73,303.79,304.4,71114700,4989710000
1,"Feb 19, 2018",299.7,319.73,297.65,316.49,67482400,4716460000
2,"Feb 18, 2018",325.96,327.77,294.42,300.12,68135100,5128420000
3,"Feb 17, 2018",296.0,334.71,293.13,325.67,134269000,4655820000
4,"Feb 16, 2018",301.01,302.1,280.22,296.48,64320200,4733640000
5,"Feb 15, 2018",276.08,304.78,269.32,303.25,85772700,4340620000
6,"Feb 14, 2018",234.34,276.66,234.34,276.66,116137000,3683460000
7,"Feb 13, 2018",247.99,248.88,230.03,234.69,46476400,3897150000
8,"Feb 12, 2018",229.87,251.41,229.87,247.57,45760100,3611420000
9,"Feb 11, 2018",249.44,249.44,219.23,229.49,51680100,3917970000
10,"Feb 10, 2018",260.59,271.82,243.91,250.03,76435300,4092070000
11,"Feb 09, 2018",247.82,260.84,233.44,260.43,77557200,3890810000
12,"Feb 08, 2018",207.78,253.12,207.78,247.22,81312200,3261220000
13,"Feb 07, 2018",210.73,231.25,191.86,207.28,64730900,3306780000
14,"Feb 06, 2018",180.87,213.46,149.41,212.29,100344000,2837430000
15,"Feb 05, 2018",219.04,221.74,167.14,179.49,77454500,3435450000
16,"Feb 04, 2018",251.97,257.39,214.79,221.05,48981700,3951030000
17,"Feb 03, 2018",236.51,256.98,215.6,251.59,55887100,3707610000
18,"Feb 02, 2018",240.84,249.27,184.94,235.63,122696000,3774700000
19,"Feb 01, 2018",273.88,279.78,228.39,240.97,73082700,4291340000
20,"Jan 31, 2018",274.9,284.02,265.28,272.89,67649500,4306290000
21,"Jan 30, 2018",317.36,318.01,268.68,274.02,93182600,4970190000
22,"Jan 29, 2018",331.77,336.69,314.05,316.63,55323000,5194670000
23,"Jan 28, 2018",322.96,337.16,322.96,332.17,75700900,5055340000
24,"Jan 27, 2018",325.31,332.83,310.44,321.36,66614100,5090880000
25,"Jan 26, 2018",316.6,328.78,292.48,323.69,91052800,4953260000
26,"Jan 25, 2018",322.17,328.0,306.59,317.1,76537300,5039370000
27,"Jan 24, 2018",308.93,323.19,299.46,317.4,92263600,4830950000
28,"Jan 23, 2018",315.31,321.69,285.61,308.46,116898000,4929480000
29,"Jan 22, 2018",348.91,356.04,288.79,315.9,116893000,5453550000
