,Date,Open,High,Low,Close,Volume,Market Cap
0,"Feb 20, 2018",137.95,142.01,127.86,128.36,239238000,8966490000
1,"Feb 19, 2018",127.23,138.52,126.7,137.47,201551000,8270290000
2,"Feb 18, 2018",136.4,137.95,124.32,127.38,207624000,8866100000
3,"Feb 17, 2018",131.03,139.8,129.42,136.75,286385000,8516620000
4,"Feb 16, 2018",123.02,130.62,119.94,128.85,194878000,7996380000
5,"Feb 15, 2018",122.0,125.76,118.79,123.29,218616000,7930300000
6,"Feb 14, 2018",110.86,123.03,110.86,122.52,228693000,7206140000
7,"Feb 13, 2018",113.64,114.93,108.64,111.17,176966000,7386420000
8,"Feb 12, 2018",104.18,115.85,104.18,113.25,272089000,6771600000
9,"Feb 11, 2018",110.45,113.19,96.78,103.4,257944000,7179000000
10,"Feb 10, 2018",117.21,122.84,104.98,110.63,355323000,7618880000
11,"Feb 09, 2018",111.99,117.65,108.84,117.57,212450000,7279310000
12,"Feb 08, 2018",104.06,117.0,104.06,112.43,546733000,6763560000
13,"Feb 07, 2018",105.13,118.5,94.94,102.5,571724000,6833700000
14,"Feb 06, 2018",84.07,109.21,64.88,105.95,659946000,5464510000
15,"Feb 05, 2018",107.58,108.97,75.75,82.37,312096000,6992380000
16,"Feb 04, 2018",122.22,124.01,102.03,107.45,203674000,7943970000
17,"Feb 03, 2018",121.03,127.28,106.91,122.97,255707000,7867210000
18,"Feb 02, 2018",125.64,129.19,91.96,120.13,552639000,8166710000
19,"Feb 01, 2018",145.96,147.16,115.27,126.0,356495000,9487200000
20,"Jan 31, 2018",145.4,148.18,133.32,145.76,357309000,9451090000
21,"Jan 30, 2018",168.86,173.75,140.13,146.28,670295000,10976100000
22,"Jan 29, 2018",152.08,168.14,151.46,168.14,602514000,9885260000
23,"Jan 28, 2018",140.37,153.61,140.37,152.16,246175000,9124100000
24,"Jan 27, 2018",138.14,142.07,134.35,140.2,207868000,8979150000
25,"Jan 26, 2018",137.75,141.13,126.53,137.89,324067000,8953600000
26,"Jan 25, 2018",138.09,146.94,134.58,138.0,315010000,8976150000
27,"Jan 24, 2018",122.57,144.12,118.15,136.41,433360000,7966980000
28,"Jan 23, 2018",123.37,129.71,110.18,121.6,263389000,8018770000
29,"Jan 22, 2018",132.3,137.78,112.38,123.66,346611000,8599480000
