,Date,Open,High,Low,Close,Volume,Market Cap
0,"Feb 20, 2018",8.61,8.7,6.94,7.0,43477200,1146850000
1,"Feb 19, 2018",8.62,9.11,8.49,8.59,31236200,1148330000
2,"Feb 18, 2018",9.45,9.73,8.61,8.64,23568500,1259080000
3,"Feb 17, 2018",9.62,10.03,9.38,9.45,29657400,1282460000
4,"Feb 16, 2018",9.36,10.02,8.59,9.64,48616300,1247070000
5,"Feb 15, 2018",9.02,9.43,8.07,9.4,57244300,1202200000
6,"Feb 14, 2018",8.91,9.67,8.56,9.04,34637300,1186850000
7,"Feb 13, 2018",9.78,9.88,8.82,8.91,21244500,1302880000
8,"Feb 12, 2018",8.42,10.15,8.41,9.75,34023300,1122140000
9,"Feb 11, 2018",9.49,9.57,8.08,8.31,25861000,1264390000
10,"Feb 10, 2018",10.36,10.67,8.57,9.44,72980000,1380630000
11,"Feb 09, 2018",11.32,12.0,9.54,10.05,9677960,1508320000
12,"Feb 08, 2018",10.16,11.85,10.16,11.28,35820700,1354240000
13,"Feb 07, 2018",10.64,12.93,9.36,10.16,41359500,1417130000
14,"Feb 06, 2018",9.16,11.31,6.54,10.84,53479100,1220280000
15,"Feb 05, 2018",12.65,13.12,7.34,8.93,43062700,1685450000
16,"Feb 04, 2018",16.57,16.57,11.7,12.87,26667900,2207510000
17,"Feb 03, 2018",16.9,17.1,14.18,16.58,44094300,2251310000
18,"Feb 02, 2018",16.43,18.22,12.57,16.51,83454300,2189520000
19,"Feb 01, 2018",20.13,20.13,14.64,16.41,36449200,2681840000
20,"Jan 31, 2018",16.04,20.21,14.91,20.03,47128200,2137840000
21,"Jan 30, 2018",18.62,19.05,12.89,16.05,56878700,2481590000
22,"Jan 29, 2018",19.73,20.17,17.89,18.52,16057000,2629040000
23,"Jan 28, 2018",18.88,20.96,17.64,19.7,24068400,2515620000
24,"Jan 27, 2018",17.39,19.49,16.89,18.77,25774700,2317700000
25,"Jan 26, 2018",12.79,17.84,12.79,17.47,30987700,1703590000
26,"Jan 25, 2018",15.25,15.27,12.62,12.83,17288700,2032490000
27,"Jan 24, 2018",14.16,15.2,12.12,15.0,17505100,1886190000
28,"Jan 23, 2018",14.46,15.08,12.99,14.12,15550200,1926900000
29,"Jan 22, 2018",17.04,17.38,13.46,14.49,14100300,2270570000
