,Date,Open,High,Low,Close,Volume,Market Cap
0,"Feb 28, 2018",14.11,20.06,14.02,16.05,39374500,181360000
1,"Feb 27, 2018",13.94,15.0,13.73,14.09,3494090,179236000
2,"Feb 26, 2018",13.67,14.95,13.39,13.93,4307770,175634000
3,"Feb 25, 2018",13.11,14.99,12.92,13.66,5732600,168453000
4,"Feb 24, 2018",14.27,14.53,12.67,13.14,2625070,183261000
5,"Feb 23, 2018",13.33,14.65,12.8,14.29,3479680,171188000
6,"Feb 22, 2018",15.17,15.8,13.13,13.31,3096320,194753000
7,"Feb 21, 2018",15.37,17.63,14.42,15.02,7882850,197258000
8,"Feb 20, 2018",18.39,18.67,15.59,15.59,7469010,236034000
9,"Feb 19, 2018",16.17,19.81,16.14,18.42,19410400,207436000
10,"Feb 18, 2018",17.72,17.75,15.51,16.18,5277620,227273000
11,"Feb 17, 2018",17.94,19.04,17.31,17.75,8966690,230029000
12,"Feb 16, 2018",18.61,19.49,16.45,18.07,21028200,238531000
13,"Feb 15, 2018",15.17,22.27,14.09,18.56,83055100,194389000
14,"Feb 14, 2018",11.49,14.86,11.49,14.86,4152390,147279000
15,"Feb 13, 2018",13.55,13.65,11.3,11.5,1737860,173647000
16,"Feb 12, 2018",10.88,13.71,10.88,13.59,2909730,139317000
17,"Feb 11, 2018",11.7,12.04,10.32,10.82,2325390,149761000
18,"Feb 10, 2018",13.81,14.07,11.02,11.76,2172730,176814000
19,"Feb 09, 2018",11.54,13.89,11.05,13.8,256549,147728000
20,"Feb 08, 2018",10.49,11.96,10.43,11.52,3217800,134185000
21,"Feb 07, 2018",11.98,12.92,9.77,10.53,3084850,153291000
22,"Feb 06, 2018",8.86,12.15,6.93,12.01,3613470,113299000
23,"Feb 05, 2018",11.88,12.12,7.83,8.64,2505870,151865000
24,"Feb 04, 2018",14.07,14.32,11.07,11.99,2230170,179876000
25,"Feb 03, 2018",12.98,14.56,11.79,14.07,2578680,165888000
26,"Feb 02, 2018",14.53,14.54,10.29,12.89,4566820,185708000
27,"Feb 01, 2018",17.16,18.04,13.09,14.42,4344220,219143000
28,"Jan 31, 2018",16.35,17.38,15.44,17.16,4591030,208810000
29,"Jan 30, 2018",19.25,19.26,15.51,16.32,3546130,245819000
30,"Jan 29, 2018",20.62,20.95,18.91,19.28,3493170,263210000
31,"Jan 28, 2018",20.94,24.03,20.54,20.71,11389400,267286000
32,"Jan 27, 2018",19.95,21.77,19.42,20.85,4554200,254586000
33,"Jan 26, 2018",20.67,21.55,18.48,19.98,4449880,263640000
34,"Jan 25, 2018",21.98,22.88,20.63,20.77,4307440,280278000
35,"Jan 24, 2018",21.09,24.48,20.44,21.47,16784500,268940000
36,"Jan 23, 2018",22.17,22.71,19.4,21.06,5872280,282630000
37,"Jan 22, 2018",25.84,26.32,20.0,22.26,7241140,329294000
38,"Jan 21, 2018",30.94,31.19,23.77,25.14,9588240,394206000
39,"Jan 20, 2018",27.25,31.8,26.96,31.22,16059900,347065000
40,"Jan 19, 2018",26.04,29.67,25.14,27.0,12536700,331560000
41,"Jan 18, 2018",26.37,30.86,25.36,26.37,27568100,335720000
42,"Jan 17, 2018",23.4,33.87,22.32,26.53,93353900,297911000
43,"Jan 16, 2018",22.13,31.24,14.17,23.53,76247800,281628000
44,"Jan 15, 2018",27.65,28.92,22.09,22.09,10330000,351746000
45,"Jan 14, 2018",32.55,32.55,24.63,27.78,18080500,414006000
46,"Jan 13, 2018",36.8,37.43,29.65,32.64,24524700,468025000
47,"Jan 12, 2018",30.13,41.63,28.54,36.82,34940300,383054000
48,"Jan 11, 2018",38.28,39.84,27.58,29.94,35328800,486608000
49,"Jan 10, 2018",45.34,56.5,36.28,38.72,91383300,576140000
50,"Jan 09, 2018",44.81,64.87,40.38,44.47,222014000,569252000
51,"Jan 08, 2018",23.98,51.03,23.32,44.68,310931000,304548000
52,"Jan 07, 2018",22.15,31.38,17.44,25.09,103923000,281265000
53,"Jan 06, 2018",7.75,28.38,7.62,22.86,72246800,98452400
54,"Jan 05, 2018",8.12,8.86,7.02,7.53,3280040,103083000
55,"Jan 04, 2018",8.48,8.54,7.5,8.11,2888930,107629000
56,"Jan 03, 2018",8.31,8.89,7.99,8.43,2770880,105450000
57,"Jan 02, 2018",9.05,9.72,7.98,8.31,2407610,114757000
58,"Jan 01, 2018",8.36,9.33,7.73,9.14,2443900,105982000
59,"Dec 31, 2017",7.35,8.58,7.0,8.35,1713930,93197100
60,"Dec 30, 2017",8.44,8.58,6.77,7.44,1538800,106947000
61,"Dec 29, 2017",7.15,9.32,6.61,8.49,3289740,90638300
62,"Dec 28, 2017",7.69,8.67,6.11,6.96,1511940,97398700
63,"Dec 27, 2017",6.37,8.01,5.76,7.66,2012800,80631600
64,"Dec 26, 2017",6.82,7.11,5.44,6.36,1692320,86433200
65,"Dec 25, 2017",6.58,7.28,6.33,6.74,1261440,83281100
66,"Dec 24, 2017",7.63,7.63,6.13,6.54,1545340,96530800
67,"Dec 23, 2017",7.57,8.89,7.36,7.64,3941520,95809600
68,"Dec 22, 2017",4.83,9.92,3.9,7.51,7843310,61135300
69,"Dec 21, 2017",4.54,5.26,4.2,4.82,600706,57388900
70,"Dec 20, 2017",4.37,4.58,3.78,4.52,605108,55252700
71,"Dec 19, 2017",4.85,5.03,4.07,4.38,623820,61355100
72,"Dec 18, 2017",4.1,4.83,3.86,4.8,504052,51871200
73,"Dec 17, 2017",4.21,4.34,3.9,4.09,452794,53220700
74,"Dec 16, 2017",3.93,4.38,3.68,4.28,433080,49634500
75,"Dec 15, 2017",3.96,4.15,3.48,3.92,335296,50007200
76,"Dec 14, 2017",4.28,4.56,3.56,3.99,356777,54091900
77,"Dec 13, 2017",3.39,4.78,3.05,4.38,594952,42771100
78,"Dec 12, 2017",3.33,3.73,2.95,3.42,346566,41997500
79,"Dec 11, 2017",3.27,3.84,3.21,3.32,291876,41275400
80,"Dec 10, 2017",3.63,3.73,3.08,3.29,355318,45806400
81,"Dec 09, 2017",3.81,3.87,3.34,3.62,345927,48129000
82,"Dec 08, 2017",4.1,4.23,3.14,3.78,580263,51707400
83,"Dec 07, 2017",4.2,4.59,3.6,4.09,616727,52998500
84,"Dec 06, 2017",3.96,4.33,3.73,4.12,616653,49977200
85,"Dec 05, 2017",3.66,4.24,3.39,4.07,518455,46083400
86,"Dec 04, 2017",2.9,3.91,2.86,3.65,672699,36511000
87,"Dec 03, 2017",2.64,3.07,2.62,2.9,288911,33216800
88,"Dec 02, 2017",2.95,2.97,2.64,2.67,284357,37111500
89,"Dec 01, 2017",2.92,3.07,2.56,2.95,346399,36755500
90,"Nov 30, 2017",2.71,3.05,2.42,2.93,219988,34095400
91,"Nov 29, 2017",3.03,3.2,2.51,2.67,307601,38080600
92,"Nov 28, 2017",3.06,3.39,2.93,2.98,342147,38488100
93,"Nov 27, 2017",3.2,3.31,2.93,3.05,286401,40217200
94,"Nov 26, 2017",3.22,3.39,2.92,3.2,277734,40548900
95,"Nov 25, 2017",3.44,3.6,3.06,3.22,325835,43211200
96,"Nov 24, 2017",2.74,3.66,2.68,3.49,308611,34478200
97,"Nov 23, 2017",2.92,3.12,2.47,2.73,416008,36719500
98,"Nov 22, 2017",3.0,3.08,2.72,2.92,300506,37659600
99,"Nov 21, 2017",3.05,3.21,2.89,3.03,266378,38329600
100,"Nov 20, 2017",3.17,3.54,2.96,3.06,261967,39768500
101,"Nov 19, 2017",3.39,3.39,2.68,3.17,471144,42548800
102,"Nov 18, 2017",3.35,3.52,3.13,3.37,296049,42099100
103,"Nov 17, 2017",4.23,4.23,3.26,3.37,463203,53156000
104,"Nov 16, 2017",3.54,4.6,3.41,3.99,684305,44368000
105,"Nov 15, 2017",3.62,3.72,3.29,3.52,393762,45390000
106,"Nov 14, 2017",3.84,3.94,2.91,3.62,368012,48177500
107,"Nov 13, 2017",3.57,4.15,3.5,3.83,283372,44757200
108,"Nov 12, 2017",3.88,4.07,3.31,3.56,300980,48605400
109,"Nov 11, 2017",4.06,4.4,3.79,3.88,470746,50957600
110,"Nov 10, 2017",4.93,4.98,3.87,4.0,400021,61822100
111,"Nov 09, 2017",4.64,5.3,4.33,4.92,652781,58104500
112,"Nov 08, 2017",3.94,5.18,3.93,4.64,489596,49416000
113,"Nov 07, 2017",3.79,4.03,3.62,3.96,180467,47480200
114,"Nov 06, 2017",3.83,3.97,3.29,3.8,290900,48016100
115,"Nov 05, 2017",3.69,4.2,3.69,3.79,245500,46186500
116,"Nov 04, 2017",3.97,5.35,3.7,3.7,209124,49721800
117,"Nov 03, 2017",4.03,4.23,3.5,4.04,228962,50370100
118,"Nov 02, 2017",4.2,4.26,2.77,4.04,745693,52542100
119,"Nov 01, 2017",4.83,5.1,4.09,4.2,404690,60363000
120,"Oct 31, 2017",4.47,5.1,4.13,4.83,447235,55867700
121,"Oct 30, 2017",4.7,4.96,3.5,4.48,698406,58720400
122,"Oct 29, 2017",4.97,5.23,4.57,4.73,270925,62173100
123,"Oct 28, 2017",5.31,5.39,4.56,4.98,347010,66331900
124,"Oct 27, 2017",5.78,5.91,5.15,5.2,387179,72277900
125,"Oct 26, 2017",5.14,5.99,4.92,5.78,459691,64208800
126,"Oct 25, 2017",5.19,5.36,4.54,5.14,447547,64882600
127,"Oct 24, 2017",5.19,5.88,4.91,5.19,900605,64805700
128,"Oct 23, 2017",4.42,5.21,4.1,5.2,499088,55222700
129,"Oct 22, 2017",3.77,4.45,3.63,4.4,318137,47092700
130,"Oct 21, 2017",4.25,4.28,3.64,3.74,316624,52992000
131,"Oct 20, 2017",4.22,4.54,3.96,4.26,476738,52651700
132,"Oct 19, 2017",4.53,4.55,3.84,4.12,472055,56504000
133,"Oct 18, 2017",3.42,4.69,3.21,4.53,1980250,42702900
134,"Oct 17, 2017",2.9,3.74,2.78,3.58,889541,36111100
135,"Oct 16, 2017",2.43,3.09,2.15,2.89,383784,30320100
136,"Oct 15, 2017",2.5,2.5,1.93,2.43,193211,31189100
137,"Oct 14, 2017",1.97,2.56,1.95,2.5,208909,24593200
138,"Oct 13, 2017",1.81,2.26,1.77,2.04,151895,22573600
139,"Oct 12, 2017",1.7,1.93,1.64,1.81,76484,21179200
140,"Oct 11, 2017",1.77,2.3,1.64,1.7,157037,22068400
141,"Oct 10, 2017",1.73,1.85,1.52,1.77,129318,21549900
142,"Oct 09, 2017",1.94,2.11,1.44,1.84,209820,24185100
143,"Oct 08, 2017",2.09,2.44,1.76,1.94,265192,25952800
144,"Oct 07, 2017",2.52,2.52,1.84,2.09,200175,31339200
145,"Oct 06, 2017",2.37,2.99,2.18,2.45,589588,29478900
146,"Oct 05, 2017",1.99,2.39,1.75,2.33,320554,24683700
147,"Oct 04, 2017",1.53,2.49,1.33,1.94,389876,18995500
148,"Oct 03, 2017",1.1,1.6,1.1,1.56,241967,13686100
149,"Oct 02, 2017",1.08,1.13,0.9896870000000001,1.1,146971,13364300
