,Date,Open,High,Low,Close,Volume,Market Cap
0,"Feb 28, 2018",8.63,8.78,8.15,8.16,7080960,306338000
1,"Feb 27, 2018",8.54,8.85,8.33,8.6,9223900,303103000
2,"Feb 26, 2018",7.62,8.73,7.49,8.52,9547460,270548000
3,"Feb 25, 2018",7.89,7.9,7.44,7.6,6952650,280215000
4,"Feb 24, 2018",8.16,8.42,7.65,7.9,6797450,289640000
5,"Feb 23, 2018",7.77,8.37,7.57,8.18,7735880,275849000
6,"Feb 22, 2018",8.31,8.66,7.65,7.78,7357000,294900000
7,"Feb 21, 2018",8.79,8.93,8.05,8.31,8372740,312044000
8,"Feb 20, 2018",9.73,9.85,8.76,8.81,9894190,345394000
9,"Feb 19, 2018",8.74,10.23,8.66,9.65,14044500,310420000
10,"Feb 18, 2018",9.66,9.68,8.77,8.79,8856730,343059000
11,"Feb 17, 2018",9.26,9.7,9.16,9.64,9999020,328815000
12,"Feb 16, 2018",9.2,9.37,8.87,9.24,7908390,326652000
13,"Feb 15, 2018",8.95,9.33,8.69,9.25,9306720,317582000
14,"Feb 14, 2018",8.02,8.97,8.02,8.92,9340850,284564000
15,"Feb 13, 2018",8.63,8.63,7.99,8.02,7953730,306376000
16,"Feb 12, 2018",8.01,9.03,8.01,8.61,10112200,284415000
17,"Feb 11, 2018",8.43,8.6,7.28,7.97,6111070,299395000
18,"Feb 10, 2018",8.77,9.88,8.09,8.43,7803680,311230000
19,"Feb 09, 2018",7.81,8.88,7.46,8.79,8132480,277236000
20,"Feb 08, 2018",7.2,8.15,7.2,7.8,7603820,255457000
21,"Feb 07, 2018",7.98,8.54,6.83,7.18,16844600,283123000
22,"Feb 06, 2018",6.04,8.36,4.75,8.03,17735400,214406000
23,"Feb 05, 2018",8.01,8.17,5.49,6.07,14996000,284271000
24,"Feb 04, 2018",9.53,9.71,7.58,8.09,17053800,338244000
25,"Feb 03, 2018",9.14,9.97,8.23,9.53,16576800,324541000
26,"Feb 02, 2018",9.99,9.99,6.9,9.11,14111700,354610000
27,"Feb 01, 2018",11.3,11.71,8.7,10.02,20021100,401266000
28,"Jan 31, 2018",11.55,11.89,10.43,11.26,27971900,410176000
29,"Jan 30, 2018",13.39,13.41,10.45,11.58,26694000,475349000
30,"Jan 29, 2018",12.74,13.41,11.91,13.37,33887700,452233000
31,"Jan 28, 2018",11.81,12.87,11.37,12.72,29816600,419114000
32,"Jan 27, 2018",11.36,11.95,10.93,11.78,26194600,403112000
33,"Jan 26, 2018",10.56,11.69,10.1,11.36,31024900,374775000
34,"Jan 25, 2018",10.33,11.08,10.02,10.62,26709600,366743000
35,"Jan 24, 2018",9.51,10.88,9.12,10.17,27519800,337757000
36,"Jan 23, 2018",9.66,10.16,8.44,9.46,20834800,342790000
37,"Jan 22, 2018",10.38,10.82,8.72,9.65,24012500,368591000
38,"Jan 21, 2018",12.54,12.54,9.39,10.32,17997600,445151000
39,"Jan 20, 2018",8.42,12.77,8.42,12.52,17322300,298765000
40,"Jan 19, 2018",8.89,9.12,7.47,8.41,18686600,315485000
41,"Jan 18, 2018",8.28,9.37,7.37,8.95,23002100,293884000
42,"Jan 17, 2018",8.12,8.67,5.63,8.17,25107900,288179000
43,"Jan 16, 2018",10.68,10.68,6.5,8.11,29455400,379197000
44,"Jan 15, 2018",11.52,11.82,10.29,10.74,31270000,408992000
45,"Jan 14, 2018",12.54,12.65,9.83,11.54,30612100,445135000
46,"Jan 13, 2018",12.78,13.11,11.3,12.51,34867600,453738000
47,"Jan 12, 2018",12.39,13.27,11.22,12.9,34216700,-
48,"Jan 11, 2018",14.58,14.68,11.0,12.26,34004200,-
49,"Jan 10, 2018",16.27,16.29,12.29,14.24,38735100,-
50,"Jan 09, 2018",13.6,16.64,12.87,16.24,40054300,-
51,"Jan 08, 2018",13.76,13.76,10.15,13.52,43579100,-
52,"Jan 07, 2018",9.75,14.7,9.32,14.03,66197200,-
53,"Jan 06, 2018",6.77,9.9,6.6,9.8,30465900,-
54,"Jan 05, 2018",6.87,6.91,6.13,6.72,18666600,-
55,"Jan 04, 2018",7.51,7.64,6.37,6.92,26605500,-
56,"Jan 03, 2018",5.56,7.69,4.95,7.52,32260000,-
57,"Jan 02, 2018",5.36,5.6,5.11,5.54,18219900,-
58,"Jan 01, 2018",5.66,5.66,5.0,5.29,8631880,-
59,"Dec 31, 2017",5.47,5.73,4.92,5.61,10903700,-
60,"Dec 30, 2017",6.02,6.04,4.66,5.48,11138000,-
61,"Dec 29, 2017",5.12,6.41,5.08,6.03,15972400,-
62,"Dec 28, 2017",5.65,5.65,4.39,5.08,10466100,-
63,"Dec 27, 2017",6.53,7.64,5.12,5.65,29351900,-
64,"Dec 26, 2017",4.04,6.68,3.61,6.54,15623200,-
65,"Dec 25, 2017",3.92,4.04,3.82,4.04,4835210,-
66,"Nov 17, 2017",2.73,3.21,2.64,2.64,545,13654000
67,"Nov 16, 2017",2.36,2.87,2.34,2.74,3600880,11778800
68,"Nov 15, 2017",2.37,3.0,2.22,2.98,5959170,11863200
69,"Nov 14, 2017",2.49,2.72,2.31,2.37,4585530,12437300
70,"Nov 13, 2017",2.73,3.02,2.32,2.48,5208,13635400
71,"Nov 12, 2017",2.7,3.01,2.2,2.72,902325,13480200
72,"Nov 11, 2017",3.02,3.4,2.67,2.7,5584820,15107300
73,"Nov 10, 2017",2.82,3.05,2.25,3.03,13424100,14086900
74,"Nov 09, 2017",2.06,3.16,1.99,2.81,5308560,10300600
75,"Nov 08, 2017",1.82,2.13,1.79,2.06,4118620,9079890
76,"Nov 07, 2017",1.54,1.91,1.54,1.82,4339130,7704390
77,"Nov 06, 2017",1.66,1.74,1.54,1.54,4157400,8301090
78,"Nov 05, 2017",1.69,1.81,1.64,1.66,3381360,8452110
79,"Nov 04, 2017",1.65,1.9,1.61,1.69,4416420,8228950
80,"Nov 03, 2017",1.74,1.82,1.57,1.65,3329140,-
81,"Nov 02, 2017",1.69,1.9,1.6,1.74,3917230,-
82,"Nov 01, 2017",1.81,1.81,1.55,1.69,4155450,-
83,"Oct 31, 2017",1.72,1.81,1.54,1.81,6424290,-
84,"Oct 30, 2017",2.04,2.06,1.03,1.73,5152710,-
85,"Oct 29, 2017",1.66,2.1,1.66,2.06,4368280,-
86,"Oct 28, 2017",1.98,1.98,1.65,1.66,909188,-
87,"Oct 27, 2017",1.86,2.05,1.81,1.97,5200300,-
88,"Oct 26, 2017",1.76,2.0,1.76,1.86,4560900,-
