,Date,Open,High,Low,Close,Volume,Market Cap
0,"Feb 20, 2018",6.21,6.25,5.63,5.78,4217150,345205000
1,"Feb 19, 2018",6.09,6.25,5.96,6.22,3755890,338683000
2,"Feb 18, 2018",6.71,6.71,5.83,6.02,4784130,373163000
3,"Feb 17, 2018",6.54,6.92,6.41,6.65,11812700,363663000
4,"Feb 16, 2018",6.32,6.56,6.14,6.53,6015300,351395000
5,"Feb 15, 2018",6.13,6.43,5.99,6.4,11404100,340426000
6,"Feb 14, 2018",5.59,6.16,5.56,6.11,8066570,310535000
7,"Feb 13, 2018",5.98,6.14,5.58,5.61,7304040,332204000
8,"Feb 12, 2018",5.55,6.27,5.54,5.99,6324040,308184000
9,"Feb 11, 2018",6.1,6.1,5.29,5.52,3446230,338943000
10,"Feb 10, 2018",6.08,6.63,5.63,6.01,7736090,337638000
11,"Feb 09, 2018",5.49,6.35,5.19,6.15,13850000,304694000
12,"Feb 08, 2018",5.07,5.62,5.06,5.5,4760230,281489000
13,"Feb 07, 2018",5.3,5.72,4.85,5.12,6140400,294265000
14,"Feb 06, 2018",4.77,5.4,3.91,5.36,12609100,264779000
15,"Feb 05, 2018",5.63,7.13,4.58,4.8,25792800,312298000
16,"Feb 04, 2018",6.73,6.82,5.5,5.68,4367240,373543000
17,"Feb 03, 2018",5.98,7.58,5.24,6.81,23668200,331811000
18,"Feb 02, 2018",6.61,6.61,4.41,5.98,7524760,366902000
19,"Feb 01, 2018",8.23,8.37,6.17,6.6,6082910,456784000
20,"Jan 31, 2018",7.64,8.39,7.12,8.21,8816950,423920000
21,"Jan 30, 2018",9.41,9.42,7.6,7.62,5774890,522020000
22,"Jan 29, 2018",10.06,10.16,9.27,9.38,5451840,557880000
23,"Jan 28, 2018",9.97,10.24,9.77,10.11,7959890,552575000
24,"Jan 27, 2018",9.77,10.13,9.3,9.87,6091270,541882000
25,"Jan 26, 2018",10.16,10.41,8.87,9.77,11318300,563219000
26,"Jan 25, 2018",10.72,10.72,9.73,10.15,21434300,594388000
27,"Jan 24, 2018",11.62,11.62,10.3,10.75,67451100,644198000
28,"Jan 23, 2018",8.84,14.56,8.57,11.98,288136000,489863000
29,"Jan 22, 2018",8.54,9.76,8.02,8.98,14232800,473410000
