,Date,Open,High,Low,Close,Volume,Market Cap
0,"Feb 20, 2018",27.02,27.24,22.56,22.81,819852,239808000
1,"Feb 19, 2018",24.94,27.65,24.86,27.0,275892,221305000
2,"Feb 18, 2018",27.18,28.01,25.09,25.4,291300,241204000
3,"Feb 17, 2018",24.27,27.81,23.24,27.1,427664,215350000
4,"Feb 16, 2018",24.85,25.18,21.96,24.28,305524,220451000
5,"Feb 15, 2018",22.96,25.61,22.45,24.62,281561,203688000
6,"Feb 14, 2018",21.97,23.79,21.23,22.93,183120,194846000
7,"Feb 13, 2018",24.0,24.13,21.37,22.17,290706,212826000
8,"Feb 12, 2018",22.15,24.84,22.15,23.93,171892,196418000
9,"Feb 11, 2018",25.58,25.58,21.36,22.01,410388,226775000
10,"Feb 10, 2018",23.17,26.4,22.64,25.21,676612,205434000
11,"Feb 09, 2018",20.73,24.06,19.51,23.15,435716,183806000
12,"Feb 08, 2018",18.44,21.27,18.44,20.56,214667,163488000
13,"Feb 07, 2018",19.49,23.43,18.07,18.52,803938,172741000
14,"Feb 06, 2018",14.61,21.02,12.01,19.68,1722720,129463000
15,"Feb 05, 2018",19.94,20.45,12.97,14.28,508581,176637000
16,"Feb 04, 2018",24.05,24.13,19.92,20.18,147190,213074000
17,"Feb 03, 2018",22.48,25.18,20.83,24.08,377975,199110000
18,"Feb 02, 2018",23.0,24.92,17.38,22.4,771619,203709000
19,"Feb 01, 2018",27.7,27.75,19.44,23.34,791866,245306000
20,"Jan 31, 2018",26.18,27.57,24.58,27.57,415055,231794000
21,"Jan 30, 2018",31.49,31.74,24.56,26.3,720115,278812000
22,"Jan 29, 2018",31.9,34.94,28.93,31.69,2963410,282370000
23,"Jan 28, 2018",33.27,36.43,31.8,32.05,2360450,294493000
24,"Jan 27, 2018",32.37,35.26,31.25,33.44,364636,286462000
25,"Jan 26, 2018",34.11,35.6,30.77,32.73,643317,301802000
26,"Jan 25, 2018",40.38,41.97,32.75,34.2,3254430,357304000
27,"Jan 24, 2018",27.76,40.76,25.14,40.4,8189120,245562000
28,"Jan 23, 2018",25.29,29.25,22.7,27.71,581661,223679000
29,"Jan 22, 2018",28.15,28.17,22.79,24.98,510731,248954000
