,Date,Open,High,Low,Close,Volume,Market Cap
0,"Feb 20, 2018",1.11,1.2,1.03,1.05,526369,252044000
1,"Feb 19, 2018",1.14,1.25,1.1,1.12,317946,259752000
2,"Feb 18, 2018",1.33,1.37,1.08,1.15,244821,302548000
3,"Feb 17, 2018",1.41,1.45,1.25,1.35,444128,320115000
4,"Feb 16, 2018",1.39,1.45,1.32,1.38,336611,316535000
5,"Feb 15, 2018",1.39,1.43,1.29,1.4,399171,315741000
6,"Feb 14, 2018",1.18,1.39,1.16,1.39,495121,268208000
7,"Feb 13, 2018",1.16,1.23,1.12,1.18,207168,264045000
8,"Feb 12, 2018",1.2,1.26,1.13,1.15,375165,273880000
9,"Feb 11, 2018",1.15,1.31,1.04,1.2,575856,261915000
10,"Feb 10, 2018",1.31,1.41,1.08,1.15,656584,298979000
11,"Feb 09, 2018",1.37,1.43,1.29,1.31,374677,311144000
12,"Feb 08, 2018",1.31,1.47,1.28,1.38,473318,297897000
13,"Feb 07, 2018",1.41,1.49,1.23,1.29,915427,320575000
14,"Feb 06, 2018",0.957617,1.63,0.776019,1.41,2294620,217747000
15,"Feb 05, 2018",1.23,1.24,0.862642,0.9460870000000001,596525,279555000
16,"Feb 04, 2018",1.44,1.44,1.16,1.24,515122,326948000
17,"Feb 03, 2018",1.4,1.49,1.25,1.45,1001770,319391000
18,"Feb 02, 2018",1.52,1.52,1.03,1.39,1454710,346400000
19,"Feb 01, 2018",1.55,1.75,1.38,1.51,1305110,352945000
20,"Jan 31, 2018",1.33,1.63,1.3,1.56,1431320,301575000
21,"Jan 30, 2018",1.48,1.83,1.26,1.31,3011340,336248000
22,"Jan 29, 2018",1.23,1.55,1.21,1.55,2720330,279939000
23,"Jan 28, 2018",1.13,1.25,1.07,1.23,2052550,256975000
24,"Jan 27, 2018",1.09,1.15,1.03,1.12,3061650,246987000
25,"Jan 26, 2018",1.05,1.09,0.9758100000000001,1.09,527150,238859000
26,"Jan 25, 2018",1.11,1.14,1.04,1.05,429998,253175000
27,"Jan 24, 2018",1.03,1.14,1.01,1.1,603654,235218000
28,"Jan 23, 2018",0.966917,1.13,0.909709,1.03,737170,219862000
29,"Jan 22, 2018",1.04,1.06,0.876387,0.964042,1240980,236615000
