,Date,Open,High,Low,Close,Volume,Market Cap
0,"Feb 28, 2018",21.61,22.05,17.7,17.95,5680820,799793000
1,"Feb 27, 2018",22.06,22.6,21.35,21.68,2616080,816330000
2,"Feb 26, 2018",21.62,22.33,20.76,21.85,2892080,799995000
3,"Feb 25, 2018",21.06,22.07,20.62,21.61,2335780,779480000
4,"Feb 24, 2018",23.25,24.11,20.53,21.12,3275860,860357000
5,"Feb 23, 2018",21.88,24.6,21.03,23.29,3496160,809510000
6,"Feb 22, 2018",23.41,26.64,21.56,21.87,4412880,866316000
7,"Feb 21, 2018",24.77,25.03,21.83,23.31,5009300,916478000
8,"Feb 20, 2018",27.73,28.62,24.44,24.76,4858160,1026200000
9,"Feb 19, 2018",26.97,29.3,26.61,27.72,4348660,997920000
10,"Feb 18, 2018",30.43,30.57,26.57,27.04,5377530,1126170000
11,"Feb 17, 2018",30.28,31.03,29.02,30.41,8986340,1120660000
12,"Feb 16, 2018",26.44,33.43,25.7,30.82,21977100,978380000
13,"Feb 15, 2018",26.08,26.9,23.14,26.63,11981900,965126000
14,"Feb 14, 2018",26.52,27.54,25.08,26.23,9392710,981292000
15,"Feb 13, 2018",29.85,30.08,25.82,26.52,6117800,1104500000
16,"Feb 12, 2018",24.39,33.41,24.36,29.67,23598600,902390000
17,"Feb 11, 2018",25.88,26.4,22.81,24.13,11475600,957595000
18,"Feb 10, 2018",31.63,34.82,25.27,26.0,14802400,1170300000
19,"Feb 09, 2018",33.47,38.64,30.31,31.98,2991380,1238540000
20,"Feb 08, 2018",32.99,36.81,32.99,33.4,10354100,1220690000
21,"Feb 07, 2018",39.44,42.99,32.98,33.05,8227980,1459390000
22,"Feb 06, 2018",36.34,40.1,23.52,39.68,11227000,1344620000
23,"Feb 05, 2018",46.4,46.8,32.06,36.19,4932840,1716940000
24,"Feb 04, 2018",59.02,59.22,43.35,46.9,6508120,2184060000
25,"Feb 03, 2018",54.32,62.27,50.91,59.27,7163180,2010170000
26,"Feb 02, 2018",63.06,63.08,42.79,53.35,6424200,2333590000
27,"Feb 01, 2018",70.55,71.99,53.29,62.88,8382490,2610550000
