,Date,Open,High,Low,Close,Volume,Market Cap
0,"Feb 28, 2018",0.6014970000000001,0.610982,0.558441,0.562876,3715230,218904000
1,"Feb 27, 2018",0.609773,0.62245,0.5940340000000001,0.602089,4253760,221916000
2,"Feb 26, 2018",0.583684,0.6196109999999999,0.575976,0.608362,4207410,212422000
3,"Feb 25, 2018",0.5831569999999999,0.590837,0.563728,0.583004,3914050,212230000
4,"Feb 24, 2018",0.622708,0.645407,0.56095,0.582987,4741220,226624000
5,"Feb 23, 2018",0.599367,0.629448,0.574739,0.624225,5450260,218129000
6,"Feb 22, 2018",0.650749,0.6856270000000001,0.589873,0.6013470000000001,4626560,236829000
7,"Feb 21, 2018",0.710122,0.726917,0.644525,0.6569119999999999,7326510,258436000
8,"Feb 20, 2018",0.782926,0.789447,0.709653,0.713467,9239310,284858000
9,"Feb 19, 2018",0.7633340000000001,0.79608,0.754037,0.7828390000000001,7292200,277730000
10,"Feb 18, 2018",0.8489530000000001,0.850035,0.745384,0.763284,9726510,308881000
11,"Feb 17, 2018",0.855574,0.867351,0.8271229999999999,0.854693,10381100,311290000
12,"Feb 16, 2018",0.83916,0.8726870000000001,0.779013,0.8590559999999999,16187800,305318000
13,"Feb 15, 2018",0.8042520000000001,0.84088,0.793346,0.822509,14451700,292617000
14,"Feb 14, 2018",0.761803,0.805524,0.747112,0.8042779999999999,9308520,277172000
15,"Feb 13, 2018",0.757135,0.784786,0.7308640000000001,0.733308,6242780,275474000
16,"Feb 12, 2018",0.710959,0.7716430000000001,0.708036,0.755942,7994700,258674000
17,"Feb 11, 2018",0.778334,0.778334,0.645612,0.701544,8826600,283187000
18,"Feb 10, 2018",0.744541,0.898589,0.738259,0.788239,36865000,270892000
19,"Feb 09, 2018",0.6781739999999999,0.751896,0.647209,0.751896,12172400,246745000
20,"Feb 08, 2018",0.648065,0.704992,0.6294350000000001,0.682638,22832800,235790000
21,"Feb 07, 2018",0.587004,0.700939,0.582594,0.645029,47631400,213559000
22,"Feb 06, 2018",0.488929,0.596668,0.37804299999999996,0.589116,20396700,177878000
23,"Feb 05, 2018",0.6230399999999999,0.634283,0.438687,0.481004,13437600,226669000
24,"Feb 04, 2018",0.738287,0.761323,0.594006,0.627483,14861700,268597000
25,"Feb 03, 2018",0.71339,0.763958,0.618336,0.739088,15418100,259539000
26,"Feb 02, 2018",0.7531800000000001,0.7531800000000001,0.500397,0.707711,19128100,274015000
27,"Feb 01, 2018",0.9261229999999999,0.9276549999999999,0.706134,0.75205,23134900,336934000
28,"Jan 31, 2018",0.8825299999999999,0.8860020000000001,0.779546,0.884864,26705200,321074000
29,"Jan 30, 2018",1.02,1.02,0.828787,0.8486309999999999,18326800,371624000
30,"Jan 29, 2018",1.07,1.07,0.9534790000000001,1.02,23293300,388971000
31,"Jan 28, 2018",1.06,1.08,1.02,1.07,26650500,384572000
32,"Jan 27, 2018",1.01,1.07,0.961957,1.05,31323000,367518000
33,"Jan 26, 2018",1.04,1.08,0.913299,1.01,25616100,379216000
34,"Jan 25, 2018",1.07,1.11,1.01,1.04,30849700,390440000
35,"Jan 24, 2018",1.07,1.1,1.0,1.06,34370100,387734000
36,"Jan 23, 2018",0.991394,1.13,0.9581959999999999,1.06,59679100,360680000
37,"Jan 22, 2018",1.08,1.11,0.905334,0.9932270000000001,29653700,392637000
38,"Jan 21, 2018",1.28,1.29,1.02,1.08,41923700,460668000
39,"Jan 20, 2018",1.2,1.34,1.19,1.29,80887400,432403000
40,"Jan 19, 2018",1.12,1.26,1.06,1.18,69820800,402263000
41,"Jan 18, 2018",1.08,1.23,1.02,1.12,58776700,390942000
42,"Jan 17, 2018",0.904559,1.12,0.6252300000000001,1.07,62693000,326204000
43,"Jan 16, 2018",1.27,1.27,0.692318,0.907884,65623200,456857000
44,"Jan 15, 2018",1.39,1.42,1.26,1.27,60930400,502896000
45,"Jan 14, 2018",1.55,1.55,1.31,1.4,28549300,560289000
46,"Jan 13, 2018",1.58,1.66,1.48,1.55,41143800,568252000
47,"Jan 12, 2018",1.45,1.63,1.33,1.57,48800800,523033000
48,"Jan 11, 2018",1.51,1.51,1.09,1.43,52589500,545150000
49,"Jan 10, 2018",1.66,1.66,1.34,1.53,43363400,598788000
50,"Jan 09, 2018",1.58,1.77,1.5,1.66,49840100,570561000
51,"Jan 08, 2018",1.8,1.8,1.39,1.58,34045100,647807000
52,"Jan 07, 2018",1.65,1.97,1.65,1.81,58875100,595919000
53,"Jan 06, 2018",1.41,1.77,1.34,1.64,53990500,504005000
54,"Jan 05, 2018",1.61,1.7,1.35,1.4,47063100,576560000
55,"Jan 04, 2018",1.81,2.01,1.55,1.59,80542200,650087000
56,"Jan 03, 2018",1.35,1.76,1.22,1.74,93221200,480096000
57,"Jan 02, 2018",1.07,1.34,1.07,1.28,91753300,379411000
58,"Jan 01, 2018",1.02,1.1,0.966561,1.06,48577100,362957000
59,"Dec 31, 2017",0.831415,1.07,0.822801,1.01,23370900,296170000
60,"Dec 30, 2017",0.966109,0.966109,0.777195,0.8465370000000001,16038800,344152000
61,"Dec 29, 2017",0.8967649999999999,1.01,0.8717950000000001,0.9720209999999999,25643100,319446000
62,"Dec 28, 2017",0.9005549999999999,0.9048229999999999,0.769176,0.8766370000000001,19558100,320796000
63,"Dec 27, 2017",0.9443520000000001,0.95168,0.866909,0.9022620000000001,24716000,336398000
64,"Dec 26, 2017",0.9603510000000001,1.02,0.88176,0.9451879999999999,31604200,342097000
65,"Dec 25, 2017",0.9473659999999999,0.998868,0.865791,0.974246,29755000,337471000
66,"Dec 24, 2017",0.987183,1.0,0.810746,0.9403360000000001,25272900,351655000
67,"Dec 23, 2017",0.871383,1.1,0.862608,0.9621209999999999,39323000,310405000
68,"Dec 22, 2017",1.16,1.2,0.618276,0.8622850000000001,44064100,412839000
69,"Dec 21, 2017",1.2,1.31,1.06,1.16,74210900,427645000
70,"Dec 20, 2017",1.06,1.21,0.8780049999999999,1.16,81283900,374867000
71,"Dec 19, 2017",1.08,1.21,1.02,1.06,64852600,380934000
72,"Dec 18, 2017",0.780846,1.17,0.780846,1.09,168284000,274957000
73,"Dec 17, 2017",0.684475,0.841245,0.6802699999999999,0.775526,57766700,241022000
74,"Dec 16, 2017",0.667227,0.714832,0.661181,0.686357,38805700,234949000
75,"Dec 15, 2017",0.723723,0.751795,0.594723,0.6681,47130100,254093000
76,"Dec 14, 2017",0.626618,0.790746,0.616981,0.718504,88571700,220001000
77,"Dec 13, 2017",0.5796180000000001,0.6780579999999999,0.54025,0.627483,54559900,203499000
78,"Dec 12, 2017",0.546496,0.588187,0.520113,0.580943,42883400,191871000
79,"Dec 11, 2017",0.505729,0.561003,0.501798,0.545032,44072100,177558000
80,"Dec 10, 2017",0.5877939999999999,0.58943,0.46253999999999995,0.51172,40612700,206370000
81,"Dec 09, 2017",0.553812,0.6714939999999999,0.553812,0.5857859999999999,55770000,194439000
82,"Dec 08, 2017",0.5068,0.5991390000000001,0.461959,0.556774,62051200,177933000
83,"Dec 07, 2017",0.610773,0.628219,0.489238,0.505571,51676400,214436000
84,"Dec 06, 2017",0.684174,0.68767,0.586134,0.6116689999999999,50325900,240206000
85,"Dec 05, 2017",0.735614,0.735614,0.6796270000000001,0.6888340000000001,28795700,258266000
86,"Dec 04, 2017",0.706309,0.7493890000000001,0.679353,0.74066,30970200,247977000
87,"Dec 03, 2017",0.702954,0.752195,0.6772640000000001,0.7082390000000001,35004500,246799000
88,"Dec 02, 2017",0.698503,0.729911,0.670184,0.702054,31766600,245236000
89,"Dec 01, 2017",0.6539590000000001,0.724002,0.616733,0.699235,61480800,229598000
90,"Nov 30, 2017",0.5322279999999999,0.708946,0.521676,0.659411,80239700,186859000
91,"Nov 29, 2017",0.629775,0.642421,0.49338000000000004,0.5255569999999999,40299400,221107000
92,"Nov 28, 2017",0.672135,0.738688,0.620961,0.630541,43501500,235486000
93,"Nov 27, 2017",0.768115,0.776564,0.655559,0.6728350000000001,41706300,269113000
94,"Nov 26, 2017",0.792866,0.8002,0.726698,0.762319,41512000,277785000
95,"Nov 25, 2017",0.790343,0.816808,0.78165,0.789455,30718000,276901000
96,"Nov 24, 2017",0.756625,0.8435940000000001,0.74437,0.794307,46228900,265083000
97,"Nov 23, 2017",0.848728,0.879933,0.727689,0.7456729999999999,86768500,297012000
98,"Nov 22, 2017",0.6427649999999999,0.952506,0.628696,0.840146,194048000,224935000
99,"Nov 21, 2017",0.564156,0.637127,0.45394700000000004,0.637127,81946800,196975000
100,"Nov 20, 2017",0.41582299999999994,0.710203,0.401325,0.5597260000000001,206794000,145107000
101,"Nov 19, 2017",0.304734,0.420343,0.296579,0.414196,61053800,106341000
102,"Nov 18, 2017",0.260864,0.305068,0.255361,0.30501100000000003,13438800,91032200
103,"Nov 17, 2017",0.24463000000000001,0.291286,0.229908,0.257452,18239400,85364000
104,"Nov 16, 2017",0.253112,0.268921,0.231429,0.24525500000000003,15691700,88324000
105,"Nov 15, 2017",0.275307,0.28484899999999996,0.23187,0.2487,17382700,96015400
106,"Nov 14, 2017",0.174396,0.298745,0.17228,0.275913,55682800,60821200
107,"Nov 13, 2017",0.148949,0.181288,0.144731,0.175871,3725560,51456700
108,"Nov 12, 2017",0.16386199999999998,0.167942,0.1273,0.146313,5570010,56608500
109,"Nov 11, 2017",0.17023,0.184976,0.157814,0.165206,3131360,58808600
110,"Nov 10, 2017",0.189471,0.213473,0.16104100000000002,0.17435699999999998,4744480,65455700
111,"Nov 09, 2017",0.181176,0.202713,0.175795,0.18739,4413010,62589900
112,"Nov 08, 2017",0.179857,0.19863,0.154298,0.179846,9507180,62134300
113,"Nov 07, 2017",0.224412,0.22787800000000002,0.16384100000000001,0.180334,10396100,77526500
114,"Nov 06, 2017",0.161005,0.231067,0.159316,0.22170900000000002,17658100,-
115,"Nov 05, 2017",0.125807,0.165983,0.12471800000000001,0.16108499999999998,8740810,-
116,"Nov 04, 2017",0.108171,0.129133,0.103376,0.126986,2340710,-
117,"Nov 03, 2017",0.10663900000000001,0.11494700000000001,0.08454199999999999,0.108752,4855080,-
118,"Nov 02, 2017",0.055665,0.16606300000000002,0.054823000000000004,0.12173199999999999,6588830,-
119,"Nov 01, 2017",0.056271,0.063499,0.045818,0.055671000000000005,1017460,-
