,Date,Open,High,Low,Close,Volume,Market Cap
0,"Feb 28, 2018",1.83,1.98,1.72,1.74,905598,657274000
1,"Feb 27, 2018",2.05,2.05,1.82,1.83,698792,735864000
2,"Feb 26, 2018",1.86,2.08,1.84,2.04,513974,667228000
3,"Feb 25, 2018",1.9,1.9,1.81,1.87,307627,682554000
4,"Feb 24, 2018",1.9,2.04,1.83,1.9,597030,681001000
5,"Feb 23, 2018",1.97,2.11,1.85,1.9,666451,705294000
6,"Feb 22, 2018",2.12,2.19,1.85,1.97,994730,760782000
7,"Feb 21, 2018",2.3,2.46,2.04,2.12,785626,826161000
8,"Feb 20, 2018",2.38,2.61,2.32,2.32,1265460,854197000
9,"Feb 19, 2018",2.22,2.38,2.19,2.38,842577,796025000
10,"Feb 18, 2018",2.27,2.35,2.09,2.23,914941,815915000
11,"Feb 17, 2018",2.26,2.43,2.21,2.28,1098650,810646000
12,"Feb 16, 2018",2.01,2.43,2.0,2.26,745385,720841000
13,"Feb 15, 2018",2.34,2.34,1.99,1.99,1390900,840560000
14,"Feb 14, 2018",1.71,2.37,1.71,2.33,1635590,612423000
15,"Feb 13, 2018",1.73,1.8,1.63,1.73,762763,594594000
16,"Feb 12, 2018",1.44,1.85,1.43,1.74,1196790,494427000
17,"Feb 11, 2018",1.47,1.56,1.34,1.43,516198,506200000
18,"Feb 10, 2018",1.5,1.59,1.4,1.47,562500,515456000
19,"Feb 09, 2018",1.38,2.19,1.27,1.5,710388,474355000
20,"Feb 08, 2018",1.22,1.47,1.21,1.37,479390,419729000
21,"Feb 07, 2018",1.4,1.54,1.19,1.2,744113,481604000
22,"Feb 06, 2018",1.12,1.42,0.826084,1.41,1148330,386224000
23,"Feb 05, 2018",1.48,1.54,1.05,1.12,764470,510504000
24,"Feb 04, 2018",1.72,1.82,1.41,1.5,663940,592649000
25,"Feb 03, 2018",1.59,1.9,1.46,1.72,701289,548548000
26,"Feb 02, 2018",1.86,1.87,1.29,1.59,917640,640989000
27,"Feb 01, 2018",2.03,2.23,1.72,1.87,973099,698479000
28,"Jan 31, 2018",1.96,2.24,1.84,2.03,1423700,673118000
29,"Jan 30, 2018",2.3,2.36,1.9,1.95,1629830,791971000
30,"Jan 29, 2018",2.38,2.62,2.22,2.29,1836730,819101000
31,"Jan 28, 2018",1.98,2.48,1.96,2.37,1646840,680087000
32,"Jan 27, 2018",1.83,1.98,1.8,1.98,720460,630823000
33,"Jan 26, 2018",1.78,1.9,1.66,1.83,1015660,611258000
34,"Jan 25, 2018",1.86,1.92,1.76,1.78,1024320,454196000
35,"Jan 24, 2018",1.7,1.88,1.66,1.83,1559140,415782000
36,"Jan 23, 2018",1.77,1.9,1.67,1.7,807366,432874000
37,"Jan 22, 2018",1.94,1.95,1.64,1.79,683656,473951000
38,"Jan 21, 2018",2.0,2.11,1.75,1.92,1000580,488172000
39,"Jan 20, 2018",1.86,2.21,1.86,1.99,799479,454369000
40,"Jan 19, 2018",1.94,2.17,1.77,1.86,1149220,473735000
41,"Jan 18, 2018",1.98,2.24,1.85,1.97,1256730,483172000
42,"Jan 17, 2018",1.91,2.19,1.54,1.98,1240490,465579000
43,"Jan 16, 2018",2.2,2.37,1.59,1.92,1596940,402094000
44,"Jan 15, 2018",2.66,2.72,2.04,2.26,1964590,486415000
45,"Jan 14, 2018",2.71,2.79,2.44,2.61,1931400,495134000
46,"Jan 13, 2018",2.51,2.82,2.42,2.7,2718050,458472000
47,"Jan 12, 2018",2.43,2.62,2.27,2.51,1629480,444080000
48,"Jan 11, 2018",2.49,2.59,2.05,2.41,1791770,454689000
49,"Jan 10, 2018",2.79,2.8,2.22,2.45,2766430,509893000
50,"Jan 09, 2018",2.89,2.99,2.53,2.81,2547570,528607000
51,"Jan 08, 2018",2.92,3.14,2.49,2.9,2470460,534516000
52,"Jan 07, 2018",2.35,3.0,2.2,3.0,2609570,430297000
53,"Jan 06, 2018",2.51,2.7,2.23,2.36,3014060,459475000
54,"Jan 05, 2018",2.13,2.87,2.13,2.53,4205640,389488000
55,"Jan 04, 2018",2.1,2.18,1.86,2.1,2443920,384571000
56,"Jan 03, 2018",2.42,2.42,1.95,2.09,2351030,443175000
57,"Jan 02, 2018",1.37,2.44,1.37,2.42,5207890,249791000
58,"Jan 01, 2018",0.705983,1.48,0.656576,1.35,2409160,129169000
59,"Dec 31, 2017",0.658982,0.726004,0.547553,0.719817,554462,120569000
60,"Dec 30, 2017",0.695645,0.695645,0.55078,0.656832,462467,127277000
61,"Dec 29, 2017",0.604372,0.686723,0.5698949999999999,0.647335,337828,110578000
62,"Dec 28, 2017",0.708854,0.713493,0.571864,0.60883,359094,129694000
63,"Dec 27, 2017",0.7157220000000001,0.761959,0.636347,0.710163,444550,130951000
64,"Dec 26, 2017",0.534896,0.728007,0.523776,0.6931649999999999,671928,97866300
65,"Dec 25, 2017",0.46672399999999997,0.551002,0.46081000000000005,0.539369,637287,85393200
66,"Dec 24, 2017",0.5265350000000001,0.533845,0.419142,0.45998199999999995,811846,96336600
67,"Dec 23, 2017",0.5620649999999999,0.6676529999999999,0.513353,0.520501,839943,102837000
68,"Dec 22, 2017",0.724057,0.829626,0.402633,0.614822,583378,132476000
69,"Dec 21, 2017",0.800172,0.913243,0.749922,0.754088,220805,146402000
70,"Dec 20, 2017",1.05,1.05,0.72326,0.7990649999999999,925381,192554000
71,"Dec 19, 2017",0.62192,1.07,0.621096,1.05,725817,113788000
72,"Dec 18, 2017",0.609583,0.6459020000000001,0.568793,0.623993,687354,111531000
73,"Dec 17, 2017",0.598993,0.662449,0.588407,0.6095109999999999,351307,109594000
74,"Dec 16, 2017",0.62629,0.649676,0.5768989999999999,0.5980989999999999,376054,114588000
75,"Dec 15, 2017",0.661373,0.67678,0.597862,0.624883,289483,121007000
76,"Dec 14, 2017",0.641305,0.694187,0.604749,0.66059,246756,117335000
77,"Dec 13, 2017",0.588937,0.721442,0.538654,0.642007,89749,107754000
78,"Dec 12, 2017",0.46775500000000003,0.62042,0.423254,0.588534,97331,85582000
79,"Dec 11, 2017",0.43791499999999994,0.49531499999999995,0.349423,0.470775,220240,80122300
80,"Dec 10, 2017",0.48828900000000003,0.5594100000000001,0.372133,0.44403400000000004,86143,89339000
81,"Dec 09, 2017",0.540047,0.652289,0.485044,0.486727,187639,98808800
82,"Dec 08, 2017",0.559875,0.596047,0.464156,0.540061,360288,102436000
83,"Dec 07, 2017",0.700801,0.740254,0.42415200000000003,0.590707,502319,127520000
84,"Dec 06, 2017",0.406433,0.715904,0.40574299999999996,0.710438,236956,73955900
85,"Dec 05, 2017",0.35865199999999997,0.41896300000000003,0.347204,0.407149,56484,65261500
86,"Dec 04, 2017",0.32154299999999997,0.371843,0.31254099999999996,0.358468,59232,58508900
