,Date,Open,High,Low,Close,Volume,Market Cap
0,"Feb 20, 2018",1.14,1.17,1.08,1.09,806673000,44648100000
1,"Feb 19, 2018",1.12,1.17,1.12,1.14,556304000,43813300000
2,"Feb 18, 2018",1.2,1.21,1.09,1.12,1113650000,46997500000
3,"Feb 17, 2018",1.14,1.22,1.13,1.2,1186730000,44370200000
4,"Feb 16, 2018",1.14,1.15,1.11,1.14,568339000,44663300000
5,"Feb 15, 2018",1.14,1.16,1.11,1.15,1188530000,44433600000
6,"Feb 14, 2018",1.03,1.17,1.02,1.14,1457600000,40026500000
7,"Feb 13, 2018",1.08,1.08,1.01,1.03,921100000,42119800000
8,"Feb 12, 2018",1.01,1.11,1.01,1.08,1756290000,39262700000
9,"Feb 11, 2018",1.07,1.08,0.929767,1.0,2555310000,41635500000
10,"Feb 10, 2018",0.9472510000000001,1.3,0.9472510000000001,1.07,4682010000,36951500000
11,"Feb 09, 2018",0.79714,0.954428,0.77154,0.954428,1690340000,31095800000
12,"Feb 08, 2018",0.729252,0.80697,0.722611,0.8052630000000001,947315000,28447500000
13,"Feb 07, 2018",0.774576,0.805478,0.70695,0.723895,1133370000,30215600000
14,"Feb 06, 2018",0.705121,0.786004,0.58836,0.776393,2361140000,27506200000
15,"Feb 05, 2018",0.825943,0.833866,0.6758270000000001,0.6917989999999999,1286180000,32219400000
16,"Feb 04, 2018",0.9134180000000001,0.952947,0.796821,0.815703,1190960000,35631700000
17,"Feb 03, 2018",0.891992,0.974799,0.7616350000000001,0.9240430000000001,1988960000,34795900000
18,"Feb 02, 2018",0.960642,0.960642,0.635185,0.884784,3529760000,37473900000
19,"Feb 01, 2018",1.16,1.16,0.930378,0.9625299999999999,1410420000,44971500000
20,"Jan 31, 2018",1.13,1.19,1.04,1.16,1264030000,43800800000
21,"Jan 30, 2018",1.33,1.33,1.13,1.14,1134640000,51452400000
22,"Jan 29, 2018",1.4,1.41,1.3,1.32,1073680000,54204300000
23,"Jan 28, 2018",1.22,1.44,1.22,1.4,1327360000,47412500000
24,"Jan 27, 2018",1.22,1.24,1.19,1.22,689101000,47180200000
25,"Jan 26, 2018",1.31,1.33,1.14,1.22,2037570000,50706400000
26,"Jan 25, 2018",1.36,1.38,1.29,1.31,986068000,52811100000
27,"Jan 24, 2018",1.35,1.42,1.31,1.36,1853440000,52380100000
28,"Jan 23, 2018",1.35,1.43,1.2,1.34,2977080000,52421300000
29,"Jan 22, 2018",1.39,1.43,1.16,1.36,2642510000,53909800000
