,Date,Open,High,Low,Close,Volume,Market Cap
0,"Feb 20, 2018",4.7,4.81,4.28,4.31,6223760,252030000
1,"Feb 19, 2018",4.68,5.06,4.63,4.7,6276290,250445000
2,"Feb 18, 2018",5.34,5.4,4.68,4.71,5161320,285994000
3,"Feb 17, 2018",5.42,5.76,5.27,5.35,7030850,289350000
4,"Feb 16, 2018",4.91,5.45,4.62,5.42,9043360,261893000
5,"Feb 15, 2018",4.35,4.89,4.23,4.89,7778470,231557000
6,"Feb 14, 2018",4.06,4.43,4.05,4.35,4726930,215443000
7,"Feb 13, 2018",4.33,4.36,4.03,4.06,2446450,229871000
8,"Feb 12, 2018",3.93,4.38,3.93,4.32,3173750,207778000
9,"Feb 11, 2018",4.43,4.44,3.9,3.9,3031990,234515000
10,"Feb 10, 2018",4.68,4.91,4.2,4.45,3975030,247283000
11,"Feb 09, 2018",4.42,4.75,4.18,4.68,3704030,234256000
12,"Feb 08, 2018",4.09,4.65,4.09,4.42,6599090,216651000
13,"Feb 07, 2018",4.34,5.16,3.79,4.11,8832610,236118000
14,"Feb 06, 2018",3.56,4.47,2.85,4.36,8237130,193456000
15,"Feb 05, 2018",4.38,4.43,2.92,3.53,7480310,237429000
16,"Feb 04, 2018",5.33,5.54,3.97,4.43,9261420,288302000
17,"Feb 03, 2018",4.76,5.61,4.42,5.33,9070050,255253000
18,"Feb 02, 2018",5.16,5.16,3.51,4.76,7187960,276273000
19,"Feb 01, 2018",6.06,6.26,4.66,5.18,10779700,323319000
20,"Jan 31, 2018",6.15,6.4,5.66,6.05,11780200,326753000
21,"Jan 30, 2018",7.61,7.61,5.95,6.18,11705600,404231000
22,"Jan 29, 2018",7.71,7.77,7.23,7.62,10633100,408827000
23,"Jan 28, 2018",7.95,8.16,7.68,7.72,14353800,421285000
24,"Jan 27, 2018",7.93,8.24,7.62,7.88,11862100,419299000
25,"Jan 26, 2018",7.5,8.2,7.02,7.92,17761400,393300000
26,"Jan 25, 2018",8.04,8.08,7.33,7.54,14523300,421495000
27,"Jan 24, 2018",7.53,8.14,7.32,7.91,15163100,395031000
28,"Jan 23, 2018",7.39,7.96,6.78,7.56,10705900,525752000
29,"Jan 22, 2018",8.22,8.33,6.91,7.46,12546800,584619000
