,Date,Open,High,Low,Close,Volume,Market Cap
0,"Feb 28, 2018",3.49,3.52,3.27,3.28,4713170,875765000
1,"Feb 27, 2018",3.61,3.61,3.44,3.51,6209110,905382000
2,"Feb 26, 2018",3.47,3.62,3.34,3.62,5721390,870424000
3,"Feb 25, 2018",3.48,3.57,3.33,3.51,5088700,872530000
4,"Feb 24, 2018",3.73,3.74,3.38,3.49,6532180,932862000
5,"Feb 23, 2018",3.5,3.8,3.29,3.69,14502800,875309000
6,"Feb 22, 2018",3.79,3.88,3.37,3.51,7228190,946128000
7,"Feb 21, 2018",4.14,4.14,3.78,3.89,11213400,1033440000
8,"Feb 20, 2018",4.53,4.53,4.18,4.21,20141900,1130050000
9,"Feb 19, 2018",4.23,4.57,4.18,4.55,23922700,1055850000
10,"Feb 18, 2018",4.66,4.66,4.14,4.29,17560500,1163140000
11,"Feb 17, 2018",4.54,4.69,4.43,4.68,22745700,1131160000
12,"Feb 16, 2018",4.57,4.59,4.38,4.58,16317000,1140190000
13,"Feb 15, 2018",4.55,4.61,4.33,4.6,32348200,1134020000
14,"Feb 14, 2018",4.21,4.46,4.15,4.46,25653800,1049020000
15,"Feb 13, 2018",4.45,4.45,4.03,4.25,29812600,1107950000
16,"Feb 12, 2018",4.0,4.27,4.0,4.27,20931400,998022000
17,"Feb 11, 2018",4.51,4.51,3.81,3.99,29617900,1123340000
18,"Feb 10, 2018",4.3,5.08,4.08,4.49,123352000,1071030000
19,"Feb 09, 2018",3.94,4.36,3.89,4.34,68772100,982198000
20,"Feb 08, 2018",3.65,4.05,3.63,3.95,44784000,908483000
21,"Feb 07, 2018",3.89,4.09,3.5,3.65,60622200,968166000
22,"Feb 06, 2018",3.33,4.02,2.62,3.88,93548900,828410000
23,"Feb 05, 2018",3.89,4.12,3.21,3.3,37719200,967012000
24,"Feb 04, 2018",4.38,4.65,3.74,3.88,44028700,1088860000
25,"Feb 03, 2018",4.53,4.71,3.61,4.52,76445000,1124740000
26,"Feb 02, 2018",5.02,5.02,3.08,4.34,121981000,1245360000
27,"Feb 01, 2018",5.12,5.9,4.56,4.96,181524000,1269210000
28,"Jan 31, 2018",4.65,5.43,4.05,5.15,89015000,1151950000
29,"Jan 30, 2018",5.91,5.91,4.66,4.75,40389600,1462650000
30,"Jan 29, 2018",6.37,6.37,5.82,5.93,43932600,1576440000
31,"Jan 28, 2018",6.07,6.49,5.95,6.49,78270000,1502920000
32,"Jan 27, 2018",6.25,6.34,5.82,6.07,81736000,1547320000
33,"Jan 26, 2018",6.62,6.65,5.38,6.22,228966000,1639840000
34,"Jan 25, 2018",6.08,6.89,5.69,6.51,318344000,1505570000
35,"Jan 24, 2018",4.35,6.05,4.13,6.05,205776000,1076920000
36,"Jan 23, 2018",4.34,4.55,3.88,4.3,17515200,1073090000
37,"Jan 22, 2018",4.97,4.97,3.89,4.4,29067500,1229960000
38,"Jan 21, 2018",5.76,5.85,4.62,4.9,84010000,1425480000
39,"Jan 20, 2018",4.78,5.77,4.78,5.54,149297000,1182220000
40,"Jan 19, 2018",4.26,5.22,4.21,4.77,76640200,1055150000
