,Date,Open,High,Low,Close,Volume,Market Cap
0,"Feb 20, 2018",9.91,10.17,9.02,9.13,21055000,978923000
1,"Feb 19, 2018",9.26,10.18,9.1,9.95,22415800,914001000
2,"Feb 18, 2018",9.76,9.78,8.82,9.26,14139400,963499000
3,"Feb 17, 2018",9.53,9.95,9.42,9.76,19415600,940978000
4,"Feb 16, 2018",9.5,9.79,9.0,9.56,14430300,938100000
5,"Feb 15, 2018",9.26,9.76,9.08,9.54,23848900,914277000
6,"Feb 14, 2018",7.91,9.74,7.91,9.36,47682600,780623000
7,"Feb 13, 2018",7.93,8.24,7.55,7.95,17510200,782976000
8,"Feb 12, 2018",7.03,7.98,7.03,7.9,10176500,694445000
9,"Feb 11, 2018",7.84,7.84,6.61,6.99,9233680,774245000
10,"Feb 10, 2018",8.26,8.86,7.19,7.86,20070700,815645000
11,"Feb 09, 2018",7.31,8.22,6.95,8.21,12699200,721390000
12,"Feb 08, 2018",6.42,7.36,6.42,7.35,12229100,634084000
13,"Feb 07, 2018",6.83,7.53,6.15,6.49,13130400,674637000
14,"Feb 06, 2018",6.09,7.12,4.75,6.86,17572200,600848000
15,"Feb 05, 2018",7.94,8.15,5.63,6.09,14262200,783473000
16,"Feb 04, 2018",9.66,9.79,7.43,7.99,14448100,953494000
17,"Feb 03, 2018",9.4,10.19,8.34,9.66,11740300,928058000
18,"Feb 02, 2018",10.1,10.1,7.16,9.33,25720900,996957000
19,"Feb 01, 2018",12.36,12.87,9.5,10.15,23587600,1220310000
20,"Jan 31, 2018",11.99,12.78,11.12,12.29,25649400,1183220000
21,"Jan 30, 2018",14.87,14.87,11.76,11.97,25695100,1467940000
22,"Jan 29, 2018",14.62,14.9,13.73,14.82,29743800,1443430000
23,"Jan 28, 2018",14.45,15.16,14.21,14.64,34283400,1426250000
24,"Jan 27, 2018",13.46,15.39,13.18,14.42,117059000,1329110000
25,"Jan 26, 2018",12.64,14.13,11.22,13.37,55387300,1247740000
26,"Jan 25, 2018",12.84,13.14,12.11,12.68,18111100,1267800000
27,"Jan 24, 2018",12.37,13.02,11.94,12.64,23016500,1221140000
28,"Jan 23, 2018",11.55,13.29,10.96,12.46,39676300,1140180000
29,"Jan 22, 2018",13.43,14.06,10.85,11.73,32543500,1325880000
