,Date,Open,High,Low,Close,Volume,Market Cap
0,"Feb 20, 2018",2.07,2.11,1.84,1.85,3356750,216506000
1,"Feb 19, 2018",1.97,2.11,1.96,2.07,2705630,206446000
2,"Feb 18, 2018",2.14,2.16,1.93,1.98,2494380,224375000
3,"Feb 17, 2018",1.96,2.16,1.95,2.14,3137880,205568000
4,"Feb 16, 2018",1.98,1.99,1.89,1.97,2369250,206725000
5,"Feb 15, 2018",1.94,1.99,1.87,1.99,2964980,203208000
6,"Feb 14, 2018",1.81,1.95,1.8,1.94,2950240,189371000
7,"Feb 13, 2018",1.96,1.96,1.77,1.81,2966310,204766000
8,"Feb 12, 2018",1.76,1.96,1.76,1.95,3602900,184072000
9,"Feb 11, 2018",1.83,1.87,1.6,1.75,3566390,191371000
10,"Feb 10, 2018",1.74,1.96,1.67,1.83,6578240,182502000
11,"Feb 09, 2018",1.57,1.77,1.5,1.75,4060050,164696000
12,"Feb 08, 2018",1.45,1.63,1.43,1.57,5187240,151409000
13,"Feb 07, 2018",1.59,1.72,1.43,1.45,7972840,166557000
14,"Feb 06, 2018",1.36,1.66,1.09,1.6,7260520,142362000
15,"Feb 05, 2018",1.7,1.73,1.23,1.35,7011110,177491000
16,"Feb 04, 2018",2.01,2.01,1.59,1.71,8106130,209891000
17,"Feb 03, 2018",1.9,2.06,1.75,2.01,9382430,199306000
18,"Feb 02, 2018",1.94,1.96,1.47,1.89,5891370,203401000
19,"Feb 01, 2018",2.32,2.36,1.83,1.95,7751300,243094000
20,"Jan 31, 2018",2.34,2.39,2.16,2.31,15233400,244804000
21,"Jan 30, 2018",2.53,2.53,2.13,2.35,9836630,264714000
22,"Jan 29, 2018",2.76,2.86,2.48,2.53,12845800,289153000
23,"Jan 28, 2018",2.52,2.8,2.52,2.78,20534600,263631000
24,"Jan 27, 2018",2.39,2.58,2.33,2.51,11630600,250354000
25,"Jan 26, 2018",2.48,2.54,2.24,2.41,11024300,259240000
26,"Jan 25, 2018",2.57,2.61,2.37,2.48,11502100,269328000
27,"Jan 24, 2018",2.4,2.58,2.27,2.53,11992000,251670000
28,"Jan 23, 2018",2.28,2.49,2.11,2.41,9939170,238561000
29,"Jan 22, 2018",2.44,2.56,2.1,2.28,11879200,255536000
