,Date,Open,High,Low,Close,Volume,Market Cap
0,"Feb 28, 2018",5.23,5.55,4.54,4.54,73839500,2485090000
1,"Feb 27, 2018",5.58,5.69,5.16,5.23,80397100,2653660000
2,"Feb 26, 2018",5.85,5.85,5.28,5.6,144727000,2786080000
3,"Feb 25, 2018",5.57,5.94,5.42,5.87,67857100,2656900000
4,"Feb 24, 2018",5.96,6.2,5.39,5.56,62538800,2843850000
5,"Feb 23, 2018",5.46,6.2,5.25,5.99,74050200,2613700000
6,"Feb 22, 2018",5.93,6.33,5.32,5.47,75031300,2835810000
7,"Feb 21, 2018",6.23,6.49,5.69,5.95,83844800,2955150000
8,"Feb 20, 2018",6.49,7.17,6.19,6.24,156506000,3080770000
9,"Feb 19, 2018",5.34,6.49,5.33,6.46,97820400,2535610000
10,"Feb 18, 2018",6.0,6.01,5.27,5.35,49595600,2820900000
11,"Feb 17, 2018",5.73,6.08,5.64,5.99,64632700,2687850000
12,"Feb 16, 2018",5.96,6.06,5.45,5.69,83310300,2804650000
13,"Feb 15, 2018",5.01,6.03,4.82,5.98,124499000,2361210000
14,"Feb 14, 2018",4.18,5.0,4.18,5.0,56104500,1967590000
15,"Feb 13, 2018",4.31,4.36,3.96,4.2,37546900,2031340000
16,"Feb 12, 2018",4.0,4.46,4.0,4.31,29326600,1882270000
17,"Feb 11, 2018",4.38,4.38,3.74,3.97,44862300,2061420000
18,"Feb 10, 2018",4.66,5.04,4.15,4.4,51292400,2172710000
19,"Feb 09, 2018",4.27,4.69,4.06,4.66,24856800,1991670000
20,"Feb 08, 2018",3.84,4.47,3.84,4.28,72426300,1791710000
21,"Feb 07, 2018",4.14,4.65,3.67,3.87,77747300,1935680000
22,"Feb 06, 2018",3.58,4.46,2.63,4.19,111053000,1673400000
23,"Feb 05, 2018",4.5,4.58,2.94,3.51,84120300,2101630000
24,"Feb 04, 2018",5.51,5.57,4.26,4.54,69855900,2575760000
25,"Feb 03, 2018",4.93,5.91,4.44,5.52,84763400,2308390000
26,"Feb 02, 2018",5.27,5.33,3.57,4.9,96082900,2466510000
27,"Feb 01, 2018",6.33,6.43,4.8,5.27,103601000,2910600000
28,"Jan 31, 2018",5.87,6.46,5.63,6.33,120768000,2706700000
