,Date,Open,High,Low,Close,Volume,Market Cap
0,"Feb 20, 2018",263.11,305.52,260.7,270.69,441466,535859000
1,"Feb 19, 2018",273.01,290.36,255.37,262.99,281660,556030000
2,"Feb 18, 2018",303.96,303.96,254.97,273.46,362683,619052000
3,"Feb 17, 2018",288.25,304.73,278.53,303.49,215053,587059000
4,"Feb 16, 2018",297.61,314.83,259.42,286.6,375869,606132000
5,"Feb 15, 2018",310.38,316.15,285.92,298.29,284007,632144000
6,"Feb 14, 2018",256.77,310.04,255.03,309.72,222206,522951000
7,"Feb 13, 2018",261.96,278.88,242.79,257.47,157123,533522000
8,"Feb 12, 2018",273.33,286.97,261.57,272.81,133613,556682000
9,"Feb 11, 2018",278.61,283.2,253.79,272.0,132946,567436000
10,"Feb 10, 2018",287.3,302.45,265.02,278.96,134022,585134000
11,"Feb 09, 2018",279.02,295.11,261.02,287.27,143917,568265000
12,"Feb 08, 2018",267.84,310.06,267.84,278.58,492661,545495000
13,"Feb 07, 2018",274.41,309.04,258.4,268.49,552699,558882000
14,"Feb 06, 2018",245.5,274.87,196.37,273.46,1020650,499996000
15,"Feb 05, 2018",308.0,315.85,220.77,244.83,555309,627295000
16,"Feb 04, 2018",350.97,362.76,293.83,311.38,462325,714802000
17,"Feb 03, 2018",332.7,363.24,317.32,351.01,735091,677584000
18,"Feb 02, 2018",352.07,360.68,251.46,331.96,861162,717050000
19,"Feb 01, 2018",404.99,435.8,326.54,353.22,553054,824815000
20,"Jan 31, 2018",362.4,404.91,334.35,404.91,617816,738090000
21,"Jan 30, 2018",405.75,406.21,332.88,358.97,963779,826365000
22,"Jan 29, 2018",401.35,414.48,376.25,402.69,809086,817401000
23,"Jan 28, 2018",383.28,428.67,382.22,401.43,1059580,780614000
24,"Jan 27, 2018",372.38,406.72,365.23,384.55,505141,758416000
25,"Jan 26, 2018",387.28,402.89,319.88,372.4,985983,788757000
26,"Jan 25, 2018",375.66,413.32,370.13,389.16,1176550,765093000
27,"Jan 24, 2018",347.36,382.56,329.85,367.39,789267,707455000
28,"Jan 23, 2018",361.21,365.54,314.4,347.34,612023,735650000
29,"Jan 22, 2018",382.7,398.15,330.09,361.91,613026,779427000
