,Date,Open,High,Low,Close,Volume,Market Cap
0,"Feb 20, 2018",4.57,5.32,4.55,4.9,13564600,196485000
1,"Feb 19, 2018",4.39,4.7,4.26,4.57,5089510,188593000
2,"Feb 18, 2018",4.57,4.57,3.97,4.39,3729910,196539000
3,"Feb 17, 2018",4.47,5.02,4.34,4.56,10650300,191825000
4,"Feb 16, 2018",4.29,4.61,3.98,4.46,8192600,184201000
5,"Feb 15, 2018",3.52,4.41,3.52,4.3,10352700,151240000
6,"Feb 14, 2018",3.12,3.53,3.12,3.53,2178000,133828000
7,"Feb 13, 2018",3.29,3.33,3.08,3.14,2042370,141032000
8,"Feb 12, 2018",3.09,3.42,3.08,3.29,1853080,132384000
9,"Feb 11, 2018",3.32,3.32,2.88,3.06,1392620,142414000
10,"Feb 10, 2018",3.38,3.68,3.16,3.31,2809750,144878000
11,"Feb 09, 2018",3.1,3.39,2.96,3.35,2048370,132983000
12,"Feb 08, 2018",2.78,3.19,2.78,3.1,1646600,119170000
13,"Feb 07, 2018",2.84,3.34,2.74,2.79,4557510,121570000
14,"Feb 06, 2018",2.31,2.92,1.8,2.89,4045970,98694900
15,"Feb 05, 2018",2.94,2.98,2.11,2.3,3058160,125793000
16,"Feb 04, 2018",3.36,3.41,2.8,2.92,1459500,143900000
17,"Feb 03, 2018",3.25,3.51,2.88,3.37,2308280,138886000
18,"Feb 02, 2018",3.37,3.37,2.48,3.21,4220150,143991000
19,"Feb 01, 2018",3.87,3.92,3.02,3.37,3224510,165271000
20,"Jan 31, 2018",3.78,3.89,3.36,3.89,5043580,161413000
21,"Jan 30, 2018",4.44,4.49,3.57,3.75,4637260,189750000
22,"Jan 29, 2018",4.65,4.73,4.38,4.43,2188290,198586000
23,"Jan 28, 2018",4.59,4.76,4.59,4.66,2619730,195990000
24,"Jan 27, 2018",4.48,4.7,4.36,4.57,3115030,191112000
25,"Jan 26, 2018",4.6,4.77,4.05,4.45,3613610,196013000
26,"Jan 25, 2018",4.67,4.87,4.57,4.61,6316280,199286000
27,"Jan 24, 2018",4.47,4.66,4.21,4.52,6059220,190530000
28,"Jan 23, 2018",4.22,4.71,3.96,4.48,8081750,179723000
29,"Jan 22, 2018",4.75,4.91,3.9,4.19,3584790,202346000
