,Date,Open,High,Low,Close,Volume,Market Cap
0,"Feb 20, 2018",25.39,25.68,22.17,23.19,13582000,632155000
1,"Feb 19, 2018",24.0,26.37,23.91,25.45,7885530,597604000
2,"Feb 18, 2018",26.71,27.16,23.75,24.09,7406650,665144000
3,"Feb 17, 2018",26.98,28.06,26.47,26.86,9897960,671805000
4,"Feb 16, 2018",27.77,27.95,25.42,26.98,12009500,691462000
5,"Feb 15, 2018",23.78,28.59,23.22,27.91,17722800,591979000
6,"Feb 14, 2018",21.33,24.46,21.24,23.75,9998060,531076000
7,"Feb 13, 2018",22.39,22.49,20.74,21.38,5591530,557479000
8,"Feb 12, 2018",20.43,22.73,20.15,22.38,7053040,508674000
9,"Feb 11, 2018",22.26,22.26,19.17,20.33,6364060,554222000
10,"Feb 10, 2018",24.68,28.23,20.94,22.27,14413000,614422000
11,"Feb 09, 2018",22.67,24.93,21.49,24.91,1181550,564503000
12,"Feb 08, 2018",20.15,23.52,20.15,22.62,16211700,501754000
13,"Feb 07, 2018",22.7,25.49,20.13,20.15,15012200,565298000
14,"Feb 06, 2018",17.71,23.35,13.59,22.83,21608300,440937000
15,"Feb 05, 2018",23.35,24.4,15.27,17.52,16172000,581358000
16,"Feb 04, 2018",28.22,28.97,21.7,23.53,16479100,702645000
17,"Feb 03, 2018",24.9,30.46,22.19,28.36,21908800,619960000
18,"Feb 02, 2018",27.47,27.59,16.77,24.79,22530900,684014000
19,"Feb 01, 2018",32.27,32.72,24.42,27.6,20079600,803410000
20,"Jan 31, 2018",32.35,33.41,30.79,32.24,15983900,805453000
21,"Jan 30, 2018",37.83,38.58,30.2,32.3,40530500,941803000
22,"Jan 29, 2018",39.85,40.73,35.25,37.89,62793700,992277000
23,"Jan 28, 2018",42.1,45.96,34.52,39.83,119525000,1048300000
24,"Jan 27, 2018",38.35,43.74,36.95,41.73,95696000,954900000
25,"Jan 26, 2018",33.05,38.42,30.72,38.02,62688700,822842000
26,"Jan 25, 2018",36.86,36.86,31.99,33.16,43290700,917787000
27,"Jan 24, 2018",30.02,38.46,29.38,36.55,115482000,747519000
28,"Jan 23, 2018",28.81,33.02,26.43,29.92,80665700,717370000
29,"Jan 22, 2018",28.32,29.92,22.49,28.86,57289000,705028000
