,Date,Open,High,Low,Close,Volume,Market Cap
0,"Feb 20, 2018",189.96,199.43,163.25,167.91,24930400,636466000
1,"Feb 19, 2018",178.1,199.53,177.28,190.03,17431000,595443000
2,"Feb 18, 2018",191.45,191.45,163.21,177.8,15606400,638732000
3,"Feb 17, 2018",163.97,194.61,150.23,191.73,18173800,545859000
4,"Feb 16, 2018",158.18,166.0,154.97,165.23,9169700,525452000
5,"Feb 15, 2018",172.45,172.45,146.85,158.49,17919000,571677000
6,"Feb 14, 2018",147.7,179.82,147.7,171.43,37315400,488553000
7,"Feb 13, 2018",113.88,149.76,109.57,148.62,35013100,375851000
8,"Feb 12, 2018",94.36,113.95,94.36,113.94,5340040,310752000
9,"Feb 11, 2018",100.12,100.64,87.34,93.67,2867010,329018000
10,"Feb 10, 2018",106.13,111.39,92.64,100.25,5488930,348024000
11,"Feb 09, 2018",96.0,106.32,89.76,106.04,5423930,313423000
12,"Feb 08, 2018",81.24,105.67,81.24,96.75,5818230,265253000
13,"Feb 07, 2018",88.6,97.34,76.9,82.63,3904230,288633000
14,"Feb 06, 2018",75.78,90.42,56.45,88.83,7441100,246324000
15,"Feb 05, 2018",94.96,97.35,65.79,75.75,6308650,308003000
16,"Feb 04, 2018",108.45,110.13,88.89,95.28,3664690,350977000
17,"Feb 03, 2018",103.81,116.6,94.11,108.14,4678650,335229000
18,"Feb 02, 2018",103.79,109.87,71.88,103.42,9030280,334415000
19,"Feb 01, 2018",117.54,122.91,93.04,103.64,6387950,377884000
20,"Jan 31, 2018",111.8,123.22,105.21,116.67,8290540,358622000
21,"Jan 30, 2018",134.82,136.91,107.0,111.44,13078300,431531000
22,"Jan 29, 2018",148.68,168.31,128.78,132.78,28043400,474855000
23,"Jan 28, 2018",155.81,169.67,142.01,149.03,18335600,496478000
24,"Jan 27, 2018",145.53,160.1,140.56,155.36,9562340,462708000
25,"Jan 26, 2018",146.97,155.56,127.76,146.15,7894230,466229000
26,"Jan 25, 2018",119.53,154.94,119.35,147.05,23948500,378306000
27,"Jan 24, 2018",104.04,117.11,102.3,116.27,5408980,328546000
28,"Jan 23, 2018",107.89,113.16,92.44,104.41,8986490,339959000
29,"Jan 22, 2018",129.99,129.99,93.49,107.57,20388400,408626000
