,Date,Open,High,Low,Close,Volume,Market Cap
0,"Feb 20, 2018",67.06,69.27,64.4,64.4,5083970,277774000
1,"Feb 19, 2018",64.74,67.29,63.73,66.5,4766800,267636000
2,"Feb 18, 2018",67.91,72.67,62.24,65.27,10359200,280180000
3,"Feb 17, 2018",63.25,67.81,61.12,67.74,5202840,260466000
4,"Feb 16, 2018",58.28,63.64,56.97,63.14,3593000,239576000
5,"Feb 15, 2018",57.55,59.55,53.31,58.13,4717130,236181000
6,"Feb 14, 2018",51.75,58.32,51.75,58.26,6171650,212031000
7,"Feb 13, 2018",55.72,56.14,51.5,51.9,5383320,227939000
8,"Feb 12, 2018",49.11,56.7,49.11,55.6,5619220,200563000
9,"Feb 11, 2018",52.68,54.9,46.98,48.67,6029960,214786000
10,"Feb 10, 2018",53.51,58.55,49.21,52.9,6084790,217786000
11,"Feb 09, 2018",51.69,54.28,46.14,53.5,6245140,210025000
12,"Feb 08, 2018",42.77,52.73,42.77,51.48,6817420,173459000
13,"Feb 07, 2018",46.3,56.02,42.04,43.14,5399680,187489000
14,"Feb 06, 2018",39.33,48.64,30.75,47.42,9799470,158987000
15,"Feb 05, 2018",49.92,51.04,36.93,38.14,5855050,201405000
16,"Feb 04, 2018",60.59,62.61,45.97,49.16,5539230,243995000
17,"Feb 03, 2018",54.93,62.33,49.95,60.45,6227780,220777000
18,"Feb 02, 2018",60.95,60.95,41.63,54.88,6830490,244506000
19,"Feb 01, 2018",71.74,73.14,57.47,60.98,6400680,287232000
20,"Jan 31, 2018",66.53,73.0,63.43,71.31,4840710,265895000
21,"Jan 30, 2018",78.43,78.7,62.15,66.56,4862850,313002000
22,"Jan 29, 2018",82.03,84.35,74.91,78.8,6814060,326710000
23,"Jan 28, 2018",75.48,84.16,74.98,81.01,7653900,299999000
24,"Jan 27, 2018",73.4,77.45,71.75,75.05,5145990,291168000
25,"Jan 26, 2018",73.71,77.46,65.64,73.54,6029000,291776000
26,"Jan 25, 2018",74.34,78.1,73.48,74.11,5746880,293747000
27,"Jan 24, 2018",71.66,76.43,69.73,73.46,4816120,282716000
28,"Jan 23, 2018",70.11,93.84,65.15,71.89,14048200,276166000
29,"Jan 22, 2018",78.34,79.82,65.81,70.29,3814790,305770000
