,Date,Open,High,Low,Close,Volume,Market Cap
0,"Feb 20, 2018",1.58,1.59,1.45,1.45,19347700,394335000
1,"Feb 19, 2018",1.47,1.58,1.44,1.57,17262600,368607000
2,"Feb 18, 2018",1.49,1.61,1.35,1.48,25955400,372369000
3,"Feb 17, 2018",1.41,1.53,1.39,1.49,18496700,351712000
4,"Feb 16, 2018",1.43,1.46,1.36,1.41,18476700,357974000
5,"Feb 15, 2018",1.32,1.46,1.27,1.43,23015500,329031000
6,"Feb 14, 2018",1.14,1.34,1.14,1.32,18454700,285406000
7,"Feb 13, 2018",1.19,1.2,1.13,1.14,20446200,297906000
8,"Feb 12, 2018",1.13,1.23,1.13,1.19,35150000,283647000
9,"Feb 11, 2018",1.22,1.22,1.11,1.13,35072900,304540000
10,"Feb 10, 2018",1.35,1.4,1.18,1.22,40916500,337195000
11,"Feb 09, 2018",1.29,1.39,1.16,1.35,41205000,321665000
12,"Feb 08, 2018",1.18,1.34,1.18,1.28,32603300,295242000
13,"Feb 07, 2018",1.29,1.39,1.12,1.19,43931000,321428000
14,"Feb 06, 2018",1.07,1.29,0.870933,1.29,42383700,268148000
15,"Feb 05, 2018",1.37,1.39,0.982856,1.07,34179900,343232000
16,"Feb 04, 2018",1.63,1.67,1.28,1.39,49945300,407899000
17,"Feb 03, 2018",1.59,1.7,1.45,1.63,75581900,396981000
18,"Feb 02, 2018",1.7,1.71,1.25,1.59,93876100,424721000
19,"Feb 01, 2018",1.94,2.16,1.59,1.7,185272000,484419000
20,"Jan 31, 2018",1.75,2.02,1.65,1.93,175035000,436381000
21,"Jan 30, 2018",2.07,2.2,1.69,1.74,131353000,518172000
22,"Jan 29, 2018",1.99,2.1,1.97,2.1,146345000,497286000
23,"Jan 28, 2018",1.97,2.16,1.96,1.99,147646000,491876000
24,"Jan 27, 2018",2.09,2.09,1.88,1.95,149428000,521440000
25,"Jan 26, 2018",2.29,2.29,1.87,2.09,200738000,572016000
26,"Jan 25, 2018",1.79,2.51,1.78,2.29,306731000,448396000
27,"Jan 24, 2018",1.42,2.03,1.37,1.8,176701000,355747000
28,"Jan 23, 2018",1.43,1.55,1.25,1.43,95158000,357176000
29,"Jan 22, 2018",1.6,1.62,1.3,1.43,90484300,399582000
